d134e5a1b7371e60045d49020d0029ad8b5ddf1fe772949f1f06ee82f1e55b3f,4f54d632ff2115505f95319dadb25303b65b8096ca9293ad1ca3e27786572635,ca0b8a93192047f74b14542b91101bdacaecd047ef3fc6a1250574eaedfb79a0,3c9b489b4d83c72e224b60056df223b47ff8147671fb95e1eb06f11f5c2f6bc8,ffffc38bc4bc295b44b2b5bace077cc4a5352df1488fe9fe9346d3797ee83872,3db7742538e70bf7648c6048f72fa7214b70b88a523ab6572d96f3d765884707,131846cc72e8519e1914ddf83b89120d9018eaac9c7a0165371b2b79a0249ffb,8437a272eee0c53f5e352fc5fced6003c98cc6e838ebf73bf3f726650f31b0a8,9961a0a30a6d758f976364fcabc1455e14ee40ee84103beacb10e5353fec7a99
"53002","7","22","15","20","1","15","1","10701"
"53002","7","22","14","22","1","14","2","10702"
"53002","7","22","13","24","2","13","3","10703"
"53002","7","22","12","26","2","12","4","10704"
"53002","7","22","11","28","3","11","5","10705"
"53002","7","22","10","30","3","10","6","10706"
"53002","7","22","9","32","4","9","7","10707"
"53002","7","22","8","34","4","8","8","10708"
"53002","7","22","0","36","5","7","9","10709"
"53002","8","22","15","20","1","15","1","10801"
"53002","8","22","14","22","1","14","2","10802"
"53002","8","22","13","24","2","13","3","10803"
"53002","8","22","12","26","2","12","4","10804"
"53002","8","22","11","28","3","11","5","10805"
"53002","8","22","10","30","3","10","6","10806"
"53002","8","22","9","32","4","9","7","10807"
"53002","8","22","8","34","4","8","8","10808"
"53002","8","22","0","36","5","7","9","10809"
"53002","9","22","15","20","1","15","1","10901"
"53002","9","22","14","22","1","14","2","10902"
"53002","9","22","13","24","2","13","3","10903"
"53002","9","22","12","26","2","12","4","10904"
"53002","9","22","11","28","3","11","5","10905"
"53002","9","22","10","30","3","10","6","10906"
"53002","9","22","9","32","4","9","7","10907"
"53002","9","22","8","34","4","8","8","10908"
"53002","9","22","0","36","5","7","9","10909"
"53002","10","22","15","20","1","15","1","11001"
"53002","10","22","14","22","1","14","2","11002"
"53002","10","22","13","24","2","13","3","11003"
"53002","10","22","12","26","2","12","4","11004"
"53002","10","22","11","28","3","11","5","11005"
"53002","10","22","10","30","3","10","6","11006"
"53002","10","22","9","32","4","9","7","11007"
"53002","10","22","8","34","4","8","8","11008"
"53002","10","22","0","36","5","7","9","11009"
"53002","11","22","15","20","1","15","1","11101"
"53002","11","22","14","22","1","14","2","11102"
"53002","11","22","13","24","2","13","3","11103"
"53002","11","22","12","26","2","12","4","11104"
"53002","11","22","11","28","3","11","5","11105"
"53002","11","22","10","30","3","10","6","11106"
"53002","11","22","9","32","4","9","7","11107"
"53002","11","22","8","34","4","8","8","11108"
"53002","11","22","0","36","5","7","9","11109"
"53002","12","22","15","20","1","15","1","11201"
"53002","12","22","14","22","1","14","2","11202"
"53002","12","22","13","24","2","13","3","11203"
"53002","12","22","12","26","2","12","4","11204"
"53002","12","22","11","28","3","11","5","11205"
"53002","12","22","10","30","3","10","6","11206"
"53002","12","22","9","32","4","9","7","11207"
"53002","12","22","8","34","4","8","8","11208"
"53002","12","22","0","36","5","7","9","11209"
