1faaee02670937315aa9f50a73f025ce8c26225dcd8bcdac69334a65b30e9d35,7e3354dbc7375761b573b440ec96e580897ef98c6526bd6f2227cee6003f8fc0,59f50ef87fb75fbdeaf37a5340f7a5ec62d5df5f6777cc1afafbab2c70349b4a,a95fd8d888a52aa0fed208ccdacab1da8292814f5826d8ab049fd7a2bca77bfc,2289b3429cf27d57466768288649eaca543dd475e8421703e1f1b75611221454
"5","2","10001001","60002","61001001"
"5","2","10001002","60002","61001002"
"30","8","10001003","91002","71001001"
"1","2","10001004","22002","71001001"
"30","8","10001005","91002","71001002"
"1","2","10001006","22002","71001002"
"30","8","10001007","91002","71001003"
"1","2","10001008","22002","71001003"
"30","8","10001009","91002","71001004"
"1","2","10001010","22002","71001004"
"30","8","10001011","91002","71001005"
"1","2","10001012","22002","71001005"
"30","8","10001013","91002","71001006"
"1","2","10001014","22002","71001006"
"30","8","10001015","91002","71001007"
"1","2","10001016","22002","71001007"
"30","8","10001017","91002","71001008"
"1","2","10001018","22002","71001008"
"30","8","10001019","91002","71001009"
"1","2","10001020","22002","71001009"
"30","8","10001021","91002","71001010"
"1","2","10001022","22002","71001010"
"30","8","10001023","91002","71001011"
"1","2","10001024","22002","71001011"
"30","8","10001025","91002","71001012"
"1","2","10001026","22002","71001012"
"30","8","10001027","91002","71001013"
"1","2","10001028","22002","71001013"
"30","8","10001029","91002","71001014"
"1","2","10001030","22002","71001014"
"30","8","10001031","91002","71001015"
"1","2","10001032","22002","71001015"
"60","8","10001033","91002","71001016"
"2","2","10001034","22002","71001016"
"60","8","10001035","91002","71001017"
"2","2","10001036","22002","71001017"
"60","8","10001037","91002","71001018"
"2","2","10001038","22002","71001018"
"60","8","10001039","91002","71001019"
"2","2","10001040","22002","71001019"
"60","8","10001041","91002","71001020"
"2","2","10001042","22002","71001020"
"50000","12","10001043","94002","71001021"
"100000","12","10001044","94002","71001022"
"150000","12","10001045","94002","71001023"
"200000","12","10001046","94002","71001024"
"2","2","10001047","31038","71001025"
"2","2","10001048","31012","71001026"
"3","2","10001049","31038","71001027"
"3","2","10001050","31012","71001028"
"5","2","10001051","31038","71001029"
"5","2","10001052","31012","71001030"
"5","2","10002001","60012","61002001"
"5","2","10002002","60012","61002002"
"30","8","10002003","91002","71002001"
"1","2","10002004","22002","71002001"
"30","8","10002005","91002","71002002"
"1","2","10002006","22002","71002002"
"30","8","10002007","91002","71002003"
"1","2","10002008","22002","71002003"
"30","8","10002009","91002","71002004"
"1","2","10002010","22002","71002004"
"30","8","10002011","91002","71002005"
"1","2","10002012","22002","71002005"
"30","8","10002013","91002","71002006"
"1","2","10002014","22002","71002006"
"30","8","10002015","91002","71002007"
"1","2","10002016","22002","71002007"
"30","8","10002017","91002","71002008"
"1","2","10002018","22002","71002008"
"30","8","10002019","91002","71002009"
"1","2","10002020","22002","71002009"
"30","8","10002021","91002","71002010"
"1","2","10002022","22002","71002010"
"30","8","10002023","91002","71002011"
"1","2","10002024","22002","71002011"
"30","8","10002025","91002","71002012"
"1","2","10002026","22002","71002012"
"30","8","10002027","91002","71002013"
"1","2","10002028","22002","71002013"
"30","8","10002029","91002","71002014"
"1","2","10002030","22002","71002014"
"30","8","10002031","91002","71002015"
"1","2","10002032","22002","71002015"
"60","8","10002033","91002","71002016"
"2","2","10002034","22002","71002016"
"60","8","10002035","91002","71002017"
"2","2","10002036","22002","71002017"
"60","8","10002037","91002","71002018"
"2","2","10002038","22002","71002018"
"60","8","10002039","91002","71002019"
"2","2","10002040","22002","71002019"
"60","8","10002041","91002","71002020"
"2","2","10002042","22002","71002020"
"50000","12","10002043","94002","71002021"
"100000","12","10002044","94002","71002022"
"150000","12","10002045","94002","71002023"
"200000","12","10002046","94002","71002024"
"2","2","10002047","31004","71002025"
"2","2","10002048","31020","71002026"
"3","2","10002049","31004","71002027"
"3","2","10002050","31020","71002028"
"5","2","10002051","31004","71002029"
"5","2","10002052","31020","71002030"
"5","2","10003001","60022","61003001"
"5","2","10003002","60022","61003002"
"30","8","10003003","91002","71003001"
"1","2","10003004","22002","71003001"
"30","8","10003005","91002","71003002"
"1","2","10003006","22002","71003002"
"30","8","10003007","91002","71003003"
"1","2","10003008","22002","71003003"
"30","8","10003009","91002","71003004"
"1","2","10003010","22002","71003004"
"30","8","10003011","91002","71003005"
"1","2","10003012","22002","71003005"
"30","8","10003013","91002","71003006"
"1","2","10003014","22002","71003006"
"30","8","10003015","91002","71003007"
"1","2","10003016","22002","71003007"
"30","8","10003017","91002","71003008"
"1","2","10003018","22002","71003008"
"30","8","10003019","91002","71003009"
"1","2","10003020","22002","71003009"
"30","8","10003021","91002","71003010"
"1","2","10003022","22002","71003010"
"30","8","10003023","91002","71003011"
"1","2","10003024","22002","71003011"
"30","8","10003025","91002","71003012"
"1","2","10003026","22002","71003012"
"30","8","10003027","91002","71003013"
"1","2","10003028","22002","71003013"
"30","8","10003029","91002","71003014"
"1","2","10003030","22002","71003014"
"30","8","10003031","91002","71003015"
"1","2","10003032","22002","71003015"
"60","8","10003033","91002","71003016"
"2","2","10003034","22002","71003016"
"60","8","10003035","91002","71003017"
"2","2","10003036","22002","71003017"
"60","8","10003037","91002","71003018"
"2","2","10003038","22002","71003018"
"60","8","10003039","91002","71003019"
"2","2","10003040","22002","71003019"
"60","8","10003041","91002","71003020"
"2","2","10003042","22002","71003020"
"50000","12","10003043","94002","71003021"
"100000","12","10003044","94002","71003022"
"150000","12","10003045","94002","71003023"
"200000","12","10003046","94002","71003024"
"2","2","10003047","31017","71003025"
"2","2","10003048","31010","71003026"
"3","2","10003049","31017","71003027"
"3","2","10003050","31010","71003028"
"5","2","10003051","31017","71003029"
"5","2","10003052","31010","71003030"
"5","2","10004001","60032","61004001"
"5","2","10004002","60032","61004002"
"30","8","10004003","91002","71004001"
"1","2","10004004","22002","71004001"
"30","8","10004005","91002","71004002"
"1","2","10004006","22002","71004002"
"30","8","10004007","91002","71004003"
"1","2","10004008","22002","71004003"
"30","8","10004009","91002","71004004"
"1","2","10004010","22002","71004004"
"30","8","10004011","91002","71004005"
"1","2","10004012","22002","71004005"
"30","8","10004013","91002","71004006"
"1","2","10004014","22002","71004006"
"30","8","10004015","91002","71004007"
"1","2","10004016","22002","71004007"
"30","8","10004017","91002","71004008"
"1","2","10004018","22002","71004008"
"30","8","10004019","91002","71004009"
"1","2","10004020","22002","71004009"
"30","8","10004021","91002","71004010"
"1","2","10004022","22002","71004010"
"30","8","10004023","91002","71004011"
"1","2","10004024","22002","71004011"
"30","8","10004025","91002","71004012"
"1","2","10004026","22002","71004012"
"30","8","10004027","91002","71004013"
"1","2","10004028","22002","71004013"
"30","8","10004029","91002","71004014"
"1","2","10004030","22002","71004014"
"30","8","10004031","91002","71004015"
"1","2","10004032","22002","71004015"
"60","8","10004033","91002","71004016"
"2","2","10004034","22002","71004016"
"60","8","10004035","91002","71004017"
"2","2","10004036","22002","71004017"
"60","8","10004037","91002","71004018"
"2","2","10004038","22002","71004018"
"60","8","10004039","91002","71004019"
"2","2","10004040","22002","71004019"
"60","8","10004041","91002","71004020"
"2","2","10004042","22002","71004020"
"50000","12","10004043","94002","71004021"
"100000","12","10004044","94002","71004022"
"150000","12","10004045","94002","71004023"
"200000","12","10004046","94002","71004024"
"50","8","10004047","91002","71004025"
"1","2","10004048","31076","71004026"
"1","2","10004049","31076","71004027"
"2","2","10004050","31076","71004028"
"2","2","10004051","31076","71004029"
"4","2","10004052","31076","71004030"
"10","2","10004053","31076","71004031"
"5","2","10005001","60042","61005001"
"5","2","10005002","60042","61005002"
"30","8","10005003","91002","71005001"
"1","2","10005004","22002","71005001"
"30","8","10005005","91002","71005002"
"1","2","10005006","22002","71005002"
"30","8","10005007","91002","71005003"
"1","2","10005008","22002","71005003"
"30","8","10005009","91002","71005004"
"1","2","10005010","22002","71005004"
"30","8","10005011","91002","71005005"
"1","2","10005012","22002","71005005"
"30","8","10005013","91002","71005006"
"1","2","10005014","22002","71005006"
"30","8","10005015","91002","71005007"
"1","2","10005016","22002","71005007"
"30","8","10005017","91002","71005008"
"1","2","10005018","22002","71005008"
"30","8","10005019","91002","71005009"
"1","2","10005020","22002","71005009"
"30","8","10005021","91002","71005010"
"1","2","10005022","22002","71005010"
"30","8","10005023","91002","71005011"
"1","2","10005024","22002","71005011"
"30","8","10005025","91002","71005012"
"1","2","10005026","22002","71005012"
"30","8","10005027","91002","71005013"
"1","2","10005028","22002","71005013"
"30","8","10005029","91002","71005014"
"1","2","10005030","22002","71005014"
"30","8","10005031","91002","71005015"
"1","2","10005032","22002","71005015"
"60","8","10005033","91002","71005016"
"2","2","10005034","22002","71005016"
"60","8","10005035","91002","71005017"
"2","2","10005036","22002","71005017"
"60","8","10005037","91002","71005018"
"2","2","10005038","22002","71005018"
"60","8","10005039","91002","71005019"
"2","2","10005040","22002","71005019"
"60","8","10005041","91002","71005020"
"2","2","10005042","22002","71005020"
"50000","12","10005043","94002","71005021"
"100000","12","10005044","94002","71005022"
"150000","12","10005045","94002","71005023"
"200000","12","10005046","94002","71005024"
"50","8","10005047","91002","71005025"
"1","2","10005048","31080","71005026"
"1","2","10005049","31080","71005027"
"2","2","10005050","31080","71005028"
"2","2","10005051","31080","71005029"
"4","2","10005052","31080","71005030"
"10","2","10005053","31080","71005031"
"5","2","10006001","60052","61006001"
"5","2","10006002","60052","61006002"
"30","8","10006003","91002","71006001"
"1","2","10006004","22002","71006001"
"30","8","10006005","91002","71006002"
"1","2","10006006","22002","71006002"
"30","8","10006007","91002","71006003"
"1","2","10006008","22002","71006003"
"30","8","10006009","91002","71006004"
"1","2","10006010","22002","71006004"
"30","8","10006011","91002","71006005"
"1","2","10006012","22002","71006005"
"30","8","10006013","91002","71006006"
"1","2","10006014","22002","71006006"
"30","8","10006015","91002","71006007"
"1","2","10006016","22002","71006007"
"30","8","10006017","91002","71006008"
"1","2","10006018","22002","71006008"
"30","8","10006019","91002","71006009"
"1","2","10006020","22002","71006009"
"30","8","10006021","91002","71006010"
"1","2","10006022","22002","71006010"
"30","8","10006023","91002","71006011"
"1","2","10006024","22002","71006011"
"30","8","10006025","91002","71006012"
"1","2","10006026","22002","71006012"
"30","8","10006027","91002","71006013"
"1","2","10006028","22002","71006013"
"30","8","10006029","91002","71006014"
"1","2","10006030","22002","71006014"
"30","8","10006031","91002","71006015"
"1","2","10006032","22002","71006015"
"60","8","10006033","91002","71006016"
"2","2","10006034","22002","71006016"
"60","8","10006035","91002","71006017"
"2","2","10006036","22002","71006017"
"60","8","10006037","91002","71006018"
"2","2","10006038","22002","71006018"
"60","8","10006039","91002","71006019"
"2","2","10006040","22002","71006019"
"60","8","10006041","91002","71006020"
"2","2","10006042","22002","71006020"
"50000","12","10006043","94002","71006021"
"100000","12","10006044","94002","71006022"
"150000","12","10006045","94002","71006023"
"200000","12","10006046","94002","71006024"
"50","8","10006047","91002","71006025"
"1","2","10006048","31047","71006026"
"1","2","10006049","31047","71006027"
"2","2","10006050","31047","71006028"
"2","2","10006051","31047","71006029"
"4","2","10006052","31047","71006030"
"10","2","10006053","31047","71006031"
"5","2","10007001","60062","61007001"
"5","2","10007002","60062","61007002"
"30","8","10007003","91002","71007001"
"1","2","10007004","22002","71007001"
"30","8","10007005","91002","71007002"
"1","2","10007006","22002","71007002"
"30","8","10007007","91002","71007003"
"1","2","10007008","22002","71007003"
"30","8","10007009","91002","71007004"
"1","2","10007010","22002","71007004"
"30","8","10007011","91002","71007005"
"1","2","10007012","22002","71007005"
"30","8","10007013","91002","71007006"
"1","2","10007014","22002","71007006"
"30","8","10007015","91002","71007007"
"1","2","10007016","22002","71007007"
"30","8","10007017","91002","71007008"
"1","2","10007018","22002","71007008"
"30","8","10007019","91002","71007009"
"1","2","10007020","22002","71007009"
"30","8","10007021","91002","71007010"
"1","2","10007022","22002","71007010"
"30","8","10007023","91002","71007011"
"1","2","10007024","22002","71007011"
"30","8","10007025","91002","71007012"
"1","2","10007026","22002","71007012"
"30","8","10007027","91002","71007013"
"1","2","10007028","22002","71007013"
"30","8","10007029","91002","71007014"
"1","2","10007030","22002","71007014"
"30","8","10007031","91002","71007015"
"1","2","10007032","22002","71007015"
"60","8","10007033","91002","71007016"
"2","2","10007034","22002","71007016"
"60","8","10007035","91002","71007017"
"2","2","10007036","22002","71007017"
"60","8","10007037","91002","71007018"
"2","2","10007038","22002","71007018"
"60","8","10007039","91002","71007019"
"2","2","10007040","22002","71007019"
"60","8","10007041","91002","71007020"
"2","2","10007042","22002","71007020"
"50000","12","10007043","94002","71007021"
"100000","12","10007044","94002","71007022"
"150000","12","10007045","94002","71007023"
"200000","12","10007046","94002","71007024"
"50","8","10007047","91002","71007025"
"1","2","10007048","31082","71007026"
"1","2","10007049","31082","71007027"
"2","2","10007050","31082","71007028"
"2","2","10007051","31082","71007029"
"4","2","10007052","31082","71007030"
"1","1","10007053","108201","71007031"
"10","2","10007054","31082","71007032"
"5","2","10008001","60072","61008001"
"5","2","10008002","60072","61008002"
"30","8","10008003","91002","71008001"
"1","2","10008004","22002","71008001"
"30","8","10008005","91002","71008002"
"1","2","10008006","22002","71008002"
"30","8","10008007","91002","71008003"
"1","2","10008008","22002","71008003"
"30","8","10008009","91002","71008004"
"1","2","10008010","22002","71008004"
"30","8","10008011","91002","71008005"
"1","2","10008012","22002","71008005"
"30","8","10008013","91002","71008006"
"1","2","10008014","22002","71008006"
"30","8","10008015","91002","71008007"
"1","2","10008016","22002","71008007"
"30","8","10008017","91002","71008008"
"1","2","10008018","22002","71008008"
"30","8","10008019","91002","71008009"
"1","2","10008020","22002","71008009"
"30","8","10008021","91002","71008010"
"1","2","10008022","22002","71008010"
"30","8","10008023","91002","71008011"
"1","2","10008024","22002","71008011"
"30","8","10008025","91002","71008012"
"1","2","10008026","22002","71008012"
"30","8","10008027","91002","71008013"
"1","2","10008028","22002","71008013"
"30","8","10008029","91002","71008014"
"1","2","10008030","22002","71008014"
"30","8","10008031","91002","71008015"
"1","2","10008032","22002","71008015"
"60","8","10008033","91002","71008016"
"2","2","10008034","22002","71008016"
"60","8","10008035","91002","71008017"
"2","2","10008036","22002","71008017"
"60","8","10008037","91002","71008018"
"2","2","10008038","22002","71008018"
"60","8","10008039","91002","71008019"
"2","2","10008040","22002","71008019"
"60","8","10008041","91002","71008020"
"2","2","10008042","22002","71008020"
"50000","12","10008043","94002","71008021"
"100000","12","10008044","94002","71008022"
"150000","12","10008045","94002","71008023"
"200000","12","10008046","94002","71008024"
"50","8","10008047","91002","71008025"
"1","2","10008048","31009","71008026"
"1","2","10008049","31009","71008027"
"2","2","10008050","31009","71008028"
"2","2","10008051","31009","71008029"
"4","2","10008052","31009","71008030"
"10","2","10008053","31009","71008031"
"5","2","10009001","60082","61009001"
"5","2","10009002","60082","61009002"
"30","8","10009003","91002","71009001"
"1","2","10009004","22002","71009001"
"30","8","10009005","91002","71009002"
"1","2","10009006","22002","71009002"
"30","8","10009007","91002","71009003"
"1","2","10009008","22002","71009003"
"30","8","10009009","91002","71009004"
"1","2","10009010","22002","71009004"
"30","8","10009011","91002","71009005"
"1","2","10009012","22002","71009005"
"30","8","10009013","91002","71009006"
"1","2","10009014","22002","71009006"
"30","8","10009015","91002","71009007"
"1","2","10009016","22002","71009007"
"30","8","10009017","91002","71009008"
"1","2","10009018","22002","71009008"
"30","8","10009019","91002","71009009"
"1","2","10009020","22002","71009009"
"30","8","10009021","91002","71009010"
"1","2","10009022","22002","71009010"
"30","8","10009023","91002","71009011"
"1","2","10009024","22002","71009011"
"30","8","10009025","91002","71009012"
"1","2","10009026","22002","71009012"
"30","8","10009027","91002","71009013"
"1","2","10009028","22002","71009013"
"30","8","10009029","91002","71009014"
"1","2","10009030","22002","71009014"
"30","8","10009031","91002","71009015"
"1","2","10009032","22002","71009015"
"60","8","10009033","91002","71009016"
"2","2","10009034","22002","71009016"
"60","8","10009035","91002","71009017"
"2","2","10009036","22002","71009017"
"60","8","10009037","91002","71009018"
"2","2","10009038","22002","71009018"
"60","8","10009039","91002","71009019"
"2","2","10009040","22002","71009019"
"60","8","10009041","91002","71009020"
"2","2","10009042","22002","71009020"
"50000","12","10009043","94002","71009021"
"100000","12","10009044","94002","71009022"
"150000","12","10009045","94002","71009023"
"200000","12","10009046","94002","71009024"
"50","8","10009047","91002","71009025"
"1","2","10009048","31085","71009026"
"1","2","10009049","31085","71009027"
"2","2","10009050","31085","71009028"
"2","2","10009051","31085","71009029"
"4","2","10009052","31085","71009030"
"1","1","10009053","108501","71009031"
"10","2","10009054","31085","71009032"
"5","2","10010001","60092","61010001"
"5","2","10010002","60092","61010002"
"30","8","10010003","91002","71010001"
"1","2","10010004","22002","71010001"
"30","8","10010005","91002","71010002"
"1","2","10010006","22002","71010002"
"30","8","10010007","91002","71010003"
"1","2","10010008","22002","71010003"
"30","8","10010009","91002","71010004"
"1","2","10010010","22002","71010004"
"30","8","10010011","91002","71010005"
"1","2","10010012","22002","71010005"
"30","8","10010013","91002","71010006"
"1","2","10010014","22002","71010006"
"30","8","10010015","91002","71010007"
"1","2","10010016","22002","71010007"
"30","8","10010017","91002","71010008"
"1","2","10010018","22002","71010008"
"30","8","10010019","91002","71010009"
"1","2","10010020","22002","71010009"
"30","8","10010021","91002","71010010"
"1","2","10010022","22002","71010010"
"30","8","10010023","91002","71010011"
"1","2","10010024","22002","71010011"
"30","8","10010025","91002","71010012"
"1","2","10010026","22002","71010012"
"30","8","10010027","91002","71010013"
"1","2","10010028","22002","71010013"
"30","8","10010029","91002","71010014"
"1","2","10010030","22002","71010014"
"30","8","10010031","91002","71010015"
"1","2","10010032","22002","71010015"
"60","8","10010033","91002","71010016"
"2","2","10010034","22002","71010016"
"60","8","10010035","91002","71010017"
"2","2","10010036","22002","71010017"
"60","8","10010037","91002","71010018"
"2","2","10010038","22002","71010018"
"60","8","10010039","91002","71010019"
"2","2","10010040","22002","71010019"
"60","8","10010041","91002","71010020"
"2","2","10010042","22002","71010020"
"50000","12","10010043","94002","71010021"
"100000","12","10010044","94002","71010022"
"150000","12","10010045","94002","71010023"
"200000","12","10010046","94002","71010024"
"50","8","10010047","91002","71010025"
"1","2","10010048","31089","71010026"
"1","2","10010049","31089","71010027"
"2","2","10010050","31089","71010028"
"2","2","10010051","31089","71010029"
"4","2","10010052","31089","71010030"
"1","1","10010053","108901","71010031"
"10","2","10010054","31089","71010032"
"2","2","10010055","31089","81010001"
"30","8","10010056","91002","81010001"
"100","2","10010057","60092","81010002"
"30000","12","10010058","94002","81010002"
"100","2","10010059","60092","81010003"
"30000","12","10010060","94002","81010003"
"2","2","10010061","31089","81010004"
"30","8","10010062","91002","81010004"
"100","2","10010063","60092","81010005"
"30000","12","10010064","94002","81010005"
"100","2","10010065","60092","81010006"
"30000","12","10010066","94002","81010006"
"2","2","10010067","31089","81010007"
"30","8","10010068","91002","81010007"
"5","2","10011001","60102","61011001"
"5","2","10011002","60102","61011002"
"4","2","10011003","60104","61011003"
"2","2","10011004","60105","61011003"
"30","8","10011005","91002","71011001"
"1","2","10011006","22002","71011001"
"30","8","10011007","91002","71011002"
"1","2","10011008","22002","71011002"
"30","8","10011009","91002","71011003"
"1","2","10011010","22002","71011003"
"30","8","10011011","91002","71011004"
"1","2","10011012","22002","71011004"
"30","8","10011013","91002","71011005"
"1","2","10011014","22002","71011005"
"30","8","10011015","91002","71011006"
"1","2","10011016","22002","71011006"
"30","8","10011017","91002","71011007"
"1","2","10011018","22002","71011007"
"30","8","10011019","91002","71011008"
"1","2","10011020","22002","71011008"
"30","8","10011021","91002","71011009"
"1","2","10011022","22002","71011009"
"30","8","10011023","91002","71011010"
"1","2","10011024","22002","71011010"
"30","8","10011025","91002","71011011"
"1","2","10011026","22002","71011011"
"30","8","10011027","91002","71011012"
"1","2","10011028","22002","71011012"
"30","8","10011029","91002","71011013"
"1","2","10011030","22002","71011013"
"30","8","10011031","91002","71011014"
"1","2","10011032","22002","71011014"
"30","8","10011033","91002","71011015"
"1","2","10011034","22002","71011015"
"60","8","10011035","91002","71011016"
"2","2","10011036","22002","71011016"
"60","8","10011037","91002","71011017"
"2","2","10011038","22002","71011017"
"60","8","10011039","91002","71011018"
"2","2","10011040","22002","71011018"
"60","8","10011041","91002","71011019"
"2","2","10011042","22002","71011019"
"60","8","10011043","91002","71011020"
"2","2","10011044","22002","71011020"
"50000","12","10011045","94002","71011021"
"100000","12","10011046","94002","71011022"
"150000","12","10011047","94002","71011023"
"200000","12","10011048","94002","71011024"
"50","8","10011049","91002","71011025"
"1","2","10011050","31090","71011026"
"1","2","10011051","31090","71011027"
"2","2","10011052","31090","71011028"
"2","2","10011053","31090","71011029"
"4","2","10011054","31090","71011030"
"1","1","10011055","109001","71011031"
"10","2","10011056","31090","71011032"
"2","2","10011057","31090","81011001"
"30","8","10011058","91002","81011001"
"100","2","10011059","60102","81011002"
"30000","12","10011060","94002","81011002"
"100","2","10011061","60102","81011003"
"30000","12","10011062","94002","81011003"
"2","2","10011063","31090","81011004"
"30","8","10011064","91002","81011004"
"100","2","10011065","60102","81011005"
"30000","12","10011066","94002","81011005"
"100","2","10011067","60102","81011006"
"30000","12","10011068","94002","81011006"
"2","2","10011069","31090","81011007"
"30","8","10011070","91002","81011007"
"5","2","10012001","60112","61012001"
"5","2","10012002","60112","61012002"
"30","8","10012003","91002","71012001"
"1","2","10012004","22002","71012001"
"30","8","10012005","91002","71012002"
"1","2","10012006","22002","71012002"
"30","8","10012007","91002","71012003"
"1","2","10012008","22002","71012003"
"30","8","10012009","91002","71012004"
"1","2","10012010","22002","71012004"
"30","8","10012011","91002","71012005"
"1","2","10012012","22002","71012005"
"30","8","10012013","91002","71012006"
"1","2","10012014","22002","71012006"
"30","8","10012015","91002","71012007"
"1","2","10012016","22002","71012007"
"30","8","10012017","91002","71012008"
"1","2","10012018","22002","71012008"
"30","8","10012019","91002","71012009"
"1","2","10012020","22002","71012009"
"30","8","10012021","91002","71012010"
"1","2","10012022","22002","71012010"
"30","8","10012023","91002","71012011"
"1","2","10012024","22002","71012011"
"30","8","10012025","91002","71012012"
"1","2","10012026","22002","71012012"
"30","8","10012027","91002","71012013"
"1","2","10012028","22002","71012013"
"30","8","10012029","91002","71012014"
"1","2","10012030","22002","71012014"
"30","8","10012031","91002","71012015"
