a6f640a8915ba715d8fccafa4f2caee7f2819a87c67329d9d83c63e19d982b95,251b2b9658a37d497c90c0dc4a1223fbc1b19296fafcf0befb4ce5519d63101d,1b4e20b1e992f926b65a6cb2dbf74127c3652be59c114861ac773615441dbe72,aa061e44e771cd793f2fd08f043be76646e2abf256ce84d926fa8086b8390e89,3ba5c70a99cd106cea42368e557e77f3a1a8926ed00a49e9fdd604ab89fd3cca,e3341b77ea2a138e28d1ec7e5b4f4c450a496bc7cf654a90d62806b22537bfdd
"9","春咲 日和","500040","100101","0","蘭德索爾 公會小屋"
"4","草野 優衣","500040","100201","0","蘭德索爾 公會小屋"
"3","士條 怜","500040","100301","0","蘭德索爾 公會小屋"
"4","穗高 禊","500140","100401","0","普拉諾平原"
"4","織原 茉莉","500090","100501","0","蘭德索爾 王城入口"
"4","風宮 茜里","500260","100601","0","古城"
"4","出雲 宮子","500260","100701","0","古城"
"4","虹村 雪","500140","100801","0","普拉諾平原"
"3","柊 杏奈","500050","100901","0","蘭德索爾 餐廳內"
"4","姫宮 真步","500060","101001","0","哞哞自衛隊 據點"
"4","衣之咲 璃乃","500030","101101","0","蘭德索爾 鬧區"
"3","柏崎 初音","500180","101201","0","精靈之森"
"2","丹野 七七香","500050","101301","0","蘭德索爾 餐廳內"
"4","霧原霞","500060","101401","0","哞哞自衛隊 據點"
"4","愛川 美里","500180","101501","0","精靈之森"
"9","美波 鈴奈","500080","101601","0","月光學院"
"4","喜屋武 香織","500060","101701","0","哞哞自衛隊 據點"
"4","支倉 伊緒","500080","101801","0","月光學院"
"2","茜 美美","500140","102001","0","普拉諾平原"
"5","栗林 胡桃","500110","102101","0","咲戀育幼院 大廳"
"4","風宮 依里","500260","102201","0","古城"
"4","北條 綾音","500110","102301","0","咲戀育幼院 大廳"
"10","天野 鈴莓","500110","102501","0","咲戀育幼院 大廳"
"3","森近 鈴","500150","102601","0","伊麗莎白牧場 據點"
"4","倉石 惠理子","500050","102701","0","蘭德索爾 餐廳內"
"4","佐佐木 咲戀","500110","102801","0","咲戀育幼院 大廳"
"1","櫻井 望","500010","102901","0","蘭德索爾 市中心"
