d99f36abb1160be69cb598fd24a00e9001007c6e709de420a52f4aefa06c48eb,c6462718ca8c48e7f05d8e0f04105cb7ae18cc24d3f68db566f1a24d5b55f809,8445c142031fc46540a0fa5c4718c53d524dab8d96a69cbc6fc15ba76b52e8ba,a06cc0d4eb8be78782e1d20881f68ea9b1d622a16d01ca54fcb360127f082996,d1035bedd78b41753ba9c5dc7d0de3703e24649e4e72897d6ef391a54fda579f,98431c8eb62e208c32ad95c6c646dc780304e4809ba6a7de807d81120ae766a6,d4eee3fd49f266c058d20dfb6e135c35f1df30b36ff7b8aa3a64f8307c1f9e76,a15e986ece1ebca43be318ced4b9c614fd16e21103733c3af83b7fac9eac9705,961f70467dfb3123be6453a2b1b3018ecc3757d5c1e5e64f8f217a7cc8538521,0ddd3addbca28fb86149016c5e4ed2f1e63655196a4ba5901d1e315dc2bbcd48,6fcf939eacdb53ab05697058adfbdfc54d54933dfb79ff9d216601786a684f08,412cb3bda830573f5c334fd5c837ad59bd9fc08931e51209317ff0ebeaf7b5f2,c8e6103f23910c886b02f1cdc5c0956774475b76c870220845ac38dc9d5ba00d,88c4d9f9527f1570e22fde85006d06cbfb25f78340a29c624ad5826d3ce218a9,7f3a9de47e781c05219e0a35d5efca569e5d05a76edd9ca2f7d3480488406db9,b05e3dae0467c7d6e25ebe0605a237d928cbced0e7d2e9557c1b9f6ceca51aeb,6cd283074e698b4e2a3fcd6b808ea2e6be3d1b8143558a9cd8b9b8b74e48b590,9ec74c44c25848bb4853c5122bf6887666d0c94b7fdfca614fbfd1c82086a895
"9","17001001","1","403","每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵","9401","30","3","0","104","1","1","0","2000","2","1","2"
"12","17001101","1","403","每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵","99401","30","3","0","0","0","101","0","0","1","1","2"
"13","17001102","1","403","","","99402","1","0","0","0","0","102","0","0","0","1","2"
"14","17001103","1","403","","","99403","7","1","0","0","0","103","0","0","0","1","2"
"15","17001104","1","403","","","99404","30","3","0","0","0","104","0","0","0","1","2"
"32","17001105","1","403","每日體力禮包第{1}天的獎勵","每日體力未領取的獎勵","99445","30","3","0","0","0","105","0","0","1","1","0"
"41","17001106","1","403","每日秘石禮包第{1}天的獎勵","每日秘石未領取的獎勵","99456","30","3","0","0","0","106","0","0","1","1","2"
"42","17001107","1","403","每日瑪那禮包第{1}天的獎勵","每日瑪那禮包未領取的獎勵","99401","30","3","0","0","0","107","0","0","1","1","2"
"75","17001109","1","403","每日寶石禮包第{1}天的獎勵","每日寶石禮包未領取的獎勵","9401","90","3","0","104","0","2","0","0","1","1","2"
"90","0","0","0","","","9402","7","3","1","103","3","0","1","1000","0","0","1"
"91","17001108","1","403","公主之心碎片每日禮包第{1}天的獎勵","公主之心碎片每日禮包未領取的獎勵","99517","30","3","0","0","0","108","0","0","1","1","2"
"139","0","0","0","","","9402","30","3","1","103","3","0","1","1000","0","0","1"
"211","17001110","2","405","體力應援包第{1}天的獎勵","","99559","7","0","0","103","1","3","0","0","1","0","3"
