85b72f647858a9bed9f4c607759132154b8897e61a1bcef538fc5cc4c27ededa,e84a18b081e70bb1ad49837fd6c9fb854a685cbfb02acb6eefab87fa74d02427,d72c0ac5df112f31eed8a0c4735e04db69bcb5baccee299704fc0da41201cc45,0a8e8532f9cb2d2b5a6bf46862825d3c715e8365c1beb54b780aa104f643a97d,d30762d6cce25b354d5c584669a27a798fd4609a6add8bde302fbbce36dc53c2,39e82d044c709fe5a749307d9417df5025739f5dfa63bca77f68b204bc5f9306,a9498f7b4186ce9c13d510e2d24538cd2321b89a408ed13fe9d13843c13d5758,6f3cc17cf6802c666e2c5863f2de007aac3f80208f6c5f405d6abfbfa833e09a,30c4b8db051f111d90b472db3ce68b1c2e498680286a6e4abe5556c810da6288,a92a1968f275ca3305a919b1df7b9ecd3d9bff6dcde2d86c4a39fe1df2cfee89,edc0aa9a354ac803477b936b5d80fe90af26eb679b842d2faf4ea720d6f04eee
"282001001","91002","10","31","1","25021","8","25012","2","2","8"
"282001002","91002","10","31","2","25021","8","25012","2","2","8"
"282001003","91002","10","32","3","25021","8","25012","2","2","8"
"282001004","91002","10","32","4","25021","8","25012","2","2","8"
"282001005","91002","10","33","5","25021","8","25012","2","2","8"
"282001006","91002","10","33","6","25021","9","25012","2","2","8"
"282001007","91002","10","34","7","25021","9","25012","2","2","8"
"282001008","91002","10","35","8","25021","9","25012","2","2","8"
"282001009","91002","10","35","9","25021","9","25012","2","2","8"
"282001010","91002","30","37","10","25021","10","25012","2","2","8"
"282001011","91002","10","41","11","25021","10","25012","2","2","8"
"282001012","91002","10","43","12","25021","11","25012","2","2","8"
"282001013","91002","10","46","13","25021","11","25012","2","2","8"
"282001014","91002","10","48","14","25021","12","25012","2","2","8"
"282001015","91002","10","50","15","25021","12","25012","2","2","8"
"282001016","91002","10","53","16","25021","13","25012","2","2","8"
"282001017","91002","10","55","17","25021","14","25012","2","2","8"
"282001018","91002","10","58","18","25021","14","25012","2","2","8"
"282001019","91002","10","60","19","25021","15","25012","2","2","8"
"282001020","91002","30","62","20","25021","15","25012","2","2","8"
"282001021","91002","10","68","21","25021","16","25012","2","2","8"
"282001022","91002","10","70","22","25021","16","25012","2","2","8"
"282001023","91002","10","72","23","25021","16","25012","2","2","8"
"282001024","91002","10","75","24","25021","17","25012","2","2","8"
"282001025","91002","10","77","25","25021","18","25012","2","2","8"
"282001026","91002","10","79","26","25021","18","25012","2","2","8"
"282001027","91002","10","82","27","25021","19","25012","2","2","8"
"282001028","91002","10","84","28","25021","19","25012","2","2","8"
"282001029","91002","10","86","29","25021","19","25012","2","2","8"
"282001030","91002","30","89","30","25021","20","25012","2","2","8"
"282001031","91002","10","94","31","25021","20","25012","2","2","8"
"282001032","91002","10","96","32","25021","21","25012","2","2","8"
"282001033","91002","10","99","33","25021","21","25012","2","2","8"
"282001034","91002","10","101","34","25021","22","25012","2","2","8"
"282001035","91002","10","103","35","25021","22","25012","2","2","8"
"282001036","91002","10","106","36","25021","23","25012","2","2","8"
"282001037","91002","10","108","37","25021","23","25012","2","2","8"
"282001038","91002","10","111","38","25021","24","25012","2","2","8"
"282001039","91002","10","113","39","25021","25","25012","2","2","8"
"282001040","91002","30","115","40","25021","25","25012","2","2","8"
"282001041","91002","10","121","41","25021","26","25012","2","2","8"
"282001042","91002","10","123","42","25021","27","25012","2","2","8"
"282001043","91002","10","125","43","25021","28","25012","2","2","8"
"282001044","91002","10","128","44","25021","28","25012","2","2","8"
"282001045","91002","10","130","45","25021","29","25012","2","2","8"
"282001046","91002","10","132","46","25021","30","25012","2","2","8"
"282001047","91002","10","135","47","25021","30","25012","2","2","8"
"282001048","91002","10","137","48","25021","31","25012","2","2","8"
"282001049","91002","10","139","49","25021","31","25012","2","2","8"
"282001050","91002","30","142","50","25021","31","25012","2","2","8"
"282001051","91002","10","144","51","25021","32","25012","2","2","8"
"282001052","91002","10","146","52","25021","32","25012","2","2","8"
"282001053","91002","10","149","53","25021","32","25012","2","2","8"
"282001054","91002","10","152","54","25021","33","25012","2","2","8"
"282001055","91002","10","155","55","25021","33","25012","2","2","8"
"282001056","91002","10","157","56","25021","33","25012","2","2","8"
"282001057","91002","10","160","57","25021","34","25012","2","2","8"
"282001058","91002","10","163","58","25021","34","25012","2","2","8"
"282001059","91002","10","166","59","25021","34","25012","2","2","8"
"282001060","91002","30","169","60","25021","35","25012","2","2","8"
"282001061","91002","10","171","61","25021","35","25012","2","2","8"
"282001062","91002","10","174","62","25021","35","25012","2","2","8"
"282001063","91002","10","177","63","25021","36","25012","2","2","8"
"282001064","91002","10","180","64","25021","36","25012","2","2","8"
"282001065","91002","10","182","65","25021","36","25012","2","2","8"
"282001066","91002","10","185","66","25021","37","25012","2","2","8"
"282001067","91002","10","187","67","25021","37","25012","2","2","8"
"282001068","91002","10","190","68","25021","37","25012","2","2","8"
"282001069","91002","10","193","69","25021","38","25012","2","2","8"
"282001070","91002","30","196","70","25021","38","25012","2","2","8"
