b8e9815d5686b5b44ded741c5c5965aa72f120f771dbe9dcf84b45f03f58ca46,984afafc988fb9fcb86b31df731431763fa46b7addd1c688f8a34c6fa2174a9c,aa1c7a43abd653026882652167a36165eccba82b6a7351840fb80743b16b0e0f,98da5b840041b4919b4abcd8bb88af0fff69952d38ab30bb42b7f6b00cd88654,3fa3158b589155fb08c52642d88cf3b2edcec74a60b8c4168dacaf9310a8abdf,b777e04f7385d4e330feb662b9d63129b4f1bb9bfbcf359d5f37ab04b5f8d3a4,207b4b2e18f6ad4a0fe8d7e45aa3e866515c74da0990454fbf87ef44427c67fc,8402293ef73fa0f461a363fedd890d2dfa179d9f9780577e49b496b6e520584e,18dba9366d2b5bf6de8fcd0a79747a0ffb993cd1619e2e7ef6be5f8d166eecc2,d20c5809719cff4311bb073ce0bc51c336d2837c665fda8fe2ebb6533dc850ab,57c4d56b4bb86f444e5ab6bef8f8068ebf7ed5a954fef01187c8a0daba4ea673,44d6ef9e4d607ef7090d3df015057e90817f1e1ef667bf5344cbad415f85f640
"100700101","1","0","0","0.8","0","4","0","0","1","0","1007001"
"100700102","2","vo_svd_0101","0","0","0","2","0","0","0","vo_svd","1007001"
"100700103","3","0","0","0","1","1","300","1.684","0","0","1007001"
"100700104","4","0","0","1.949","0","4","0","0","1","0","1007001"
"100700105","5","0","15","0","2","1","327","1.363","0","0","1007001"
"100700106","6","0","0","3.027","0","4","0","0","1","0","1007001"
"100700107","7","vo_svd_0102","0","0","0","2","0","0","0","vo_svd","1007001"
"100700108","8","0","0","0","3","1","441","1.69","0","0","1007001"
"100700109","9","0","0","1.7","0","4","0","0","1","0","1007001"
"100700110","10","0","0","0","4","1","478","1.446","0","0","1007001"
"100700111","11","0","0","1.722","0","4","0","0","1","0","1007001"
"100700112","12","0","0","0","5","1","478","1.245","0","0","1007001"
"100700113","13","0","0","0.417","0","4","0","0","1","0","1007001"
"100700114","14","0","478","0","5","1","478","0.864","0","0","1007001"
"100700115","15","0","0","2.482","0","4","0","0","1","0","1007001"
"100700116","16","vo_svd_0103","0","0","0","2","0","0","0","vo_svd","1007001"
"100700117","17","0","0","0","6","1","420","2.352","0","0","1007001"
"100700118","18","0","0","1.694","0","4","0","0","1","0","1007001"
"100700119","19","0","0","0","7","1","268","0.953","0","0","1007001"
"100700120","20","0","0","2.5","0","4","0","0","1","0","1007001"
"100700201","1","0","0","0.8","0","4","0","0","1","0","1007002"
"100700202","2","vo_svd_0201","0","0","0","2","0","0","0","vo_svd","1007002"
"100700203","3","0","0","0","1","1","237","0.865","0","0","1007002"
"100700204","4","0","0","1.516","0","4","0","0","1","0","1007002"
"100700205","5","0","0","0","2","1","314","1.013","0","0","1007002"
"100700206","6","0","0","0.973","0","4","0","0","1","0","1007002"
"100700207","7","0","314","0","2","1","314","0.755","0","0","1007002"
"100700208","8","0","0","2.018","0","4","0","0","1","0","1007002"
"100700209","9","vo_svd_0202","0","0","0","2","0","0","0","vo_svd","1007002"
"100700210","10","0","0","0","3","1","76","0.541","0","0","1007002"
"100700211","11","0","0","0.517","0","4","0","0","1","0","1007002"
"100700212","12","0","76","0","3","1","330","0.992","0","0","1007002"
"100700213","13","0","0","0.792","0","4","0","0","1","0","1007002"
"100700214","14","0","0","0","4","1","0","0.751","0","0","1007002"
"100700215","15","0","0","1.887","0","4","0","0","1","0","1007002"
"100700216","16","vo_svd_0203","0","0","0","2","0","0","0","vo_svd","1007002"
"100700217","17","0","0","0","4","1","160","1.482","0","0","1007002"
"100700218","18","0","0","0.858","0","4","0","0","1","0","1007002"
"100700219","19","0","160","0","4","1","268","1.255","0","0","1007002"
"100700220","20","0","0","2.752","0","4","0","0","1","0","1007002"
"100700221","21","vo_svd_0204","0","0","0","2","0","0","0","vo_svd","1007002"
"100700222","22","0","0","0","5","1","336","1.827","0","0","1007002"
"100700223","23","0","0","1.654","0","4","0","0","1","0","1007002"
"100700224","24","0","0","0","6","1","364","1.773","0","0","1007002"
"100700225","25","0","0","2.5","0","4","0","0","1","0","1007002"
"100700301","1","0","0","0.8","0","4","0","0","1","0","1007003"
"100700302","2","vo_svd_0301","0","0","0","2","0","0","0","vo_svd","1007003"
"100700303","3","0","0","0","1","1","232","1.205","0","0","1007003"
"100700304","4","0","0","1.739","0","4","0","0","1","0","1007003"
"100700305","5","0","232","0","1","1","355","1.278","0","0","1007003"
"100700306","6","0","0","0.687","0","4","0","0","1","0","1007003"
"100700307","7","0","0","0","2","1","0","0.735","0","0","1007003"
"100700308","8","0","0","2.357","0","4","0","0","1","0","1007003"
"100700309","9","vo_svd_0302","0","0","0","2","0","0","0","vo_svd","1007003"
"100700310","10","0","0","0","2","1","364","1.542","0","0","1007003"
"100700311","11","0","0","1.9","0","4","0","0","1","0","1007003"
"100700312","12","0","0","0","3","1","336","1.82","0","0","1007003"
"100700313","13","0","0","1.754","0","4","0","0","1","0","1007003"
"100700314","14","0","0","0","4","1","255","1.133","0","0","1007003"
"100700315","15","0","0","2.697","0","4","0","0","1","0","1007003"
"100700316","16","vo_svd_0303","0","0","0","2","0","0","0","vo_svd","1007003"
"100700317","17","0","0","0","5","1","336","1.827","0","0","1007003"
"100700318","18","0","0","2.182","0","4","0","0","1","0","1007003"
"100700319","19","0","0","0","6","1","275","1.186","0","0","1007003"
"100700320","20","0","0","2.842","0","4","0","0","1","0","1007003"
"100700321","21","vo_svd_0304","0","0","0","2","0","0","0","vo_svd","1007003"
"100700322","22","0","0","0","7","1","336","2.067","0","0","1007003"
"100700323","23","0","0","1.844","0","4","0","0","1","0","1007003"
"100700324","24","0","0","0","8","1","364","2.068","0","0","1007003"
"100700325","25","0","0","2.5","0","4","0","0","1","0","1007003"
"100700401","1","0","0","0.8","0","4","0","0","1","0","1007004"
"100700402","2","vo_svd_0401","0","0","0","2","0","0","0","vo_svd","1007004"
"100700403","3","0","0","0","1","1","180","1.105","0","0","1007004"
"100700404","4","0","0","1.504","0","4","0","0","1","0","1007004"
"100700405","5","0","180","0","1","1","313","0.62","0","0","1007004"
"100700406","6","0","0","0.554","0","4","0","0","1","0","1007004"
"100700407","7","0","0","0","2","1","122","0.728","0","0","1007004"
"100700408","8","0","0","2.154","0","4","0","0","1","0","1007004"
"100700409","9","vo_svd_0402","0","0","0","2","0","0","0","vo_svd","1007004"
"100700410","10","0","122","0","2","1","334","1.051","0","0","1007004"
"100700411","11","0","0","0.915","0","4","0","0","1","0","1007004"
"100700412","12","0","0","0","3","1","91","0.927","0","0","1007004"
"100700413","13","0","0","1.701","0","4","0","0","1","0","1007004"
"100700414","14","0","91","0","3","1","360","0.905","0","0","1007004"
"100700415","15","0","0","0.816","0","4","0","0","1","0","1007004"
