d8c18413f3a2c8fc04d383b3f2dc7273d6ea39d5dd2fed3ec0241a1595e4df5c,a168d6a02612a04ff897914180ee481b1c2260ae3fca37b8719befcf061d2d90,e16c0cd6bf35e9c56725f782f180d0fe0fb5d287486c768490e93cb33ea4d919,8428eef3ed59f17982383a960c5e219aeb28ad410e431b1189f1cca985c9cdd9,a5c9f2a02b625bca4bc393faa1e2315dbb3da31b713e9fc19a5f8b10ab4b5fee,6b5458714ec97f0173cbb2262c13eb2815c0bb318b3920d1f0d399e04cb553c0,6f2813cc92ae72b90f582ed6069b397bcbb8ce72fbea08388e9ade5ea627507f,d3926b5687dd947d1eea9d31c7b7aa143111f516b05ecbeb3fe23ae941e62300,48333ecfa0ae71e72d260fcf3bc85860df6aad7f8c48e8cc30c86fdb095dfb13,46c308a6e4bbe978c9da5665ee1bfd1c0ac196c9a8f55836a3a8171c7e846285,fb630e02c29c3cc13b3cfb13e5fa08aad35bf4c605ddd9eaae0516a164c99266
"1000","1","5","102611","100","ttk_idle_def","1","-120","1010001","1","1"
"0","1","31","2","0","","2","1","1010002","","1"
"-80","1","31","1","-120","","1","1","1010003","","1"
"","","93","","","","1","","1010004","","1"
"0","","21","vo_minigame_1005_top_000","0","","vo_minigame_1005","","1010005","","1"
"0","0.3","3","ttk_doya","ttk_idle_doya","","102611","1","1010006","0.3","1"
"8","0","11","我會把大家\n交代的工作做好的","","","102611","","1010007","0","1"
"","","91","","","","0","","1010008","","1"
"1000","1","5","102611","100","ttk_idle_def","1","-120","1020001","1","2"
"0","1","31","2","0","","2","1","1020002","","2"
"-80","1","31","1","-120","","1","1","1020003","","2"
"","","93","","","","1","","1020004","","2"
"0","","21","vo_minigame_1005_top_001","0","","vo_minigame_1005","","1020005","","2"
"0","0.3","3","ttk_idle_smile","ttk_idle_def","","102611","1","1020006","0.3","2"
"8","0","11","我會讓你後悔\n出現在\n我面前的","","","102611","","1020007","0","2"
"","","91","","","","0","","1020008","","2"
"1000","1","5","102611","100","ttk_idle_def","1","-120","1030001","1","3"
"0","1","31","2","0","","2","1","1030002","","3"
"-80","1","31","1","-120","","1","1","1030003","","3"
"","","93","","","","1","","1030004","","3"
"0","","21","vo_minigame_1005_top_002","0","","vo_minigame_1005","","1030005","","3"
"0","0.1","3","ttk_joy","ttk_idle_joy","","102611","1","1030006","0.3","3"
"8","0","11","只要掌握到訣竅\n其實也還蠻開心的\n不對，勞動就是勞動……","","","102611","","1030007","0","3"
"","","93","","","","2.2","","1030008","","3"
"1","0.3","3","ttk_talk_sad","","","102611","","1030009","0.3","3"
"","","93","","","","3","","1030010","","3"
"1","0.3","3","ttk_idle_def","","","102611","","1030011","0.3","3"
"","","91","","","","0","","1030012","","3"
"1000","1","5","102611","100","ttk_idle_def","1","-120","1040001","1","4"
"0","1","31","2","0","","2","1","1040002","","4"
"-80","1","31","1","-120","","1","1","1040003","","4"
"","","93","","","","1","","1040004","","4"
"0","","21","vo_minigame_1005_top_003","0","","vo_minigame_1005","","1040005","","4"
"0","0.3","3","ttk_shock","ttk_idle_shock","","102611","1","1040006","0.3","4"
"8","0","11","我根本不想知道\n老鼠的事情好嗎\n唉……麻煩死了","","","102611","","1040007","0","4"
"","","93","","","","5","","1040008","","4"
"1","0.3","3","ttk_idle_def","","","102611","","1040009","0.3","4"
"","","93","","","","0.7","","1040010","","4"
"1000","1","5","102611","100","ttk_idle_def","1","-120","1050001","1","5"
"0","1","31","2","0","","2","1","1050002","","5"
"-80","1","31","1","-120","","1","1","1050003","","5"
"","","93","","","","1","","1050004","","5"
"0","","21","vo_minigame_1005_top_004","0","","vo_minigame_1005","","1050005","","5"
"0","0.3","3","ttk_surprise","","","102611","","1050006","0.3","5"
"8","0","11","唔哇！？\n別過來！\n唉……一隻接著一隻\n趕老鼠還真不容易……","","","102611","","1050007","0","5"
"","","93","","","","0.9","","1050008","","5"
"1","0.3","3","ttk_talk_anger","","","102611","","1050009","0.3","5"
"","","93","","","","0.8","","1050010","","5"
"0","0.3","3","ttk_sad","ttk_talk_sad","","102611","1","1050011","0.3","5"
"","","93","","","","5","","1050012","","5"
"1","0.3","3","ttk_idle_def","","","102611","","1050013","0.3","5"
"","","91","","","","0","","1050014","","5"
"1000","1","5","102611","100","ttk_idle_def","1","-120","1060001","1","6"
"0","1","31","2","0","","2","1","1060002","","6"
"-80","1","31","1","-120","","1","1","1060003","","6"
"","","93","","","","1","","1060004","","6"
"0","","21","vo_minigame_1005_top_005","0","","vo_minigame_1005","","1060005","","6"
"1","0.3","3","ttk_idle_worry","","","102611","","1060006","0.3","6"
"8","0","11","我完全不想要\n習慣這種事情……\n不過為了牧場，\n也只能這麼做了","","","102611","","1060007","0","6"
"","","93","","","","7","","1060008","","6"
"0","0.3","3","ttk_amz","ttk_idle_def","","102611","1","1060009","0.3","6"
"","","91","","","","0","","1060010","","6"
