79b04c36b289590e9b6cf80e7248c1fb9a15e11a90d0c71a05f943145bcb4c67,ccf6c5030285acb5b23f707c7474ddb6b7e7c7ac1ed326aa086746485cca028a,f385d7054d5cc6483daa2bfc04bd797d04d31c78f343740beb89bb5f42634c59,5200189e3d70a896680311d852099f3ccd345513b389cb56a81ef96cc7ae8cf7,ca6c5c1773613101ed123077268e52ca614ac0f75e5ed881082d95e73b3aec39,c1694158cec92a2beb67d19602cbf128a0732ad2c1a1d8700ec418fa76ff9f3d,7f2aeb923ae9f432488e985a3b89f030e3a8dc664968138484ae534c71b3e0e0,e6e0336b35654de7141ab258358c623c12ca3313b2809c7185b25c2aa675151c,ed1d9ea0fc894d076a69e222942cf0f12ff24604def6f7d5bcc6bb8811e88794,f2a0b8e9602dd4877f5fe94db657ccb814ef6d2241182f1e10ec8598b85f8be5,6237473e74629822f8eadbc6607a98c418d4ed46ff5a9d354c4931acbebbb0d1,00db856a0110c17a78658535b115fad3366f8ee07108bd355b88cc6c3529c152
"105901","1","2024/10/01 16:00:00","106001","大蜂蜜雲霄飛車1","105801","1","91002","5146061","8","10146","20"
"0","1","2024/10/02 16:00:00","0","大蜂蜜雲霄飛車2","100901","1","91002","5146062","8","10146","20"
"0","1","2024/10/04 16:00:00","0","大蜂蜜雲霄飛車3","106601","1","91002","5146063","8","10146","20"
"131501","2","2024/10/02 16:00:00","0","漂浮之花摩天輪1","105801","1","91002","5146064","8","10146","20"
"131001","2","2024/10/04 16:00:00","0","漂浮之花摩天輪2","130901","1","91002","5146065","8","10146","20"
"0","2","2024/10/03 16:00:00","0","漂浮之花摩天輪3","104001","1","91002","5146066","8","10146","20"
"106601","3","2024/10/01 16:00:00","0","莓果糖咖啡杯1","106501","1","91002","5146067","8","10146","20"
"106001","3","2024/10/03 16:00:00","0","莓果糖咖啡杯2","105801","1","91002","5146068","8","10146","20"
"131401","3","2024/10/02 16:00:00","0","莓果糖咖啡杯3","131301","1","91002","5146069","8","10146","20"
"0","4","2024/10/03 16:00:00","0","潛入3D世界1","102101","1","91002","5146070","8","10146","20"
"0","4","2024/10/01 16:00:00","0","潛入3D世界2","130901","1","91002","5146071","8","10146","20"
"0","0","2024/10/01 16:00:00","0","表演者介紹：植物羊","0","2","91002","5146072","8","10146","20"
"0","0","2024/10/01 16:00:00","0","表演者介紹：啾二＆啾三","0","2","91002","5146073","8","10146","20"
"0","0","2024/10/01 16:00:00","0","表演者介紹：玩具王","0","2","91002","5146074","8","10146","20"
"0","0","2024/10/01 16:00:00","0","表演者介紹：招財貓","0","2","91002","5146075","8","10146","20"
"0","0","2024/10/01 16:00:00","0","魔物遊行","0","3","11001313","5146901","15","10146","1"
