57c8063b4bc09432f6441d2b9abb5c06778fff80008de24a4432e012ebb0a7a4,ec6244368fceb30db2fcf95908883492b55ff454575d58b45340be5a325087d0,3dfbde00f2f60ae20795ca5d0ea9fc301cd232883c5437db0f68c6096ba98e60,d22937a69836f8d67fb08e1a1859dcee71a4d19bfef69c6740b20bbe53240e60,7d76f03ed4ba63f0739c7308d736ea4f33625414e439fa39b06fe857f9e5a774,85d28f1b4ab8e8fa256645af1c651f80b6312d754ab0facdb396f97b253025f0,ed469c8193349944ba6acd7a963e30e4ac83c80256ae488c89b01ac9c40532f0
"105","1","2","105","1","105","3"
"105","1","2","120","2","120","3"
"100","1","2","120","3","100","3"
"105","1","2","120","4","120","3"
"105","1","2","120","5","105","3"
"100","1","2","105","6","100","3"
"120","1","2","105","7","100","3"
"100","1","2","105","8","100","3"
"105","1","2","120","9","120","3"
"120","1","2","105","10","100","3"
"100","1","2","100","11","105","3"
"105","1","2","120","12","120","3"
"105","1","2","105","13","105","3"
"105","1","2","105","14","120","3"
"120","1","2","120","15","120","3"
"100","1","2","100","16","100","3"
"120","1","2","120","17","105","3"
"120","1","2","105","18","120","3"
"105","1","2","100","19","105","3"
"100","1","2","105","20","105","3"
"100","1","2","100","21","105","3"
"120","1","2","120","22","120","3"
"105","1","2","100","23","100","3"
"120","1","2","120","24","120","3"
"105","1","2","120","25","105","3"
"100","1","2","100","26","100","3"
"100","1","2","100","27","100","3"
"100","1","2","100","28","100","3"
"120","1","2","120","29","120","3"
"105","1","2","105","30","120","3"
