0605b87c833c01077fd202aedb78b55c2e556ca15851f221b6055aa8459d65f2,cdebbd80ba21a4c0e591e100802fdee14b7a1b40d9fbc3456bf9e3e957be897c,9da04e2927c79b54a5822cd2687da8c27a2c8b6c23bcc14f5f9a646a30253c8d,d8768148208720eb35b476905c3ddf40900704b6b617708cfe9b2a47ccbc39ed,6166cbf7ff03cd2f8a69d00834e5f03a0edd6cbe5c6ccfce489331e1aba3616c,6e3f59805d3a90db3b3dd63aeca2c3abca9dc28240ffb9190143cc0a9d414ee8,1c7a6570c3603660a064c59b910074a1aaf9b6be37e8a956de2e06c0e85b02a9,b513d571fe1d4cf9447ee72ab41542486e7a827e071b906e313f8c1b028bac66,666fd5f5dba82f61d5d72b90ab3185d62f32b99045c2925dafa453ceba2a9a62,f34bc8bbd7ebe68e57b0eaa490c73a02873ce951aa665a84b8ec62f6a35a5441
"3","0","獲得20個零件","1","20","1","10000","1","1","100"
"3","0","獲得25個零件","2","25","1","10001","1","2","100"
"3","0","獲得30個零件","2","30","1","10002","1","3","100"
"3","0","獲得35個零件","3","35","1","10003","1","4","100"
"3","0","獲得40個零件","3","40","1","10004","1","5","100"
"3","0","獲得45個零件","4","45","1","10005","1","6","100"
"3","0","獲得50個零件","4","50","1","10006","1","7","100"
"2","0","將總戰力提升至1500以上","3","1500","1","20000","2","101","101"
"2","0","將總戰力提升至2000以上","3","2000","1","20001","2","102","101"
"2","0","將總戰力提升至2500以上","3","2500","1","20002","2","103","101"
"2","0","將總戰力提升至3000以上","3","3000","1","20003","2","104","101"
"2","0","將總戰力提升至3500以上","3","3500","1","20004","2","105","101"
"2","0","將總戰力提升至4000以上","4","4000","1","20005","2","106","101"
"2","0","將總戰力提升至4500以上","4","4500","1","20006","2","107","101"
"2","0","將總戰力提升至5000以上","4","5000","1","20007","2","108","101"
"2","0","將總戰力提升至6000以上","4","6000","1","20008","2","109","101"
"2","0","將總戰力提升至7000以上","4","7000","1","20009","2","110","101"
"2","0","將總戰力提升至8000以上","5","8000","1","20010","2","111","101"
"2","0","將總戰力提升至9000以上","5","9000","1","20011","2","112","101"
"2","0","將總戰力提升至10000以上","5","10000","1","20012","2","600","101"
"4","0","累積獲得100pt戰鬥點數","2","100","2","30000","3","201","200"
"4","0","累積獲得200pt戰鬥點數","2","200","2","30001","3","202","200"
"4","0","累積獲得300pt戰鬥點數","2","300","2","30002","3","203","200"
"4","0","累積獲得400pt戰鬥點數","2","400","2","30003","3","204","200"
"4","0","累積獲得500pt戰鬥點數","2","500","2","30004","3","205","200"
"4","0","累積獲得600pt戰鬥點數","3","600","2","30005","3","206","200"
"4","0","累積獲得700pt戰鬥點數","3","700","2","30006","3","207","200"
"4","0","累積獲得800pt戰鬥點數","3","800","2","30007","3","208","200"
"4","0","累積獲得900pt戰鬥點數","3","900","2","30008","3","209","200"
"4","0","累積獲得1000pt戰鬥點數","3","1000","2","30009","3","210","200"
"1","0","從布武機那邊獲得5個零件","7","5","4","50000","5","401","400"
"1","0","從布武機那邊獲得10個零件","7","10","4","50001","5","402","400"
"1","0","從布武機那邊獲得15個零件","7","15","4","50002","5","403","400"
"1","0","從布武機那邊獲得20個零件","7","20","4","50003","5","404","400"
"1","0","從布武機那邊獲得25個零件","7","25","4","50004","5","405","400"
"1","0","從布武機那邊獲得30個零件","7","30","4","50005","5","406","400"
"1","0","從布武機那邊獲得35個零件","7","35","4","50006","5","407","400"
"1","0","從布武機那邊獲得40個零件","7","40","4","50007","5","408","400"
"1","0","從布武機那邊獲得45個零件","7","45","4","50008","5","409","400"
"1","0","從布武機那邊獲得50個零件","6","50","4","50009","5","700","400"
"4","30009","累積獲得800pt戰鬥點數（可以不限次數達成）","7","800","2","60000","6","999","209"
"3","0","通過關卡14","6","14","3","70000","7","799","300"
"3","0","通過關卡50","8","50","3","70001","7","800","301"
