9515530e88544fe9aac00bcd878710224e16ca516598b2fdb7c40d99bba63bde,1bb3e5174cf12843f99c0922057f7225baebae75595a7c7ee94b15f3da5d95c4,d3a80b3dd40c0dce399ea58f0d60837bfb39358be2b935d47d951687e7761b94,83091dd67da9e0ec62460f7a0744b7bde5ca5492ab8036ac17e650e1c061b266,10c8201c83c0310813568165f4ffd67e31bf097f9c0210fbac81e045aec2ba1d,d379afdedb2c806baf1d2a3fa9af051711b5954d9c1b7211b8acd5d0b541df02,ea843835f030fd14b04e63a605171f2298ee612fa43824de1ef8115bd30de72c,6ebb58771fdc63d9b5f0a063a6191eefb711c0048f8c8a634c8d277460e98c25,afc5bbf768c64f8d3f5539535946e33f959a37feb1816d8e4b92e95eeb17c4b4,766b63cbb51c571ba72b709607108fd559bcfb97d02cd7e1ccc49829b642cc6e,67c1090bdd8591b611df89f017e8ba46cca6b1aaaf1fbc92b4382404de0d3848
"1000","0","1","1","5","10011","1","0","0","1","1"
"2000","0","2","2","2","10012","2","0","1","2","0"
"2000","0","3","2","5","10013","3","0","1","3","0"
"2000","0","4","2","8","10014","4","0","1","4","0"
"3000","0","5","3","2","10015","5","0","2","5","0"
"3000","0","6","3","5","10016","6","0","3","6","0"
"3000","0","7","3","8","10017","7","0","4","7","0"
"4000","0","8","4","2","10018","8","0","5","8","0"
"4000","0","9","4","5","10019","9","0","6","9","0"
"4000","0","10","4","8","10020","10","0","7","10","0"
"10000","10","11","5","5","10021","11","9","8","11","1"
"8000","0","12","6","2","10022","12","0","11","12","0"
"8000","0","13","6","5","10023","13","0","11","13","0"
"8000","0","14","6","8","10024","14","0","11","14","0"
"10000","0","15","7","2","10025","15","0","12","15","0"
"10000","0","16","7","5","10026","16","0","13","16","0"
"10000","0","17","7","8","10027","17","0","14","17","0"
"12000","0","18","8","2","10028","18","0","15","18","0"
"12000","0","19","8","5","10029","19","0","16","19","0"
"12000","0","20","8","8","10028","20","0","17","20","0"
"20000","20","21","9","5","10030","21","19","18","21","1"
"10000","0","22","10","2","10012","22","0","21","22","0"
"10000","0","23","10","5","10013","23","0","21","23","0"
"10000","0","24","10","8","10014","24","0","21","24","0"
"12000","0","25","11","2","10015","25","0","22","25","0"
"12000","0","26","11","5","10016","26","0","23","26","0"
"12000","0","27","11","8","10017","27","0","24","27","0"
"14000","0","28","12","2","10018","28","0","25","28","0"
"14000","0","29","12","5","10019","29","0","26","29","0"
"14000","0","30","12","8","10020","30","0","27","30","0"
"20000","30","31","13","5","10032","31","29","28","31","1"
"12000","0","32","14","2","10022","32","0","31","32","0"
"12000","0","33","14","5","10023","33","0","31","33","0"
"12000","0","34","14","8","10024","34","0","31","34","0"
"14000","0","35","15","2","10025","35","0","32","35","0"
"14000","0","36","15","5","10026","36","0","33","36","0"
"14000","0","37","15","8","10027","37","0","34","37","0"
"16000","0","38","16","2","10028","38","0","35","38","0"
"16000","0","39","16","5","10029","39","0","36","39","0"
"16000","0","40","16","8","10028","40","0","37","40","0"
"30000","40","41","17","5","10033","41","39","38","41","1"
