b342f1acb5e5ad39fae3dacb8b92981134756f817aa262c88f92fadece3391a3,0a9d24dc60053801acaa078550c2a10bc9f66137d468fda30d167b563e08aae8,4684598b1eb80af204a4e4dcb8c51f257c9b9081abd69844d991a1377ea59ecb,77ac25b8ed79ef93cd95bc811c6f9d39d78786b4f78f5b838f4ada4c07eb2405,480b644c857683813d4e7bebf746e2b752fcb47051ac4dff60697b41cac2b0ad,7b31a509e1cbd92a750745683ce98f83446305a8de76b98fa758408af47f32e8,ff4d71f60aeb993bcc4229b0d95f3037e7ca3e77bed4df5df6f273e6d12ca425,c04f2cdb8990a24af7cf757b1d6b041fd9387b79f20bb4281c80b6b7328de023,2caa3ac7b164bfbdf5e401ca864661f07004687693192fa44df079a1aea5588f,07a1875c64bf6df2d4d402c8f2bb58b40de88b4565835d0c7ece921ba6a44669
"100","獲得20個零件","10000","0","1","1","1","3","1","20"
"100","獲得25個零件","10001","0","2","2","1","3","1","25"
"100","獲得30個零件","10002","0","2","3","1","3","1","30"
"100","獲得35個零件","10003","0","3","4","1","3","1","35"
"100","獲得40個零件","10004","0","3","5","1","3","1","40"
"100","獲得45個零件","10005","0","4","6","1","3","1","45"
"100","獲得50個零件","10006","0","4","7","1","3","1","50"
"101","將總戰力提升至1500以上","20000","0","3","101","1","2","2","1500"
"101","將總戰力提升至2000以上","20001","0","3","102","1","2","2","2000"
"101","將總戰力提升至2500以上","20002","0","3","103","1","2","2","2500"
"101","將總戰力提升至3000以上","20003","0","3","104","1","2","2","3000"
"101","將總戰力提升至3500以上","20004","0","3","105","1","2","2","3500"
"101","將總戰力提升至4000以上","20005","0","4","106","1","2","2","4000"
"101","將總戰力提升至4500以上","20006","0","4","107","1","2","2","4500"
"101","將總戰力提升至5000以上","20007","0","4","108","1","2","2","5000"
"101","將總戰力提升至6000以上","20008","0","4","109","1","2","2","6000"
"101","將總戰力提升至7000以上","20009","0","4","110","1","2","2","7000"
"101","將總戰力提升至8000以上","20010","0","5","111","1","2","2","8000"
"101","將總戰力提升至9000以上","20011","0","5","112","1","2","2","9000"
"101","將總戰力提升至10000以上","20012","0","5","600","1","2","2","10000"
"200","累積獲得100pt戰鬥點數","30000","0","2","201","2","4","3","100"
"200","累積獲得200pt戰鬥點數","30001","0","2","202","2","4","3","200"
"200","累積獲得300pt戰鬥點數","30002","0","2","203","2","4","3","300"
"200","累積獲得400pt戰鬥點數","30003","0","2","204","2","4","3","400"
"200","累積獲得500pt戰鬥點數","30004","0","2","205","2","4","3","500"
"200","累積獲得600pt戰鬥點數","30005","0","3","206","2","4","3","600"
"200","累積獲得700pt戰鬥點數","30006","0","3","207","2","4","3","700"
"200","累積獲得800pt戰鬥點數","30007","0","3","208","2","4","3","800"
"200","累積獲得900pt戰鬥點數","30008","0","3","209","2","4","3","900"
"200","累積獲得1000pt戰鬥點數","30009","0","3","210","2","4","3","1000"
"400","從布武機那邊獲得5個零件","50000","0","7","401","4","1","5","5"
"400","從布武機那邊獲得10個零件","50001","0","7","402","4","1","5","10"
"400","從布武機那邊獲得15個零件","50002","0","7","403","4","1","5","15"
"400","從布武機那邊獲得20個零件","50003","0","7","404","4","1","5","20"
"400","從布武機那邊獲得25個零件","50004","0","7","405","4","1","5","25"
"400","從布武機那邊獲得30個零件","50005","0","7","406","4","1","5","30"
"400","從布武機那邊獲得35個零件","50006","0","7","407","4","1","5","35"
"400","從布武機那邊獲得40個零件","50007","0","7","408","4","1","5","40"
"400","從布武機那邊獲得45個零件","50008","0","7","409","4","1","5","45"
"400","從布武機那邊獲得50個零件","50009","0","6","700","4","1","5","50"
"209","累積獲得800pt戰鬥點數（可以不限次數達成）","60000","30009","7","999","2","4","6","800"
"300","通過關卡14","70000","0","6","799","3","3","7","14"
"301","通過關卡50","70001","0","8","800","3","3","7","50"
