a71d3ffd7e1f0416d22c5b5136e058c1727efa692b90e98cb809a3f314123a93,7699d553927376fb7a6a94d0e24fed31f255535cc67d8b467a6cffc495f26cd2,6b69a2310528fe8ea7e62706528aa8542df024368b8c1c97afc990e3ddd501c5,2002e1611e9dd0c0bfb0fc4a3d4d59d48645d4f678937db66d49e5e15229e57c,fbf33d12b683bb33dbb8815143233b02f7ed0422a5a290b5a853b887bd1f6c89,d0232740b9edbc9debe52bac833344678ca6ecfa1cf12222ef84cffff5a578b5,5124d27a5798411f4327b45ec2004b13b545617a840a8cea8bf21c6e244ba8d4,2489512fef906253b614f8bca5a0742817d4574b575da7545507adc2d8769f17
"0","111","110001","90110001","110001","完成石像鬼（EASY）","70000","1"
"0","112","110002","90110002","110001","完成石像鬼（NORMAL）","70000","1"
"0","113","110003","90110003","110001","完成石像鬼（HARD）","70000","1"
"0","114","110004","90110004","110001","完成石像鬼（VERY HARD）","70000","1"
"0","115","110005","90110005","110001","完成石像鬼（EXTREME）","70000","1"
"0","121","120001","90120001","110001","完成法師石像鬼（EASY）","70000","1"
"0","122","120002","90120002","110001","完成法師石像鬼（NORMAL）","70000","1"
"0","123","120003","90120003","110001","完成法師石像鬼（HARD）","70000","1"
"0","124","120004","90120004","110001","完成法師石像鬼（VERY HARD）","70000","1"
"0","125","120005","90120005","110001","完成法師石像鬼（EXTREME）","70000","1"
"0","131","130001","90130001","110001","完成守衛石像鬼（EASY）","70000","1"
"0","132","130002","90130002","110001","完成守衛石像鬼（NORMAL）","70000","1"
"0","133","130003","90130003","110001","完成守衛石像鬼（HARD）","70000","1"
"0","134","130004","90130004","110001","完成守衛石像鬼（VERY HARD）","70000","1"
"0","135","130005","90130005","110001","完成守衛石像鬼（EXTREME）","70000","1"
"0","141","140001","90140001","110001","完成石像鬼‧炸裂（EASY）","70000","1"
"0","142","140002","90140002","110001","完成石像鬼‧炸裂（NORMAL）","70000","1"
"0","143","140003","90140003","110001","完成石像鬼‧炸裂（HARD）","70000","1"
"0","144","140004","90140004","110001","完成石像鬼‧炸裂（VERY HARD）","70000","1"
"0","145","140005","90140005","110001","完成石像鬼‧炸裂（EXTREME）","70000","1"
"0","151","150001","90150001","110001","完成石像鬼‧魔幻（EASY）","70000","1"
"0","152","150002","90150002","110001","完成石像鬼‧魔幻（NORMAL）","70000","1"
"0","153","150003","90150003","110001","完成石像鬼‧魔幻（HARD）","70000","1"
"0","154","150004","90150004","110001","完成石像鬼‧魔幻（VERY HARD）","70000","1"
"0","155","150005","90150005","110001","完成石像鬼‧魔幻（EXTREME）","70000","1"
