id,item_id,type,point,message_id
"1","97501","1","1","97501"
"2","97502","2","3","97502"
"3","97503","1","1","97503"
"4","97504","1","1","97504"
"5","97505","1","1","97505"
"6","97506","2","3","97506"
"7","97507","2","3","97507"
"8","97508","2","3","97508"
"9","97509","1","1","97509"
"10","97510","1","1","97510"
"11","97511","2","3","97511"
"12","97512","2","3","97512"
"13","97513","2","3","97513"
"14","97514","2","3","97514"
"15","97515","1","1","97515"
"16","97516","2","3","97516"
"17","97517","2","3","97517"
"18","97518","2","3","97518"
"19","97519","2","3","97519"
"20","97520","2","3","97520"
