f8722b44ae5af3a3b0de4ff5da296cff33ac6372c200f28e40247333b35d87ad,a91f49a28247c55368c42434f88ccb898ecd00d272c33c58a7c458b96c815293,816b61d909833ab68c9d419bc36dd4ba138bef664d72790cda786cfc086f6069,5626fd9d773c451fb9089ffcb718df15f0ddbcd60d7b5416dbf26b61c4b1ba1f,27405a1e2baeaf0a8a87151f79ba9daa351a8f7705405edaf1206cc19ddacf0f,7a21cd08c562fc8381e912c45ef6c0b3769f3d1e8c1ffb6cac73106b57fc7a21,ae10f96310fe3439bf902a91af8e2f865acad2a9f1f62b8414cb02b91e6d0dd8,48c4c57f740709d6fe9afe7ee8e60fc5b95f1f177b4820856d99c9eae7c37422,c22797d01139224fe5b7d0539260fbea1f86babd3f888a1844321237b29d0ebd,e9bb1cc02d8fcaddb1cc8ea4afd708fcade5cf6044bf3e32daaf4c6f384fb06d,455dde3005eeec2f258f57febdf90a550ca8fe519d5ecae89b007c2eddd5383f,7e296f6d593e66f765def78a2dcf4da4e5d0eef745744fe017ce701adb347837,9f0beb47e5361c0f8fa738452ffbb9b285e03694190229be825d0a7ab70d880e,b27810ed856b9d8e655bea176734e339ea23223a8efe6ec8cd40307bf176e606
"30","6","1","1","4","-1","1001","1","1","1","1","1","30","7"
"60","6","1","1","31","-1","1002","1","1","1","1","1","60","11"
"90","6","1","1","61","-1","1003","1","1","1","1","1","90","15"
"120","6","1","1","91","-1","1004","1","1","1","1","1","120","19"
"150","6","1","1","121","-1","1005","1","1","1","1","1","150","23"
"180","6","1","1","151","-1","1006","1","1","1","1","1","180","27"
"210","6","1","1","181","-1","1007","1","1","1","1","1","210","29"
"240","6","1","1","211","-1","1008","1","1","1","1","1","240","31"
"270","6","1","1","241","-1","1009","1","1","1","1","1","270","31"
"300","6","1","1","271","-1","1010","1","1","1","1","1","300","31"
"-1","6","1","1","301","-1","1011","1","1","1","1","1","310","31"
"30","5","2","1","4","-1","1101","1","1","1","1","1","30","7"
"60","5","2","1","31","-1","1102","1","1","1","1","1","60","11"
"90","5","2","1","61","-1","1103","1","1","1","1","1","90","15"
"120","5","2","1","91","-1","1104","1","1","1","1","1","120","19"
"150","5","2","1","121","-1","1105","1","1","1","1","1","150","23"
"180","5","2","1","151","-1","1106","1","1","1","1","1","180","27"
"210","5","2","1","181","-1","1107","1","1","1","1","1","210","29"
"240","5","2","1","211","-1","1108","1","1","1","1","1","240","31"
"270","5","2","1","241","-1","1109","1","1","1","1","1","270","31"
"300","5","2","1","271","-1","1110","1","1","1","1","1","300","31"
"-1","5","2","1","301","-1","1111","1","1","1","1","1","310","31"
"30","5","3","1","4","-1","1201","1","1","1","1","1","-1","7"
"60","5","3","1","31","-1","1202","1","1","1","1","1","-1","11"
"90","5","3","1","61","-1","1203","1","1","1","1","1","-1","15"
"120","5","3","1","91","-1","1204","1","1","1","1","1","-1","19"
"150","5","3","1","121","-1","1205","1","1","1","1","1","-1","23"
"180","5","3","1","151","-1","1206","1","1","1","1","1","-1","27"
"210","5","3","1","181","-1","1207","1","1","1","1","1","-1","29"
"240","5","3","1","211","-1","1208","1","1","1","1","1","-1","31"
"270","5","3","1","241","-1","1209","1","1","1","1","1","-1","31"
"300","5","3","1","271","-1","1210","1","1","1","1","1","-1","31"
"-1","5","3","1","301","-1","1211","1","1","1","1","1","-1","31"
"30","5","4","1","4","-1","1301","1","1","1","1","1","30","7"
"60","5","4","1","31","-1","1302","1","1","1","1","1","60","10"
"90","5","4","1","61","-1","1303","1","1","1","1","1","90","13"
"120","5","4","1","91","-1","1304","1","1","1","1","1","120","16"
"150","5","4","1","121","-1","1305","1","1","1","1","1","150","19"
"180","5","4","1","151","-1","1306","1","1","1","1","1","180","22"
"210","5","4","1","181","-1","1307","1","1","1","1","1","210","25"
"240","5","4","1","211","-1","1308","1","1","1","1","1","240","28"
"270","5","4","1","241","-1","1309","1","1","1","1","1","270","28"
"300","5","4","1","271","-1","1310","1","1","1","1","1","300","28"
"-1","5","4","1","301","-1","1311","1","1","1","1","1","310","28"
"30","5","5","1","4","-1","1401","1","1","1","1","1","-1","7"
"60","5","5","1","31","-1","1402","1","1","1","1","1","-1","10"
"90","5","5","1","61","-1","1403","1","1","1","1","1","-1","13"
"120","5","5","1","91","-1","1404","1","1","1","1","1","-1","16"
"150","5","5","1","121","-1","1405","1","1","1","1","1","-1","19"
"180","5","5","1","151","-1","1406","1","1","1","1","1","-1","22"
"210","5","5","1","181","-1","1407","1","1","1","1","1","-1","25"
"240","5","5","1","211","-1","1408","1","1","1","1","1","-1","28"
"270","5","5","1","241","-1","1409","1","1","1","1","1","-1","28"
"300","5","5","1","271","-1","1410","1","1","1","1","1","-1","28"
"-1","5","5","1","301","-1","1411","1","1","1","1","1","-1","28"
"30","3","6","1","4","-1","1501","1","1","1","1","1","-1","7"
"60","3","6","1","31","-1","1502","1","1","1","1","1","-1","10"
"90","3","6","1","61","-1","1503","1","1","1","1","1","-1","13"
"120","3","6","1","91","-1","1504","1","1","1","1","1","-1","16"
"150","3","6","1","121","-1","1505","1","1","1","1","1","-1","19"
"180","3","6","1","151","-1","1506","1","1","1","1","1","-1","22"
"210","3","6","1","181","-1","1507","1","1","1","1","1","-1","22"
"240","3","6","1","211","-1","1508","1","1","1","1","1","-1","22"
