ad13bf412bcddd6d918bef58cd5cbf69fbb0e8f78b3cd481fdc5d272b666d382,d2934758704eb6f40810f85c68a589dd04e0ea26739b53a66530a437f47d267c,7ad814e3e4287c68d62f6e2b8353d69c825a6aa0a746f66846ea6c4cc8b43ce1,2594870df7b0ea43b6ab91d6655a32f7cb342d6f6e8ce82ee8d1dad770b67b7f,e676a464f9b195a59e37e1b9cb5eab5af8f1569a976edca63a33f234ed49b7e7
"101","1","0","0",""
"102","1","0","11002008","主線冒險2-8（NORMAL）通關後解放"
"103","1","0","11002005","      主線冒險\n      2-5（NORMAL）\n      通關後解放"
"104","1","0","11002012","    主線冒險\n    2-12(NORMAL)\n    通關後解放"
"107","1","0","11003001","    主線冒險\n    3-1（NORMAL）\n    通關後解放"
"108","1","0","11009001","主線冒險9-1（NORMAL）通關後解放"
"109","1","0","11009002","主線冒險9-2（NORMAL）通關後解放"
"110","1","0","11001005","主線冒險1-5（NORMAL）通關後解放"
"111","1","0","12018001","主線冒險18-1（HARD）通關後解放"
"112","1","0","11018005","主線冒險18-5（NORMAL）通關後解放"
"115","1","0","11008001","主線冒險8-1（NORMAL）通關後解放"
"116","1","0","11002004","主線冒險2-4（NORMAL）通關後解放"
"117","1","0","11003003","主線冒險3-3（NORMAL）通關後解放"
"118","1","0","11002007","主線冒險2-7（NORMAL）通關後解放"
"119","1","0","11009003","主線冒險9-3（NORMAL）通關後解放"
"124","1","0","11003001","主線冒險3-1（NORMAL）通關後解放"
"125","1","0","0","閱覽露娜之塔序幕劇情後解放"
"127","1","0","11010001","主線冒險\n10-1（NORMAL）\n通關後解放"
"129","1","0","11002006","主線冒險2-6（NORMAL）通關後解放"
"130","1","0","11063001","主線冒險\n63-1（NORMAL）\n通關後解放"
"201","1","0","0",""
"202","1","0","11004006","主線冒險4-6（NORMAL）通關後解放"
"203","1","0","11008015","主線冒險8-15（NORMAL）通關後解放"
"204","1","0","11002012","主線冒險2-12（NORMAL）通關後解放"
"205","1","0","11003001","主線冒險3-1（NORMAL）通關後解放"
"206","1","0","11004013","主線冒險4-13（NORMAL）通關後解放"
"207","1","0","0",""
"210","1","0","0",""
"212","1","0","11004013","主線冒險4-13（NORMAL）通關後解放"
"213","1","0","11018001","主線冒險18-1（NORMAL）通關後解放"
"214","1","0","11018001","主線冒險18-1（NORMAL）通關後解放"
"215","1","0","11018001","主線冒險18-1（NORMAL）通關後解放"
"216","1","0","0",""
"401","1","0","11004006","主線冒險\n4-6（NORMAL）\n通關後解放"
"402","1","0","11008015","主線冒險\n8-15（NORMAL）\n通關後解放"
"503","1","0","11002002","主線冒險2-2（NORMAL）通關後解放"
"506","1","0","11003005","主線冒險3-5（NORMAL）通關後解放"
"509","1","0","11002003","主線冒險2-3（NORMAL）通關後解放"
"510","1","0","11019001","主線冒險19-1（NORMAL）通關後解放"
"511","1","0","11019005","主線冒險19-5（NORMAL）通關後解放"
"601","1","0","11002001","主線冒險2-1（NORMAL）通關後解放"
"602","1","0","11007001","主線冒險7-1（NORMAL）通關後解放"
"603","1","0","11016014","主線冒險16-14（NORMAL）通關後解放"
"701","1","0","11003001","主線冒險3-1（NORMAL）通關後解放"
"802","1","0","11001007","主線冒險1-7（NORMAL）通關後解放"
"904","1","0","11002009","主線冒險2-9（NORMAL）通關後解放"
"905","1","0","11002009","主線冒險2-9（NORMAL）通關後解放"
"906","1","0","0",""
"909","1","0","11003006","主線冒險3-6（NORMAL）通關後解放"
"910","1","0","11008001","主線冒險8-1（NORMAL）通關後解放"
"1001","1","0","11018001","主線冒險\n18-1（NORMAL）\n通關後解放"
"8001","1","0","11003002","主線冒險3-2（NORMAL）通關後解放"
