b13615b2db5c046bc62b16901704f35812d916d155c9541503ee614aa78c3503,eda0f737a38937456bc50925d05bc6e4f8e3f04b36eacceb6116cf50767b0216,8f2a682266d1990f51639f1551c2d5807fdc2a775fefe94b82dd8c43f31606e5,b53f3d46a4f411fd667f4f229a900fb87ca6e9cf049442639202728b5408df1e,d4c09c84eac87431f967ccc7249d54518c84f2938eeac9a605f8f8d0e9cab29a,b3c0af8a3beebc2fddeed338d607ca79fdc9fd91c7cb5b80e796fcaf66493136,97319c9fe9a95f1db2c76c8169ee98e6496a019d307912c789a18ed5cdb0870c,0dd4547fff59f016c75549feea422a9b9b614a1bdcf79c1891098899e3b3855f,ecaba31012f0a778cfa20ccf6ac82bf379f978dd8007b041e55b68fce0cb64d3,cb5041c475dd7ea0e02ec4460c4286cafb1368170f1464919202785f0afdd480,3889780c3d9681cb5846be887262d590448d2272b59d81518710d8b38e2debc4
"10","91002","31","1","8","2","2","25015","285001001","8","25021"
"10","91002","31","2","8","2","2","25015","285001002","8","25021"
"10","91002","32","3","8","2","2","25015","285001003","8","25021"
"10","91002","32","4","8","2","2","25015","285001004","8","25021"
"10","91002","33","5","8","2","2","25015","285001005","8","25021"
"10","91002","33","6","8","2","2","25015","285001006","9","25021"
"10","91002","34","7","8","2","2","25015","285001007","9","25021"
"10","91002","35","8","8","2","2","25015","285001008","9","25021"
"10","91002","35","9","8","2","2","25015","285001009","9","25021"
"30","91002","37","10","8","2","2","25015","285001010","10","25021"
"10","91002","41","11","8","2","2","25015","285001011","10","25021"
"10","91002","43","12","8","2","2","25015","285001012","11","25021"
"10","91002","46","13","8","2","2","25015","285001013","11","25021"
"10","91002","48","14","8","2","2","25015","285001014","12","25021"
"10","91002","50","15","8","2","2","25015","285001015","12","25021"
"10","91002","53","16","8","2","2","25015","285001016","13","25021"
"10","91002","55","17","8","2","2","25015","285001017","14","25021"
"10","91002","58","18","8","2","2","25015","285001018","14","25021"
"10","91002","60","19","8","2","2","25015","285001019","15","25021"
"30","91002","62","20","8","2","2","25015","285001020","15","25021"
"10","91002","68","21","8","2","2","25015","285001021","16","25021"
"10","91002","70","22","8","2","2","25015","285001022","16","25021"
"10","91002","72","23","8","2","2","25015","285001023","16","25021"
"10","91002","75","24","8","2","2","25015","285001024","17","25021"
"10","91002","77","25","8","2","2","25015","285001025","18","25021"
"10","91002","79","26","8","2","2","25015","285001026","18","25021"
"10","91002","82","27","8","2","2","25015","285001027","19","25021"
"10","91002","84","28","8","2","2","25015","285001028","19","25021"
"10","91002","86","29","8","2","2","25015","285001029","19","25021"
"30","91002","89","30","8","2","2","25015","285001030","20","25021"
"10","91002","94","31","8","2","2","25015","285001031","20","25021"
"10","91002","96","32","8","2","2","25015","285001032","21","25021"
"10","91002","99","33","8","2","2","25015","285001033","21","25021"
"10","91002","101","34","8","2","2","25015","285001034","22","25021"
"10","91002","103","35","8","2","2","25015","285001035","22","25021"
"10","91002","106","36","8","2","2","25015","285001036","23","25021"
"10","91002","108","37","8","2","2","25015","285001037","23","25021"
"10","91002","111","38","8","2","2","25015","285001038","24","25021"
"10","91002","113","39","8","2","2","25015","285001039","25","25021"
"30","91002","115","40","8","2","2","25015","285001040","25","25021"
"10","91002","121","41","8","2","2","25015","285001041","26","25021"
"10","91002","123","42","8","2","2","25015","285001042","27","25021"
"10","91002","125","43","8","2","2","25015","285001043","28","25021"
"10","91002","128","44","8","2","2","25015","285001044","28","25021"
"10","91002","130","45","8","2","2","25015","285001045","29","25021"
"10","91002","132","46","8","2","2","25015","285001046","30","25021"
"10","91002","135","47","8","2","2","25015","285001047","30","25021"
"10","91002","137","48","8","2","2","25015","285001048","31","25021"
"10","91002","139","49","8","2","2","25015","285001049","31","25021"
"30","91002","142","50","8","2","2","25015","285001050","31","25021"
