4c42f8ecf65de46ce8b8046e040ea11a66af9f22fc145507ac55ce1b1498f615,f06fa802007cddae1e18dcb69bc678b661a1589c82cc4928e9d292136dfb53e9,42a23b9fcbb5cefaf848e249982683c3f424f9de829dc3226e1d41c3c258d5a8,64ca263ed32d5734ee11c7dbbeb8bc8bb8f76c998634cd7524e853027fe1d534,555884c971f67b065389abf661c9681d33978f1ca2be45eb65054fa9c83846f9,7baf6fc1fa42fe513787e4f2ef24ce720a58331e1548c714bcb9b2090ed1ea7d,a57586183701a11df3f2c99842d9d561fc26cbe18113c4943747143adbcf8a82,3157ce94ec63f1e8524a80cf3967203772ac9c6810394d104a062f65d44dce80,a035cad4d09a8ef64bc356edb2cda7ff152fc84279a3d386994105379f02fd15,4f0ace1b71941e21cc9024131ddf632a53ded9d182e3d65bb3dbc98f6e12bb11,cdb7fee95e1290044274c9f03653367cfde6d3290ba999ce2d80f66a31336f83
"11001","11001","1","1","ＴＰ上升+5","10","在迷宮內發現的耳環。\n會賦予裝備者活力加速的效果。","1800","1","加速玉飾","0"
"11002","11002","1","1","每受到傷害時恢復ＴＰ100（最多１次）","10","在迷宮內發現的圓盾。\n能將受到的攻擊轉換為能量。","1800","1","水蓮之盾","0"
"11003","11003","1","1","戰鬥開始時恢復ＴＰ100","10","在迷宮內發現的手環。\n當戰鬥開始，會同時給予\n裝備者能量。","1800","1","青輝之環","0"
"11004","11004","1","1","ＴＰ消耗減輕＋2","10","在迷宮內發現的法杖。\n會賦予裝備者保存力量的效果。","1800","1","冷玉法杖","0"
"11005","11005","1","1","可重複的行動速度＋10％","10","在迷宮內發現的鞋。\n能讓裝備者迅速行動。","1800","1","踏風之鞋","0"
"12001","12001","2","1","狀態異常命中＋20","10","在迷宮內發現的首飾。\n能更容易對敵人造成異常狀態。","1800","1","紫晶比薩利歐","0"
"12002","12002","2","1","對敵方全體施加詛咒（每秒【弱化】數×500傷害）","10","在迷宮內發現的法杖。光持有\n就能詛咒敵人。","1800","1","魔杖梅吉那耶","0"
"12003","12003","2","1","對敵方全體施加中毒（每秒【弱化】數×500傷害）","10","在迷宮內發現的短劍。\n光持有就能令敵人中毒。","1800","1","暗劍劇毒","0"
"12004","12004","2","1","敵人的物理/魔法攻擊力－10％","10","在迷宮內發現的帽子。\n一旦裝備，就能弱化敵人的攻擊。","1800","1","破防帽消解","0"
"12005","12005","2","1","敵人的物理/魔法防禦力－10％","10","在迷宮內發現的刀。\n擁有瓦解敵人防禦的力量。","1800","1","崩刀山崎","0"
"13001","13001","3","1","敵人的物理/魔法被暴擊傷害＋10％","10","在迷宮內發現的槍。能以犀利\n的一擊對敵人造成重傷。","1800","1","殺手長矛","0"
"13002","13002","3","1","物理/魔法暴擊傷害＋10％","10","在迷宮內發現的刀。可提高\n賦予致命攻擊時的威力。","1800","1","賞花之刀","0"
"13003","13003","3","1","普通攻擊強化＋30","10","在迷宮內發現的法杖。\n能施展出經過強化的一擊。","1800","1","劈裂拳套","0"
"13004","13004","3","1","物理/魔法暴擊率＋10％","10","在迷宮內發現的弓。一旦裝備，\n能更容易給予致命一射。","1800","1","暴擊之弓","0"
"13005","13005","3","1","ＨＰ吸收＋10","10","在迷宮內發現的斧頭。在攻擊\n的同時，能吸取敵人的體力。","1800","1","吸收手斧","0"
"14001","14001","4","1","增益強化＋30","10","在迷宮內發現的耳飾。可提高\n裝備者的強化效果。","1800","1","強化寶石","0"
"14002","14002","4","1","提升物理/魔法攻擊力\n（前方角色的物理防禦力×5）","10","在迷宮內發現的鎧甲。能將\n夥伴的強韌轉換為自身的攻擊。","1800","1","抗鐵板甲","0"
"14003","14003","4","1","提升物理/魔法攻擊力\n（前方角色的魔法防禦力×5）","10","在迷宮內發現的禮服。能將\n裝備者的抗魔天賦替換成攻擊力。","1800","1","抗魔禮服","0"
"14004","14004","4","1","物理/魔法攻擊力＋20％","10","在迷宮內發現的大劍。能強化\n裝備者的攻擊力。","1800","1","蛇紋之劍","0"
"14005","14005","4","1","物理/魔法防禦力＋10％","10","在迷宮內發現的鎧甲。能提高\n裝備者的防禦力。","1800","1","防守護甲","0"
"15001","15001","5","1","恢復強化＋10","10","在迷宮內發現的法杖。\n能提高治癒力。","1800","1","回生杖","0"
"15002","15002","5","1","ＨＰ＋10％","10","在迷宮內發現的戒指。\n能強化裝備者的生命力。","1800","1","豐命輪","0"
"15003","15003","5","1","每20秒展開物理無效護盾（【守備】數×500無效）","10","在迷宮內發現的鎧甲。\n能保護裝備者免受物理攻擊。","1800","1","鐵防甲","0"
"15004","15004","5","1","每20秒展開魔法無效護盾（【守備】數×500無效）","10","在迷宮內發現的長袍。\n能保護裝備者免受魔法攻擊。","1800","1","魔封衣","0"
"15005","15005","5","1","持續恢復ＨＰ（每秒【守備】數×500恢復）","10","在迷宮內發現的手環。\n會賦予裝備者再生的力量。","1800","1","再生手鐲","0"
"21001","21001","1","2","ＴＰ上升+10","10","在迷宮內發現的耳飾形遺物。\n能如同流水的猛烈般，\n增幅活力加速。","2800","2","流烈耳飾","0"
"21002","21002","1","2","每受到傷害時恢復ＴＰ100（最多２次）","10","在迷宮內發現的圓盾形遺物。\n能賦予裝備者星星的治癒，\n將攻擊轉換為能量。","2800","2","星淚之輝盾","0"
"21003","21003","1","2","戰鬥開始時恢復ＴＰ200","10","在迷宮內發現的手環遺物。\n鑲嵌的蒼珠能感應到敵人，\n並賦予力量。","2800","2","蒼珠手鐲","0"
"21004","21004","1","2","ＴＰ消耗減輕＋4","10","在迷宮內發現的法杖遺物。\n封印其中的眾星神祕，\n會代替裝備者承受力量的消耗。","2800","2","星光儀杖","0"
"21005","21005","1","2","可重複的行動速度＋20％","10","在迷宮內發現、長有羽翼的鞋形\n遺物。能給予裝備者疾風之力，\n加速行動。","2800","2","疾風之翼鞋","0"
"22001","22001","2","2","狀態異常命中＋40","10","在迷宮內發現的首飾形遺物。\n據說會透過寶石的光芒俘獲敵人，\n帶來異樣。","2800","2","闇至寶阿諾瑪里拉","0"
"22002","22002","2","2","對敵方全體施加詛咒（每秒【弱化】數×1000傷害）","10","在迷宮內發現的法杖形遺物。\n法杖前端核心流淌的\n邪氣會對敵人施加詛咒。","2800","2","邪眼杖末日","0"
"22003","22003","2","2","對敵方全體施加中毒（每秒【弱化】數×1000傷害）","10","在迷宮內發現的短劍形遺物。\n藏在刀刃中的毒會氣化，\n在與敵人交鋒的瞬間使對方中毒。","2800","2","影刃劍普拉爾","0"
"22004","22004","2","2","敵人的物理/魔法攻擊力－20％","10","在迷宮內發現的帽形遺物。\n如同糾纏的荊棘般，\n阻隔敵人的攻擊力。","2800","2","薔薇飾帽消除","0"
"22005","22005","2","2","敵人的物理/魔法防禦力－20％","10","在迷宮內發現的刀遺物。\n被血染紅的刀身，\n能夠輕易割開敵人的裝甲。","2800","2","斬赤刃分割","0"
"23001","23001","3","2","敵人的物理/魔法被暴擊傷害＋20％","10","在迷宮內發現的槍遺物。\n外型特殊的槍尖能對敵人\n造成更深的傷。","2800","2","死亡之槍","0"
