8fd0d0e81a0dddaea48600794ddeb9a03e980b40d923de2c96cde7ea6a43aab7,1f107752a8e2fd11caa3afa9bbef1bd1aa401ec3ef19c6c97836662aabfb1e40,4cca20a3065c32c547b88a94bfbd67e1ac7a1e4a3e14565ecd75a19b111aca7b,ac7fdb83dfc460273d8b11be80e13443345fa8c4dae18f884b87c095909a28e6,a0001d1e663f75298f776314add95b807988632b76063d82877fd83082512b32,8541f242ebc3ee1f70b118076741ba25330dfe03e861e50a4dcf299a7bae0c3a
"20025","1101","0","0","1","1"
"20025","1102","0","0","1","1"
"20025","1103","5042002","1","1","0"
"20025","1104","0","0","1","1"
"20025","1105","5042003","1","1","0"
"20025","1106","0","0","1","1"
"20025","1107","5042005","2","1","0"
"20025","1201","5042007","1","2","0"
"20025","1202","5042007","2","2","0"
"20025","1203","0","0","2","1"
"20025","1204","0","0","2","1"
"20025","1301","0","0","1","0"
