e9351c0b83597ff806f264202c255faf815ebaefb6ed9312b562033acc0106f1,de0cfe2c3c8262c4d8f09902b4a7fa949edd74ffb49db0bafb062593b17842ca,b055911d675896813c89c5ae5e5e31b990e8869c17355d3bec281d931b1c1eec,576ef22ea6cc2514a344dcde4bd54558dab5fbabde1a2c4d7045a4148c78edab,63e040afb638c8515740cb287ac2e66c9db03b8a8aa379bee32a982257b23347,c03b808afc21889f5320c49d80b5109d216f95307af9756485f1e1cac2d4588a,1d935db76a653cba31adfa83bb0fb5abeab43e7e9b2ad4d8d40e5ecf59fc0914,214af5b353670e5026b54f2b12cf3d911dd58f2885643ae50bd474b0d98a865c,adba08c9c6dbe35f80a3e5ab798c613a4b570c1670dd716f8253c569ed8dce77,a14824a14581c5ffb0f81ee8d6214fa3a5324b14b328f16fd87f15db56526863,355be321c33944b55ea4e7729ba69497fde83f640020ee5c359ad0d763a0bef7
"歐姆蛋","1010100","110","250","1","1","1","10101","0","0","8"
"歐姆蛋","1010101","110","222","1","1","1","10101","0","0","9"
"歐姆蛋","1010102","110","200","1","1","1","10101","0","0","10"
"歐姆蛋","1010200","110","400","2","1","1","10102","0","0","9"
"歐姆蛋","1010201","110","367","2","1","1","10102","0","0","10"
"歐姆蛋","1010202","110","338","2","1","1","10102","0","0","11"
"歐姆蛋","1010300","110","640","3","1","1","10103","0","0","10"
"歐姆蛋","1010301","110","597","3","1","1","10103","0","0","11"
"歐姆蛋","1010302","110","560","3","1","1","10103","0","0","12"
"餃子","1020100","115","275","1","1","2","10201","0","0","9"
"餃子","1020101","115","248","1","1","2","10201","0","0","10"
"餃子","1020102","115","225","1","1","2","10201","0","0","11"
"餃子","1020200","115","440","2","1","2","10202","0","0","10"
"餃子","1020201","115","406","2","1","2","10202","0","0","11"
"餃子","1020202","115","377","2","1","2","10202","0","0","12"
"餃子","1020300","115","704","3","1","2","10203","0","0","11"
"餃子","1020301","115","660","3","1","2","10203","0","0","12"
"餃子","1020302","115","621","3","1","2","10203","0","0","13"
"章魚燒","1030100","100","200","1","1","3","10301","0","0","8"
"章魚燒","1030101","100","175","1","1","3","10301","0","0","9"
"章魚燒","1030102","100","156","1","1","3","10301","0","0","10"
"章魚燒","1030200","100","320","2","1","3","10302","0","0","9"
"章魚燒","1030201","100","291","2","1","3","10302","0","0","10"
"章魚燒","1030202","100","267","2","1","3","10302","0","0","11"
"章魚燒","1030300","100","512","3","1","3","10303","0","0","10"
"章魚燒","1030301","100","475","3","1","3","10303","0","0","11"
"章魚燒","1030302","100","444","3","1","3","10303","0","0","12"
"飯糰","1040100","115","225","1","1","4","10401","0","0","9"
"飯糰","1040101","115","200","1","1","4","10401","0","0","10"
"飯糰","1040102","115","180","1","1","4","10401","0","0","11"
"飯糰","1040200","115","360","2","1","4","10402","0","0","10"
"飯糰","1040201","115","330","2","1","4","10402","0","0","11"
"飯糰","1040202","115","305","2","1","4","10402","0","0","12"
"飯糰","1040300","115","576","3","1","4","10403","0","0","11"
"飯糰","1040301","115","538","3","1","4","10403","0","0","12"
"飯糰","1040302","115","504","3","1","4","10403","0","0","13"
"沙威瑪","1050100","150","300","1","1","5","10501","0","0","10"
"沙威瑪","1050101","150","273","1","1","5","10501","0","0","11"
"沙威瑪","1050102","150","250","1","1","5","10501","0","0","12"
"沙威瑪","1050200","150","480","2","1","5","10502","0","0","11"
"沙威瑪","1050201","150","446","2","1","5","10502","0","0","12"
"沙威瑪","1050202","150","416","2","1","5","10502","0","0","13"
"沙威瑪","1050300","150","768","3","1","5","10503","0","0","12"
"沙威瑪","1050301","150","723","3","1","5","10503","0","0","13"
"沙威瑪","1050302","150","683","3","1","5","10503","0","0","14"
