292bbbaaa56af02c13eff1832c251021a3555a51e53e9096e31e02279c76c5f6,b3da621ba95b568bc85ec1db132a72f7272ecfe8e9bbacdb68579995c7c5b601,2c96c8dbb02c03ec59efd9405aae785682daaece36af25c8e526055c246f376e,16e366ad7323ee5df4c8622b604878b58c8a7065110b8f09a70fba0b5dab63c3,32dedaf622511548e2fa5433dda8e18783fc9ebd0848429157e109cc21d86d6b,71fd2849b512c578d0a53113aa72315223f1a413f26c0b6750307d3c4e8cb7d7,978ab382347fb1c9c7896743aeeb7d181dda47d32934a793f425bf0b876e0cdc,439fff90625ba3e67184a2657645e3371c4aef50882021274c1f307b29a3a6c0,ce233a7b9ed78dabdd7d6b2dcd09df9a1171ef5dfe8c92500f81f9389671f1de,83e60cc12acd3098062eba7c205b9b2d2bb89a039152ff92a6f1c4871c74796d,17da293706cac841baef932439395a1de4999ab3da75be078933be1c53234dd4,018f5ec9af36c4bc47a84d28af5f6e2f8dbe31eef328efb2f5df1e649db4fcda,535ba6ef30d7060a1cfb1e668ce2ed16466fea81819992df6328c0161efa506f,236145efb6a12aa95efb64c4b2b96d53b6d0a0f7792e7d56ccbfe43adb9fa2f2,03976897085edaad7d214bf64a3528640aa0a416e14f34479102e2af12e2b240,7752d98e5a93abc2d26adca9ddf481758a04f528437a08c24fb74739126c48bd,b8cca67305b321910e6c9dcbc90bb4129e042991a79769986260f05e943ec490,7d4aa9c3165578a605d1895b5489b5d2d923117af71712c57a86b898362ffb56
"1","0","0","32000","0","0","0","0","0","分數累積獲得 32000 分","0","0","0","20000","94002","0","0","12"
"2","0","0","64000","0","0","0","0","0","分數累積獲得 64000 分","0","0","0","30000","94002","0","0","12"
"3","0","0","96000","0","0","0","0","0","分數累積獲得 96000 分","0","0","0","40000","94002","0","0","12"
"4","0","0","128000","0","0","0","0","0","分數累積獲得 128000 分","0","0","0","50000","94002","0","0","12"
"5","0","0","160000","0","0","0","0","0","分數累積獲得 160000 分","0","0","0","25","91002","0","0","8"
"6","0","0","192000","0","0","0","0","0","分數累積獲得 192000 分","0","0","0","1","11001071","0","0","15"
"7","0","0","224000","0","0","0","0","0","分數累積獲得 224000 分","0","0","0","20","23001","0","0","2"
"8","0","0","256000","0","0","0","0","0","分數累積獲得 256000 分","0","0","0","50","91002","0","0","8"
"9","0","0","288000","0","0","0","0","0","分數累積獲得 288000 分","0","0","0","70000","94002","0","0","12"
"10","0","0","320000","0","0","0","0","0","分數累積獲得 320000 分","0","0","0","80000","94002","0","0","12"
"11","0","0","352000","0","0","0","0","0","分數累積獲得 352000 分","0","0","0","75","91002","0","0","8"
"12","0","0","384000","0","0","0","0","0","分數累積獲得 384000 分","0","0","0","100000","94002","0","0","12"
"13","0","0","416000","0","0","0","0","0","分數累積獲得 416000 分","0","0","0","45","23001","0","0","2"
"14","0","0","448000","0","0","0","0","0","分數累積獲得 448000 分","0","0","0","100","91002","0","0","8"
"15","0","0","480000","0","0","0","0","0","分數累積獲得 480000 分","0","0","0","1","11001072","0","0","15"
