5dde9519153fa28344d38dd2b1666ef9605f9059238541183207f6aabee1d415,78ab28747c82190c8a990a8c5491df8480e79fbed04632c495ad4f429fef5228,b9a56f5b7a151c58d14001e8e8bbf2fade47bd1ae5a954b285c263dba7ddfeef,3d27bdf579b1e30d2b1e17fad6db36118f040a8f547ccb7d44c044c90edbe27e
"1","poison_damage_up","戰鬥中，大幅度提升「毒」、「猛毒」所造成的傷害。","提升毒/猛毒造成的傷害"
"2","burn_damage_up","戰鬥中，大幅度提升「火傷」所造成的傷害。","提升火傷造成的傷害"
"3","curse_damage_up","戰鬥中，大幅度提升「詛咒」、「咒術」所造成的傷害。","提升詛咒/咒術造成的傷害"
"4","paralysis_time_extension","戰鬥中，增加「麻痺」的效果時間。","增加麻痺的效果時間"
"5","frozen_time_extension","戰鬥中，增加「凍結」的效果時間。","增加凍結的效果時間"
"6","bind_time_extension","戰鬥中，增加「束縛」的效果時間。","增加束縛的效果時間"
"7","stun_time_extension","戰鬥中，增加「暈眩」的效果時間。","增加暈眩的效果時間"
"8","poison_time_extension","戰鬥中，增加「毒」、「猛毒」的效果時間。","增加毒/猛毒的效果時間"
"9","burn_time_extension","戰鬥中，增加「火傷」的效果時間。","增加火傷的效果時間"
"10","curse_time_extension","戰鬥中，增加「詛咒」、「咒術」的效果時間。","增加詛咒/咒術的效果時間"
"11","temptation_time_extension","戰鬥中，增加「誘惑」的效果時間。","增加誘惑的效果時間"
"12","confusion_time_extension","戰鬥中，增加「混亂」的效果時間。","增加混亂的效果時間"
"13","attack_up","戰鬥中，大幅度提升物理攻擊力。","提升物理攻擊力"
"14","magic_str_up","戰鬥中，大幅度提升魔法攻擊力。","提升魔法攻擊力"
"15","defense_up","戰鬥中，大幅度提升物理防禦力。","物理防禦力提升"
"16","magic_def_up","戰鬥中，大幅度提升魔法防禦力。","魔法防禦力提升"
"17","physical_critical_up","戰鬥中，大幅度提升物理暴擊率。","物理暴擊提高"
"18","magic_critical_up","戰鬥中，大幅度提升魔法暴擊率。","魔法暴擊提高"
"19","energy_recovery_rate_up","戰鬥中，大幅度提升TP上升。","提升TP上升"
"20","energy_recovery","戰鬥開始時，特大幅度恢復TP。","戰鬥開始時，特大幅度恢復TP"
"22","paralysis_hit_absolute","戰鬥中，變成必定可施加「麻痺」的狀態。","必定施加麻痺"
"23","frozen_hit_absolute","戰鬥中，變成必定可施加「凍結」的狀態。","必定施加凍結"
"24","bind_hit_absolute","戰鬥中，變成必定可施加「束縛」的狀態。","必定施加束縛"
"25","stun_hit_absolute","戰鬥中，變成必定可施加「暈眩」的狀態。","必定施加暈眩"
"26","poison_hit_absolute","戰鬥中，變成必定可施加「毒」、「猛毒」的狀態。","必定施加毒/猛毒"
"27","burn_hit_absolute","戰鬥中，變成必定可施加「火傷」的狀態。","必定施加火傷"
"28","curse_hit_absolute","戰鬥中，變成必定可施加「詛咒」、「咒術」的狀態。","必定施加詛咒/咒術"
"29","temptation_hit_absolute","戰鬥中，變成必定可施加「誘惑」的狀態。","必定施加誘惑"
"30","confusion_hit_absolute","戰鬥中，變成必定可施加「混亂」的狀態。","必定施加混亂"
