f6a7b180c57cf8fb019ad3b6b0ea52de3e8009d1ecdd8d52f5324b11487df499,b0da459098a459b87f787ded0db5d3744c7f092ec9028ed308068e6b0e86c758,882f9944998c9ed287a63dd633829ab18db80b9d565b4d2dc28a1ddf45021258,8b61fe4434530d4990434d1e400d02ff84b4fa5b783568e6802da6eecf724faa,ca1ceeb49377ed91f5898101d0ee4c4838c3eede4689ac0a6a829923ff453773,9014415fddb04b79bc01af505779691e3da731ef483ce20971929a958963220b,c3140e8c84e5d1212bdf8b3cff0ef6ef6df9200be68804aa18710d99bd5f2d0e,e60dd51d856945e04436ed4d4f088407cbbfe1ee9da1cdca0833443746c9aad6
"0","短時間內，展開障礙物護盾！","3","0","2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：大）","101"
"5","中時間內，小幅度提升速度與跳躍力！","5","0","3","5","中時間內，小幅度提升速度與　　　跳躍力（TP上升率：小）","102"
"0","短時間內，中幅度提升速度！","4","0","1","6","短時間內，中幅度提升速度　　　　（TP上升率：中）","103"
"0","中時間內，展開障礙物護盾！","5","0","2001","0","中時間內，展開障礙物護盾　　　　（TP上升率：小）","104"
"0","中時間內，小幅度提升速度！","6","0","1","3","中時間內，小幅度提升速度　　　　（TP上升率：小）","105"
"0","中時間內，對戰對手小幅度減速！","6","0","1001","4","中時間內，對戰對手小幅度減速　　（TP上升率：大）","106"
"16","中時間內，特大幅度提升速度與跳躍力！","5","0","3","17","中時間內，特大幅度提升速度與　　跳躍力（TP上升率：小）","107"
"0","回合內，中幅度提升速度！","40","0","1","8","回合內，中幅度提升速度　　　　　（TP上升率：小）","108"
"0","短時間內，特大幅度提升速度！","4","0","1","30","短時間內，特大幅度提升速度　　　（TP上升率：特小）","109"
"0","回合內，對戰對手大幅度減速！","40","0","1001","10","回合內，對戰對手中幅度減速　　　（TP上升率：小）","110"
"0","極短時間內，展開障礙物護盾！","1","0","2001","0","極短時間內，展開障礙物護盾　　　（TP上升率：大）","111"
"0","短時間內，最前方對戰對手大幅度減速！","4","0","1004","15","短時間內，最前方對戰對手　　　　大幅度減速（TP上升率：小）","112"
"0","中時間內，小幅度提升速度！","6","0","1","5","中時間內，小幅度提升速度　　　　（TP上升率：大）","113"
"0","中時間內，小幅度提升跳躍力！","5","0","2","5","中時間內，小幅度提升跳躍力　　　（TP上升率：大）","114"
"0","長時間內，以護盾防止能力降低！","7","0","2002","0","長時間內，以護盾防止能力降低　　（TP上升率：特大）","115"
"0","累積時，小幅度提升速度！","25","0","1","3","累積時，小幅度提升速度　　　　　（TP上升率：特大）","116"
"0","累積時，對戰對手小幅度減速！","25","0","1001","3","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","117"
"20","長時間內，特大幅度提升速度與跳躍力！","7","0","3","30","長時間內，特大幅度提升速度與　　跳躍力（TP上升率：中）","118"
"0","短時間內，最前方對戰對手大幅度減速！","4","0","1004","15","短時間內，最前方的對戰對手　　　大幅度減速（TP上升率：中）","119"
"0","長時間內，以護盾防止能力降低！","7","0","2002","0","長時間內，以護盾防止能力降低　　（TP上升率：大）","120"
"0","長時間內，特大幅度提升跳躍力！","12","0","2","30","長時間內，特大幅度提升跳躍力　　（TP上升率：中）","121"
"0","累積時，最前方的對戰對手大幅度減速！","30","0","1004","15","累積時，最前方的對戰對手　　　　大幅度減速（TP上升率：中）","122"
"2","短時間大幅度加速後，極短時間減速！","4","8","4","11","短時間大幅度加速後，減速　　　　（TP上升率：大）","123"
"0","長時間內，中幅度提升速度！","8","0","1","9","長時間內，中幅度提升速度　　　　（TP上升率：大）","124"
"0","短時間內，展開障礙物護盾！","4","0","2001","0","短時間內，展開障礙物護盾　　　　（TP上升率：中）","125"
"0","累積時，對戰對手小幅度減速！","30","0","1001","3","累積時，對戰對手小幅度減速　　　（TP上升率：特大）","126"
"0","長時間內，特大幅度提升速度！","10","0","1","22","長時間內，特大幅度提升速度　　　（TP上升率：特小）","127"
"0","中時間內，特大幅度提升跳躍力！","4","0","2","30","短時間內，特大幅度提升跳躍力　　（TP上升率：大）","128"
"0","短時間內，對戰對手特大幅度減速！","3","0","1001","20","短時間內，對戰對手特大幅度減速　（TP上升率：大）","129"
"0","短時間內，特大幅度提升速度！","4","0","1","30","短時間內，特大幅度提升速度　　　（TP上升率：大）","130"
