3b7b6d4616592f380251b62dac80bba66a330a29daf9db16dd71e9911f5d5deb,cc1f4ff6c34b74a8e3217904f31ac92e251a975856574fb4329e27d8430574e0,9eac5431e768d17cc89abdde66accb2d5bff153f02bbe7d4dca64ecc416942e2,85b3eb84dc025d2dba486631297def69f6e8537ccdf066bcc559bcb4faa86164,3f0978a02902f6f845ad137cf720f9b039299abef45afcdefb5f5c87225733c3,5515e0ffd711969df98b0ffc8846b2f6da553c5fd7846a5ab6aed9c7aa025895,2493e9337abe87b556c563e165b9d2b574e8dabf72d396e44483a099171d86e1
"開幕式","20036104","10064","1006401","0","0","4"
"開幕式","20036104","10064","1006402","0","0","3"
"賽跑","20036104","10064","1006403","1006402","0","1"
"賽跑","20036104","10064","1006404","1006402","0","4"
"賽跑","20036104","10064","1006405","1006402","0","2"
"騎馬戰","20036104","10064","1006406","1006405","0","2"
"騎馬戰","20036104","10064","1006407","1006405","0","4"
"午休時間","20036106","10064","1006408","1006406","0","3"
"午休時間","20036106","10064","1006409","1006406","0","4"
"各種學術文化展覽","20036106","10064","1006410","1006408","0","3"
"各種學術文化展覽","20036106","10064","1006411","1006408","0","4"
"各種學術文化展覽","20036106","10064","1006412","1006408","0","1"
"女僕咖啡廳","20036108","10064","1006413","1006410","0","4"
"女僕咖啡廳","20036108","10064","1006414","1006410","0","3"
"綜合接力賽","20036113","10064","1006415","1006414","0","3"
"綜合接力賽","20036113","10064","1006416","1006414","0","4"
"頒獎典禮","0","10064","1006417","1006415","2003601","1"
"頒獎典禮","0","10064","1006418","1006415","2003601","4"
"頒獎典禮","0","10064","1006419","1006415","2003601","2"
"閉幕式","0","10064","1006420","1006419","2003601","3"
"閉幕式","0","10064","1006421","1006419","2003601","4"
"達成動畫","0","10064","1006422","1006420","2003601","4"
