280957fe637a39268250c39fa7d6bb1ccc11f1133e2789c195e5d9c8a437f2b0,9e98c8817fdd2e173e762b8eaa7a57f3407c75f39820a5dfb579bac73f52d77f,511263d1c65d3c76b8a975dcc149921cd948fd6fe16b143c07d08cabe51bf2e1,b5910be27aa089eb49850486dc7354683f9b43c63461d91d71127e388b649f71,69c316a8171736f27fac9f95fd311e0a82833633c2ff8cd0100ec88da1cdf6ec,8e46d29f086cda3a48f69a6887938e16e5ba32ddfeab2b1db852dde7e337a537,fe5c9c280d52cc470fd022f4771d4c1eee658ca5d504085103b934ab776af809,65024d164903a34f3fd5bb66a6ea0afdc485494d1fd06462eb46eec2c93407fd,c017f26144013f9b650331a8df42433e76c3dc182c9970e998f674865e22311b
"20","1","22","1","15","10701","15","7","53002"
"22","2","22","1","14","10702","14","7","53002"
"24","3","22","2","13","10703","13","7","53002"
"26","4","22","2","12","10704","12","7","53002"
"28","5","22","3","11","10705","11","7","53002"
"30","6","22","3","10","10706","10","7","53002"
"32","7","22","4","9","10707","9","7","53002"
"34","8","22","4","8","10708","8","7","53002"
"36","9","22","5","0","10709","7","7","53002"
"20","1","22","1","15","10801","15","8","53002"
"22","2","22","1","14","10802","14","8","53002"
"24","3","22","2","13","10803","13","8","53002"
"26","4","22","2","12","10804","12","8","53002"
"28","5","22","3","11","10805","11","8","53002"
"30","6","22","3","10","10806","10","8","53002"
"32","7","22","4","9","10807","9","8","53002"
"34","8","22","4","8","10808","8","8","53002"
"36","9","22","5","0","10809","7","8","53002"
"20","1","22","1","15","10901","15","9","53002"
"22","2","22","1","14","10902","14","9","53002"
"24","3","22","2","13","10903","13","9","53002"
"26","4","22","2","12","10904","12","9","53002"
"28","5","22","3","11","10905","11","9","53002"
"30","6","22","3","10","10906","10","9","53002"
"32","7","22","4","9","10907","9","9","53002"
"34","8","22","4","8","10908","8","9","53002"
"36","9","22","5","0","10909","7","9","53002"
"20","1","22","1","15","11001","15","10","53002"
"22","2","22","1","14","11002","14","10","53002"
"24","3","22","2","13","11003","13","10","53002"
"26","4","22","2","12","11004","12","10","53002"
"28","5","22","3","11","11005","11","10","53002"
"30","6","22","3","10","11006","10","10","53002"
"32","7","22","4","9","11007","9","10","53002"
"34","8","22","4","8","11008","8","10","53002"
"36","9","22","5","0","11009","7","10","53002"
"20","1","22","1","15","11101","15","11","53002"
"22","2","22","1","14","11102","14","11","53002"
"24","3","22","2","13","11103","13","11","53002"
"26","4","22","2","12","11104","12","11","53002"
"28","5","22","3","11","11105","11","11","53002"
"30","6","22","3","10","11106","10","11","53002"
"32","7","22","4","9","11107","9","11","53002"
"34","8","22","4","8","11108","8","11","53002"
"36","9","22","5","0","11109","7","11","53002"
"20","1","22","1","15","11201","15","12","53002"
"22","2","22","1","14","11202","14","12","53002"
"24","3","22","2","13","11203","13","12","53002"
"26","4","22","2","12","11204","12","12","53002"
"28","5","22","3","11","11205","11","12","53002"
"30","6","22","3","10","11206","10","12","53002"
"32","7","22","4","9","11207","9","12","53002"
"34","8","22","4","8","11208","8","12","53002"
"36","9","22","5","0","11209","7","12","53002"
