4ffd2f28bdb899d7fa5e5b8b9b8e39a6a12663ba59095bb0073fe4bdec60d5a9,6768a6372ab268e9f050fffcac859ac8ad5ecd14f2dded4bd39be50ca1224408,0889ccb2b109739fab9e2603fffd693ab0f4e766f23642953275334375ddc438,862e2fa24f9141d6d37c609a069514e7e5c65cae4a0011b757b7ad2b769aecd5,10b78d0303b4662a0e7e38e2b528fa868e8f9aaaee29e59cf41c2bb4b0f8384f,05b0662a0ce682a240bab6e63adffdd82463b1b4fc108ac68de852e8c5336081,a30d30cb8996219bb50d4aed28a8ecd7905e9daf54bcad301a32b9a8ef737b1f,44740978b24c654c5f47156af0c44ee02063c99be62313c9e51b81aeefa99717
"10050640","0","0","30050236","10050650","30050237","0","3000"
"10050659","0","0","30050413","10050670","30050414","0","3000"
"10050723","30050423","0","30050421","10050735","30050422","0","3000"
"10050818","30050426","0","30050424","10050360","30050425","0","3000"
"10060402","30060189","30060190","30060187","10060413","30060188","0","3000"
"10060480","30060193","0","30060191","10060492","30060192","0","3000"
"10060542","30060196","30060197","30060194","10060545","30060195","0","3000"
"10060591","30060210","30060211","30060208","10060606","30060209","30060212","3000"
"10070608","30070188","30070189","30070186","10070626","30070187","0","3000"
"10070914","30070200","30070201","30070198","10070926","30070199","30070202","3000"
"10071038","30070208","30070209","30070206","10071052","30070207","30070210","3000"
"10071117","30070195","30070196","30070193","10071131","30070194","0","3000"
"10080640","0","0","30080236","10080650","30080237","0","3000"
"10080659","0","0","30080413","10080670","30080414","0","3000"
"10080723","30080423","0","30080421","10080735","30080422","0","3000"
"10080818","30080426","0","30080424","10080360","30080425","0","3000"
