0514fd982b5dd8ea022b13b430d54c5c58ca2e2f1ec1e1fc34f5a1e6280f64b6,50d36d4d3d91ab15c32d50b9cebefc6de1358a093cc34e9c1134852395779755,fd8554c5ae3ae61cfda50b2ad559f67310b17fe6c12ffff77a2545dcede5ba45,513141c376eef85b783a9c3d531f0f872a2c8d898ee3fb33fc6f39ba2ad309f3,42f1a89c0604a1c5d511e30ba8b40adb6b49ca2c1d44775d3dbd118f9abd4c07,d9a2261a399aebd5e930899f7e74d844a0b741fe1bb601d0bb89cbfda618c95f,1354855817189a711c3bd412b51bbb0b469b3f51f4f9e85af6eda1281d7e430d,6076beba9bcf97d111a2249a1ff799080c445dfb109aaa5b525c6e46545771eb,c2aa4a55f28c6fd080a1111f7ea03dcee9dd856a0ec42607d651e128d47fb321,84ae52aef3fdbcf11c832817663b31f6f95334e84bcf5a4f0285ff6d542673e3,f8788b7e3fbb56dce00406fe6ebc48f6e91a7cd2ee93159efe7dd7eb7b9bc175,f02b7ab4408ef93239f057ddd501699cb01a9596dec5bd5e6b07d764109cf6bb
"4","0.8","1011611501","0","10116115","0","0","0","0","1","0","1"
"2","0","1011611502","vo_won","10116115","0","vo_won_10116115_01","0","0","2","0","0"
"1","0","1011611503","0","10116115","230","0","1","0","3","2.68","0"
"4","3.17","1011611504","0","10116115","0","0","0","0","4","0","1"
"1","0","1011611505","0","10116115","420","0","1","230","5","2","0"
"4","2.03","1011611506","0","10116115","0","0","0","0","6","0","1"
"1","0","1011611507","0","10116115","140","0","2","0","7","1.51","0"
"4","2","1011611508","0","10116115","0","0","0","0","8","0","1"
"1","0","1011611509","0","10116115","275","0","2","140","9","1.92","0"
"4","2.42","1011611510","0","10116115","0","0","0","0","10","0","1"
"1","0","1011611511","0","10116115","430","0","2","275","11","1.09","0"
"4","1.09","1011611512","0","10116115","0","0","0","0","12","0","1"
"1","0","1011611513","0","10116115","230","0","3","0","13","1.88","0"
"4","2.47","1011611514","0","10116115","0","0","0","0","14","0","1"
"1","0","1011611515","0","10116115","430","0","3","230","15","1.88","0"
"4","1.88","1011611516","0","10116115","0","0","0","0","16","0","1"
"1","0","1011611517","0","10116115","52","0","4","0","17","0.588999999999999","0"
"4","0.965999999999999","1011611518","0","10116115","0","0","0","0","18","0","1"
"1","0","1011611519","0","10116115","400","0","4","52","19","1.423","0"
"4","2.673","1011611520","0","10116115","0","0","0","0","20","0","1"
"2","0","1011611521","vo_won","10116115","0","vo_won_10116115_02","0","0","21","0","0"
"1","0","1011611522","0","10116115","340","0","5","0","22","1.699","0"
"4","2.495","1011611523","0","10116115","0","0","0","0","23","0","1"
"1","0","1011611524","0","10116115","450","0","5","340","24","0.236","0"
"4","0.4","1011611525","0","10116115","0","0","0","0","25","0","1"
"1","0","1011611526","0","10116115","120","0","6","0","26","1.4","0"
"4","2","1011611527","0","10116115","0","0","0","0","27","0","1"
"1","0","1011611528","0","10116115","400","0","6","120","28","2.853","0"
"4","4.428","1011611529","0","10116115","0","0","0","0","29","0","1"
