86b5f074e4922d907b2ccfe6c7786955940f73e9b7f8db80793ca57d31646086,104ddb2e11d101d34dc8a80c412933ab9df4e6f20db41bed60d518846d006d5e,e2c005d1f7832f81d673fdfe04721a410d5eef001ec79ff46270ab264be6315c,eeeab343e92dd216e7250d67f85aab32f8ee6bf0a4a3c9a9a5149c28387cc543,2894934688d2fd4709bf19bd152fb5fc79521676b7cc3f2466e78f4088f15b27,59c1dc7d3b12b094e9f15b0046ad428f233b7415254bab888eac8cb3241a1867
"1","2","0","","200","100"
"2","300","2","","200","101"
"200","100207","7","","201","200"
"201","100206","6","","100900","200"
"300","302","0","","301","300"
"301","100301","0","","302","301"
"302","303","1","","100910","200"
"303","100201","2","","100910","200"
"100201","0","0","201","0","0"
"100206","0","0","206","0","0"
"100207","0","0","207","0","0"
"100301","0","0","301","0","0"
"100900","0","0","1","0","300"
"100901","0","0","1","0","0"
"100910","0","0","1,2000","0","0"
