e822a4abe929a75127b95f63cfcd73d986af3e880d6e57f8c0180ab2f0be9da8,acc9c28f006f47f6eadb58f1809d9ecc1d713f4cd5c1a16a6bec0e961f162019,d88e68cc504a6284a59b54a9746bd5a36ac4f2c9cecd7e818c32724fa3377dfc,02780ad293686a335f78e5a30b6cc3111fb98d7f543e99b561a62402ccd39322,107dd88bded333abf632030a66e37096b93d923ecdf840c73b2e8885399757cb,0788b91db6156d9d8032b787dbba8ec3274e8ea166c89e7a7ecf288ecf4e7eff,602472225ff2e44cdd0738fd0636d5823fce8682081bd1df2b0806d99978b4e2
"924070104","924070103","924070105","2407001","924070102","924070101","924070100"
"924070204","924070203","924070205","2407002","924070202","924070201","924070200"
"924070304","924070303","924070305","2407003","924070302","924070301","924070300"
"0","0","0","2407004","0","924071101","924071100"
"0","0","0","2407005","0","924071201","924071200"
"0","0","0","2407006","0","924071301","924071300"
"0","0","0","2407007","0","924071401","924071400"
"0","0","0","2407008","0","924072101","924072100"
"0","0","0","2407009","0","924072201","924072200"
"0","0","0","2407010","0","924072301","924072300"
"0","0","0","2407011","0","924072401","924072400"
"0","0","0","2407012","0","924073101","924073100"
"0","0","0","2407013","0","924073201","924073200"
"0","0","0","2407014","0","924073301","924073300"
"0","0","0","2407015","0","924073401","924073400"
"924080104","924080103","924080105","2408001","924080102","924080101","924080100"
"924080204","924080203","924080205","2408002","924080202","924080201","924080200"
"924080304","924080303","924080305","2408003","924080302","924080301","924080300"
"0","0","0","2408004","0","924081101","924081100"
"0","0","0","2408005","0","924081201","924081200"
"0","0","0","2408006","0","924081301","924081300"
"0","0","0","2408007","0","924081401","924081400"
"0","0","0","2408008","0","924082101","924082100"
"0","0","0","2408009","0","924082201","924082200"
"0","0","0","2408010","0","924082301","924082300"
"0","0","0","2408011","0","924082401","924082400"
"0","0","0","2408012","0","924083101","924083100"
"0","0","0","2408013","0","924083201","924083200"
"0","0","0","2408014","0","924083301","924083300"
"0","0","0","2408015","0","924083401","924083400"
