bd02a43be8f6e343ec2403a528abc434364397fff1a2986e69777ce685935a6a,ccd8c0d53640d2e6fee4c6aefdcd2903c6b178fc824ab826d1f380625e498553,fb342d3a26178c10eedd6a250398037d32b692b1de780b915629b6c89ebc41c2,84c754a7a8b0fb3ef7586297a99fb6b435f7ca845c2543f8505e78d1fd832924,4560767ee318dcd70ab07c665d4242ab479485c44f876175528d070ac7d2d19c,a138e75c6c0d22b73bdd4196e4529ebd186589fcb7bb4f3ed771f73bb91a9f33,a558fbe5a8204d46f76b4fa2c0d0f05482a0995fde953de33e1532373d0fa608,c0a93961a5e939a3317c5895af279c949507e208876f2a616cc2295ab8f2572e
"1","3","5","48","4","1","111","2"
"1","3","5","96","4","1","121","2"
"1","3","5","144","4","1","131","2"
"1","3","5","192","4","1","141","2"
"1","3","5","240","4","1","151","2"
"1","0","0","84","0","2","211","0"
"1","0","0","168","0","2","221","0"
"1","0","0","252","0","2","231","0"
"1","0","0","336","0","2","241","0"
"1","0","0","420","0","2","251","0"
"3","0","0","36","0","5","311","0"
"3","0","0","72","0","5","321","0"
"3","0","0","108","0","5","331","0"
"3","0","0","144","0","5","341","0"
"3","0","0","180","0","5","351","0"
"4","0","0","84","0","4","411","0"
"4","0","0","168","0","4","421","0"
"4","0","0","252","0","4","431","0"
"4","0","0","336","0","4","441","0"
"4","0","0","420","0","4","451","0"
"2","0","0","84","0","4","511","0"
"2","0","0","168","0","4","521","0"
"2","0","0","252","0","4","531","0"
"2","0","0","336","0","4","541","0"
"2","0","0","420","0","4","551","0"
"4","0","0","84","0","2","611","0"
"4","0","0","168","0","2","621","0"
"4","0","0","252","0","2","631","0"
"4","0","0","336","0","2","641","0"
"4","0","0","420","0","2","651","0"
"5","0","0","56","0","1","711","0"
"5","0","0","112","0","1","721","0"
"5","0","0","168","0","1","731","0"
"5","0","0","224","0","1","741","0"
"5","0","0","280","0","1","751","0"
"2","0","0","1","0","101","811","0"
"3","0","0","84","0","2","911","0"
"3","0","0","168","0","2","921","0"
"3","0","0","252","0","2","931","0"
"3","0","0","336","0","2","941","0"
"3","0","0","420","0","2","951","0"
"1","0","0","1","0","101","1011","0"
"2","0","0","36","0","5","1111","0"
"2","0","0","72","0","5","1121","0"
"2","0","0","108","0","5","1131","0"
"2","0","0","144","0","5","1141","0"
"2","0","0","180","0","5","1151","0"
"5","0","0","84","0","4","1211","0"
"5","0","0","168","0","4","1221","0"
"5","0","0","252","0","4","1231","0"
"5","0","0","336","0","4","1241","0"
"5","0","0","420","0","4","1251","0"
"1","0","0","86","0","2","1311","0"
"1","0","0","172","0","2","1321","0"
"1","0","0","258","0","2","1331","0"
"1","0","0","344","0","2","1341","0"
"1","0","0","430","0","2","1351","0"
"3","0","0","44","0","1","1411","0"
"3","0","0","88","0","1","1421","0"
"3","0","0","132","0","1","1431","0"
"3","0","0","176","0","1","1441","0"
"3","0","0","220","0","1","1451","0"
"4","0","0","36","0","5","1511","0"
"4","0","0","72","0","5","1521","0"
"4","0","0","108","0","5","1531","0"
"4","0","0","144","0","5","1541","0"
"4","0","0","180","0","5","1551","0"
"5","0","0","1","0","101","1611","0"
"2","0","0","1","0","100","1711","0"
"3","0","0","84","0","4","1811","0"
"3","0","0","168","0","4","1821","0"
"3","0","0","252","0","4","1831","0"
"3","0","0","336","0","4","1841","0"
"3","0","0","420","0","4","1851","0"
"4","0","0","36","0","3","1911","0"
"4","0","0","72","0","3","1921","0"
"4","0","0","108","0","3","1931","0"
"4","0","0","144","0","3","1941","0"
"4","0","0","180","0","3","1951","0"
"1","0","0","84","0","4","2011","0"
"1","0","0","168","0","4","2021","0"
"1","0","0","252","0","4","2031","0"
"1","0","0","336","0","4","2041","0"
"1","0","0","420","0","4","2051","0"
"3","0","0","1","0","100","2111","0"
"5","0","0","84","0","2","2211","0"
"5","0","0","168","0","2","2221","0"
"5","0","0","252","0","2","2231","0"
"5","0","0","336","0","2","2241","0"
"5","0","0","420","0","2","2251","0"
"1","0","0","44","0","1","2311","0"
"1","0","0","88","0","1","2321","0"
"1","0","0","132","0","1","2331","0"
"1","0","0","176","0","1","2341","0"
"1","0","0","220","0","1","2351","0"
"2","0","0","84","0","2","2411","0"
"2","0","0","168","0","2","2421","0"
"2","0","0","252","0","2","2431","0"
"2","0","0","336","0","2","2441","0"
"2","0","0","420","0","2","2451","0"
"5","0","0","86","0","4","2511","0"
"5","0","0","172","0","4","2521","0"
"5","0","0","258","0","4","2531","0"
"5","0","0","344","0","4","2541","0"
"5","0","0","430","0","4","2551","0"
"1","3","5","1","4","100","2611","2"
"1","3","5","2","4","100","2621","2"
"1","3","5","3","4","100","2631","2"
"1","0","0","36","0","3","2711","0"
"1","0","0","72","0","3","2721","0"
"1","0","0","108","0","3","2731","0"
"1","0","0","144","0","3","2741","0"
"1","0","0","180","0","3","2751","0"
"4","0","0","86","0","4","2811","0"
"4","0","0","172","0","4","2821","0"
"4","0","0","258","0","4","2831","0"
"4","0","0","344","0","4","2841","0"
"4","0","0","430","0","4","2851","0"
"5","0","0","10","0","7","2911","0"
"5","0","0","20","0","7","2921","0"
"5","0","0","30","0","7","2931","0"
"5","0","0","40","0","7","2941","0"
"5","0","0","50","0","7","2951","0"
"2","0","0","36","0","3","3011","0"
"2","0","0","72","0","3","3021","0"
"2","0","0","108","0","3","3031","0"
"2","0","0","144","0","3","3041","0"
"2","0","0","180","0","3","3051","0"
"3","0","0","46","0","1","3111","0"
"3","0","0","92","0","1","3121","0"
"3","0","0","138","0","1","3131","0"
"3","0","0","184","0","1","3141","0"
"3","0","0","230","0","1","3151","0"
"4","0","0","88","0","4","3211","0"
"4","0","0","176","0","4","3221","0"
"4","0","0","264","0","4","3231","0"
"4","0","0","352","0","4","3241","0"
"4","0","0","440","0","4","3251","0"
"1","0","0","86","0","4","3311","0"
"1","0","0","172","0","4","3321","0"
"1","0","0","258","0","4","3331","0"
"1","0","0","344","0","4","3341","0"
"1","0","0","430","0","4","3351","0"
"2","0","0","86","0","2","3411","0"
"2","0","0","172","0","2","3421","0"
"2","0","0","258","0","2","3431","0"
"2","0","0","344","0","2","3441","0"
"2","0","0","430","0","2","3451","0"
"3","0","0","38","0","5","3511","0"
"3","0","0","76","0","5","3521","0"
"3","0","0","114","0","5","3531","0"
"3","0","0","152","0","5","3541","0"
"3","0","0","190","0","5","3551","0"
"4","0","0","86","0","2","3611","0"
"4","0","0","172","0","2","3621","0"
"4","0","0","258","0","2","3631","0"
"4","0","0","344","0","2","3641","0"
"4","0","0","430","0","2","3651","0"
"5","0","0","88","0","4","3711","0"
"5","0","0","176","0","4","3721","0"
"5","0","0","264","0","4","3731","0"
"5","0","0","352","0","4","3741","0"
"5","0","0","440","0","4","3751","0"
"2","0","0","44","0","1","3811","0"
"2","0","0","88","0","1","3821","0"
"2","0","0","132","0","1","3831","0"
"2","0","0","176","0","1","3841","0"
"2","0","0","220","0","1","3851","0"
"3","0","0","86","0","4","3911","0"
"3","0","0","172","0","4","3921","0"
"3","0","0","258","0","4","3931","0"
"3","0","0","344","0","4","3941","0"
"3","0","0","430","0","4","3951","0"
"5","0","0","36","0","3","4011","0"
"5","0","0","72","0","3","4021","0"
"5","0","0","108","0","3","4031","0"
"5","0","0","144","0","3","4041","0"
"5","0","0","180","0","3","4051","0"
"2","0","0","10","0","7","4111","0"
"2","0","0","20","0","7","4121","0"
"2","0","0","30","0","7","4131","0"
"2","0","0","40","0","7","4141","0"
"2","0","0","50","0","7","4151","0"
"1","0","0","88","0","2","4211","0"
"1","0","0","176","0","2","4221","0"
"1","0","0","264","0","2","4231","0"
"1","0","0","352","0","2","4241","0"
"1","0","0","440","0","2","4251","0"
"4","0","0","38","0","3","4311","0"
"4","0","0","76","0","3","4321","0"
"4","0","0","114","0","3","4331","0"
"4","0","0","152","0","3","4341","0"
"4","0","0","190","0","3","4351","0"
"5","0","0","58","0","1","4411","0"
"5","0","0","116","0","1","4421","0"
"5","0","0","174","0","1","4431","0"
"5","0","0","232","0","1","4441","0"
"5","0","0","290","0","1","4451","0"
"2","0","0","88","0","2","4511","0"
"2","0","0","176","0","2","4521","0"
"2","0","0","264","0","2","4531","0"
"2","0","0","352","0","2","4541","0"
"2","0","0","440","0","2","4551","0"
"3","0","0","86","0","2","4611","0"
"3","0","0","172","0","2","4621","0"
"3","0","0","258","0","2","4631","0"
"3","0","0","344","0","2","4641","0"
"3","0","0","430","0","2","4651","0"
"4","0","0","10","0","7","4711","0"
"4","0","0","20","0","7","4721","0"
"4","0","0","30","0","7","4731","0"
"4","0","0","40","0","7","4741","0"
"4","0","0","50","0","7","4751","0"
"1","0","0","38","0","3","4811","0"
"1","0","0","76","0","3","4821","0"
"1","0","0","114","0","3","4831","0"
"1","0","0","152","0","3","4841","0"
"1","0","0","190","0","3","4851","0"
"2","0","0","38","0","5","4911","0"
"2","0","0","76","0","5","4921","0"
"2","0","0","114","0","5","4931","0"
"2","0","0","152","0","5","4941","0"
"2","0","0","190","0","5","4951","0"
"5","0","0","86","0","2","5011","0"
"5","0","0","172","0","2","5021","0"
"5","0","0","258","0","2","5031","0"
"5","0","0","344","0","2","5041","0"
"5","0","0","430","0","2","5051","0"
"1","0","0","88","0","4","5111","0"
"1","0","0","176","0","4","5121","0"
"1","0","0","264","0","4","5131","0"
"1","0","0","352","0","4","5141","0"
"1","0","0","440","0","4","5151","0"
"3","0","0","36","0","3","5211","0"
"3","0","0","72","0","3","5221","0"
"3","0","0","108","0","3","5231","0"
"3","0","0","144","0","3","5241","0"
"3","0","0","180","0","3","5251","0"
"4","0","0","15","0","7","5311","0"
"4","0","0","30","0","7","5321","0"
"4","0","0","45","0","7","5331","0"
"4","0","0","60","0","7","5341","0"
"4","0","0","75","0","7","5351","0"
"1","3","5","1","4","101","5411","2"
"1","3","5","2","4","101","5421","2"
"1","3","5","3","4","101","5431","2"
"1","0","0","90","0","4","5511","0"
"1","0","0","180","0","4","5521","0"
"1","0","0","270","0","4","5531","0"
"1","0","0","360","0","4","5541","0"
"1","0","0","450","0","4","5551","0"
"2","0","0","1","0","100","5611","0"
"2","0","0","2","0","100","5621","0"
"5","0","0","10","0","6","5711","0"
"5","0","0","20","0","6","5721","0"
"5","0","0","30","0","6","5731","0"
"5","0","0","40","0","6","5741","0"
"5","0","0","50","0","6","5751","0"
"2","0","0","90","0","2","5811","0"
"2","0","0","180","0","2","5821","0"
"2","0","0","270","0","2","5831","0"
"2","0","0","360","0","2","5841","0"
"2","0","0","450","0","2","5851","0"
"3","0","0","48","0","1","5911","0"
"3","0","0","96","0","1","5921","0"
"3","0","0","144","0","1","5931","0"
"3","0","0","192","0","1","5941","0"
"3","0","0","240","0","1","5951","0"
