a26f751cd4ae8d344c0bb2ac24818dba6e65857484560b1ad10862cc61543672,628527d597f388013b6a0b75c5c704e758220ef7492b92a1eac782271d3175bc,0a84ef17526e3b329539b38be48ca00c675f9f4839a9e9432d3c1a76e515daef,7821d8d6df725d5ef3f89ce72824ff7731821d9246ed475714ea998c5deb8624,8cac69b05796192b34888fa69dcddfe1d3d1047c115b92d2a7625d142ec91911,f9310ccb951d7dc03072bf418b1ae22b0314a83ddd5769bc856ccc12ea1da79f,e6278b5631f1c31070bd2e443ae534b7ed9f345a4c5ea891fdd3cf6cc29ff262,020f21aa761f5bf9119cb3832bd889c3a997ad3a7f4b08b7489723a938004464,0fa97c28b71114bb8f583d4dac8b4ec30a90cc754b9706ad9e8664d6c66f09b2,cdad35f155f21c577df33c741dfebc5fb390a7c9abf21b64c1b60772a1ebf4bc,d323d38d15b1534d0539dc110b55034c2426fbb4d6cd1c6160c6cc3b49711b11,c90fc113a040ed8fc1905ffa5904535a98f11d6610add8dad833d1c66be82f48,9d24027ab97193898826738ff19aa64501cdc46c8cb20d7af85857c39eb54e16,31b75660f8801cb9b5929ee7bd778d47b3779bf4897bd921585231be05f5bc60,12da610400ba7a3706ce888a9416d23a7ba6a22b95a90f1d255b6a717f572429
"-30","90","100000","1","100584","800100101","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1001001"
"-30","90","100000","1","100584","800100102","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1001002"
"-30","90","100000","1","100584","800100103","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1001003"
"-30","90","100000","1","100584","800100101","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1001004"
"-30","90","100000","1","100584","800100102","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1001005"
"-30","90","100000","1","100584","800100103","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1001006"
"-30","90","100000","1","100584","800100201","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1002001"
"-30","90","100000","1","100584","800100202","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1002002"
"-30","90","100000","1","100584","800100203","bgm_M220","bgm_M220","？？？","100584","2","350","0","-75","1002003"
"-30","90","100000","1","100584","800100201","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1002004"
"-30","90","100000","1","100584","800100202","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1002005"
"-30","90","100000","1","100584","800100203","bgm_M221","bgm_M221","？？？","100584","2","350","0","-75","1002006"
