ef863faa5fe9537ac3a5dcd787d48179737297f2f3981d0be10288afadee5bda,2ea3ea034dcc00c795ca47c2eef0eca65a7ca4a0a50a1398ef404f2c01f7d081,6fc35597fd8c63d8752efd948cd13884b15f8302458facde92609be3a91e02be,f1eeb6825d472c22099e71dd863a146322eed717682d08360d36de64f9cada0e,d46f7e907f7c40e02f253b1522d142f332a8606afd96550d478797a0a468297a,3ff0b2a6d8c703dc83351f5d47109dee2f6f57feedc1ff511f35ca65890d1daa,624fd43ae959fa0f5550e558c3333519b68309d8e018cb102cc9a0409ac49684,e353687e5fbdef450971a072d83926482aca446c9ef85bc5a77ca3d372d6590b,cca25d5dbb687096d1af04b6d0d6ce58e021144ce14f1122602053ba05fc302a,35be01983903995b48ff4aa073e2cae90f2fed1d0b7643a51e012dc101850c8f,a26d1c2948c3c11d10f8d8ea79e260780ec54093659373810aa6bf8b2a4a8dd1
"1001","40","122611","-194","100","1","1","1","1","1.65","sjr_talk_idle"
"1002","","sjr_talk_wish_look","","1","","1","122611","3","0.2",""
"1003","0","vo_minigame_1010_top_talk_1_001","","0","","1","vo_minigame_1010","21","",""
"1004","1","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！","0","10","0","1","122611","11","0","1"
"1005","","","","","","1","0","91","",""
"1006","","sjr_talk_idle","","1","","1","122611","3","0.2",""
"2001","40","122611","-194","100","1","2","1","1","1.65","sjr_talk_idle"
"2002","","sjr_talk_mouth_hidden_shy","","1","","2","122611","3","0.2",""
"2003","0","vo_minigame_1010_top_talk_1_002","","0","","2","vo_minigame_1010","21","",""
"2004","1","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……","0","5","0","2","122611","11","0","1"
"2005","","","","","","2","0","91","",""
"2006","","sjr_talk_idle","","1","","2","122611","3","0.2",""
"3001","40","122611","-194","100","1","3","1","1","1.65","sjr_talk_idle"
"3002","sjr_talk_stepback_worry","sjr_talk_stepback_surprise_worry","1","0","0","3","122611","3","0.2",""
"3003","0","vo_minigame_1010_top_talk_1_003","","0","","3","vo_minigame_1010","21","",""
"3004","1","那個人的速度\n好像很快……！\n我贏得了嗎……？","0","7","0","3","122611","11","0","1"
"3005","","","","","","3","0","91","",""
