a317548d67f852428be4361a6b76c5b1fd37ab9b235be559e7cea4c5ba920c03,9d37d0bb6240be0d0bc1f16b157e9e388729203eeb7a14742d00ef23881ba86d,f0af9b95179e78960fe987bc1eaf5c18d0992a06fbd317589c79d096a65444c5,49ca46230aa005565f6331f665d5c97171de0a4ec1051152ccaaeb85b170c156
"1","8","緩速","1"
"2","8","加速","2"
"3","8","麻痺","3"
"4","8","凍結","4"
"5","8","束縛","5"
"6","8","睡眠","6"
"7","8","暈眩","7"
"8","8","石化","8"
"9","8","拘留","9"
"10","9","拘留(傷害)","0"
"11","9","毒","1"
"12","9","火傷","2"
"13","9","詛咒","3"
"14","11","魅惑","0"
"15","12","黑暗","-1"
"16","13","沉默","-1"
"17","30","即死","-1"
"18","3","擊退","-1"
"19","11","混亂","1"
"20","9","猛毒","4"
"21","56","千里眼","-1"
"22","59","妨礙恢復","-1"
"23","61","恐慌","0"
"24","60","給予刻印","-1"
"25","62","畏懼","-1"
"26","69","馴鹿化","-1"
"27","8","暈眩","10"
"28","9","詛咒","5"
"29","70","HP變化","-1"
"30","8","時間停止","11"
"31","76","HP回復量減少","-1"
"32","78","虛弱個體受到的傷害上升","-1"
"33","79","行動時毒傷","1"
"34","8","暈眩（另計）","14"
"35","9","毒（另計）","7"
"36","9","詛咒（另計）","8"
"37","11","混亂（另計）","2"
"38","8","結晶化","13"
"39","83","緩速(可加成)","1"
"40","83","加速(可加成)","2"
"41","49","消除增益","3"
"42","49","消除護盾","10"
"43","9","黑炎","9"
"44","99","加速領域","2"
"45","99","緩速領域","1"
"46","49","消除增益（指定）","20"
"47","101","擊打烙印（攻擊命中）","5"
"48","79","行動時界雷傷害","10"
"49","112","延長狀態異常時間","9"
"50","116","執著狀態","1"
"51","117","阿剌克涅拘束","15"
"52","11","操絲","3"
"53","9","絕怠靈度","11"
"55","61","遮絕之操絲","1"
