5fd22ae789bbb2add8a827eb55295f20b418d270dbfaef84db9c910f822241ee,67c7f05959a547c82570179eaab2b5218fb546532f94f412eff817c50bc35e46,4581819f278560b02269c44216cbeffcd36868296209ea45729aac249a6df308,e0e54f97968780ccfd6bbce3a6dc261f1a9d770e56dabd07c56851a9a99b762d,7bec6942af4df66c123fe1e546328886f138c81b5904eb6524d51314d7254b37,03a118841f08c3c73487ee223be3697ef154d809730d5e755905db02f5972ded,904d4bf5d82f9925860487438140555f8faa329c1628dda4ea1a7d10a4d4b2e3,b726ea2249e8bc387dc9d5f766e43da2d0910eed86b1b6a6663f5dcf0778ad84,82470220ae954e7f481e664a2c79466d993bbdc899de3cf474c0c29f100606a8,4c90fda19724adf2a3ec654b0da26b7629d4df026c77d6457fb01ccf19ef0dbf,05fcd07936ba1d2777b5039abe8580791248decc683781dcfa3dccc10385b6e3,05c8390c285384adeffae6f00960e7bbde79106234abfcf660d71721a95092c4
"1","0","3","0","0","0","4","1120001","0","0","12","1"
"0","0","0","vo_nyx_0101","0","vo_nyx","2","1120002","0","0","12","2"
"0","278","0","0","0","0","1","1120003","2.698","1","12","3"
"3.334","0","1","0","0","0","4","1120004","0","0","12","4"
"0","0","0","vo_nyx_0102","0","vo_nyx","2","1120005","0","0","12","5"
"0","382","0","0","278","0","1","1120006","1.055","1","12","6"
"1.055","0","1","0","0","0","4","1120007","0","0","12","7"
"0","78","0","0","0","0","1","1120008","0.732","2","12","8"
"1.05","0","1","0","0","0","4","1120009","0","0","12","9"
"0","365","0","0","78","0","1","1120010","2.42","2","12","10"
"3.5","0","1","0","0","0","4","1120011","0","0","12","11"
"2","0","3","0","0","0","4","1120012","0","0","12","12"
"0","0","0","vo_nyx_0103","0","vo_nyx","2","1120013","0","0","12","13"
"0","79","0","0","0","0","1","1120014","0.815","3","12","14"
"1.157","0","1","0","0","0","4","1120015","0","0","12","15"
"0","372","0","0","79","0","1","1120016","2.763","3","12","16"
"2.763","0","1","0","0","0","4","1120017","0","0","12","17"
"0","250","0","0","0","0","1","1120018","2.388","4","12","18"
"3.338","0","1","0","0","0","4","1120019","0","0","12","19"
"0","0","0","vo_nyx_0104","0","vo_nyx","2","1120020","0","0","12","20"
"0","108","0","0","0","0","1","1120021","0.778","5","12","21"
"1.214","0","1","0","0","0","4","1120022","0","0","12","22"
"0","375","0","0","108","0","1","1120023","3.167","5","12","23"
"3.61","0","1","0","0","0","4","1120024","0","0","12","24"
"0","279","0","0","0","0","1","1120025","2.618","6","12","25"
"3.198","0","1","0","0","0","4","1120026","0","0","12","26"
"0","0","0","vo_nyx_0105","0","vo_nyx","2","1120027","0","0","12","27"
"0","392","0","0","279","0","1","1120028","1.4","6","12","28"
"1.448","0","1","0","0","0","4","1120029","0","0","12","29"
"0","309","0","0","0","0","1","1120030","2.927","7","12","30"
"3.811","0","1","0","0","0","4","1120031","0","0","12","31"
"3","0","3","0","0","0","4","1120032","0","0","12","32"
"0","0","0","vo_nyx_0106","0","vo_nyx","2","1120033","0","0","12","33"
"0","360","0","0","309","0","1","1120034","0.506","7","12","34"
"1.175","0","1","0","0","0","4","1120035","0","0","12","35"
"3","0","3","0","0","0","4","1120036","0","0","12","36"
"0","0","0","vo_nyx_0107","0","vo_nyx","2","1120037","0","0","12","37"
"0","233","0","0","0","0","1","1120038","1.439","8","12","38"
"1.439","0","1","0","0","0","4","1120039","0","0","12","39"
"0","345","0","0","233","0","1","1120040","1.462","8","12","40"
"2.178","0","1","0","0","0","4","1120041","0","0","12","41"
"0","0","0","vo_nyx_0108","0","vo_nyx","2","1120042","0","0","12","42"
"0","400","0","0","0","0","1","1120043","3.765","9","12","43"
"4.495","0","1","0","0","0","4","1120044","0","0","12","44"
"0","0","0","vo_nyx_0109","0","vo_nyx","2","1120045","0","0","12","45"
"0","109","0","0","0","0","1","1120046","1.137","10","12","46"
"1.484","0","1","0","0","0","4","1120047","0","0","12","47"
"0","395","0","0","109","0","1","1120048","2.686","10","12","48"
"2.686","0","1","0","0","0","4","1120049","0","0","12","49"
"0","127","0","0","0","0","1","1120050","0.736","11","12","50"
"1.06","0","1","0","0","0","4","1120051","0","0","12","51"
"0","0","0","vo_nyx_0110","0","vo_nyx","2","1120052","0","0","12","52"
"0","133","0","0","127","0","1","1120053","0.353","11","12","53"
"1.137","0","1","0","0","0","4","1120054","0","0","12","54"
"0","0","0","vo_nyx_0111","0","vo_nyx","2","1120055","0","0","12","55"
"0","406","0","0","0","0","1","1120056","2.51","12","12","56"
"3.164","0","1","0","0","0","4","1120057","0","0","12","57"
"0","0","0","vo_nyx_0112","0","vo_nyx","2","1120058","0","0","12","58"
"0","155","0","0","0","0","1","1120059","1.532","13","12","59"
"1.62","0","1","0","0","0","4","1120060","0","0","12","60"
"0","374","0","0","155","0","1","1120061","1.367","13","12","61"
"2.245","0","1","0","0","0","4","1120062","0","0","12","62"
"0","0","0","vo_nyx_0113","0","vo_nyx","2","1120063","0","0","12","63"
"0","124","0","0","0","0","1","1120064","1.116","14","12","64"
"1.735","0","1","0","0","0","4","1120065","0","0","12","65"
"0","238","0","0","124","0","1","1120066","1.048","14","12","66"
"2.848","0","1","0","0","0","4","1120067","0","0","12","67"
"1","0","3","0","0","0","4","1130001","0","0","13","1"
"0","0","0","vo_nyx_0201","0","vo_nyx","2","1130002","0","0","13","2"
"0","36","0","0","0","0","1","1130003","0.382","1","13","3"
"0.672","0","1","0","0","0","4","1130004","0","0","13","4"
"0","67","0","0","36","0","1","1130005","0.65","1","13","5"
"1.115","0","1","0","0","0","4","1130006","0","0","13","6"
"0","192","0","0","67","0","1","1130007","2.158","1","13","7"
"2.541","0","1","0","0","0","4","1130008","0","0","13","8"
"0","365","0","0","192","0","1","1130009","0.914","1","13","9"
"0.914","0","1","0","0","0","4","1130010","0","0","13","10"
"0","220","0","0","0","0","1","1130011","1.72","2","13","11"
"1.5","0","1","0","0","0","4","1130012","0","0","13","12"
"2","0","3","0","0","0","4","1130013","0","0","13","13"
"1.726","0","1","0","0","0","4","1130014","0","0","13","14"
"0","0","0","vo_nyx_0202","0","vo_nyx","2","1130015","0","0","13","15"
"0","335","0","0","0","0","1","1130016","2.838","3","13","16"
"3.334","0","1","0","0","0","4","1130017","0","0","13","17"
"0","300","0","0","0","0","1","1130018","2.491","4","13","18"
"3.427","0","1","0","0","0","4","1130019","0","0","13","19"
"3","0","3","0","0","0","4","1130020","0","0","13","20"
"0","0","0","vo_nyx_0203","0","vo_nyx","2","1130021","0","0","13","21"
"0","28","0","0","0","0","1","1130022","0.475","5","13","22"
"0.872","0","1","0","0","0","4","1130023","0","0","13","23"
"0","103","0","0","28","0","1","1130024","1.001","5","13","24"
"1.492","0","1","0","0","0","4","1130025","0","0","13","25"
"0","310","0","0","103","0","1","1130026","1.73","5","13","26"
"2.045","0","1","0","0","0","4","1130027","0","0","13","27"
"0","395","0","0","310","0","1","1130028","0.87","5","13","28"
"1.949","0","1","0","0","0","4","1130029","0","0","13","29"
"0","0","0","vo_nyx_0204","0","vo_nyx","2","1130030","0","0","13","30"
"0","165","0","0","0","0","1","1130031","1.885","6","13","31"
"2.37","0","1","0","0","0","4","1130032","0","0","13","32"
"0","311","0","0","165","0","1","1130033","0.939","6","13","33"
"1.12","0","1","0","0","0","4","1130034","0","0","13","34"
"0","388","0","0","311","0","1","1130035","0.5","6","13","35"
"1.435","0","1","0","0","0","4","1130036","0","0","13","36"
"0","0","0","vo_nyx_0205","0","vo_nyx","2","1130037","0","0","13","37"
"0","45","0","0","0","0","1","1130038","0.58","7","13","38"
"0.976","0","1","0","0","0","4","1130039","0","0","13","39"
