42d0b0020d05e0b63b536f0fad0269525912830645df28c52e327df5ce6854dc,a30c68f552229e392dc26df2dc33d0f618ebe10966fb2258e4e5beeecf44ab5a,9c2599832e810147f3dcc2c6e19ff4b60f9c772fd5ac36ba219cecc8de2d1a72,216342d81c4069ad39c59eed4ee88d481174007bfbef4c0a1c23e0d5915ebd8c,31720c7d84ce773814183def87460d2342a6523d4e725db6e7f971d6432cb05b,b8b24aa56bc8d5bf2d642a3cc01348eeaf1cf0a56038749bfdb0116ca994b930,2fd1e13742ad7eff7c86bee836cbbf35fef24b5c7e11ed30e880e2acb6a2dd50,1dddb08dd8b80f2700ec2960a33b24fa187913b54f89280f3bd79605dfcf93ae,8d56ce5f4426e9547a745a039a6f43c853d4548285790a46bd9ee01a0d49cc00
"320010106","1","11","43.5","0.7","1","1","0","502001102"
"320010106","2","67","13","0.65","2","3","0","502001103"
"320010106","3","49","-74","0.65","3","2","0","0"
"320010107","4","13","-49","0.7","1","1","0","502001108"
"320010107","5","62","-4","0.85","2","3","0","502001109"
"320010107","6","50","59","0.65","3","2","0","0"
"320010108","7","-10","0","1.05","1","1","0","0"
"320010109","8","-10","-15","1.05","1","1","0","0"
"320010110","9","-45","-85","0.43","1","1","0","0"
"320010110","10","-45","85","0.43","2","2","0","0"
"320010206","11","11","43.5","0.7","1","1","0","502001202"
"320010206","12","67","13","0.65","2","3","0","502001203"
"320010206","13","49","-74","0.65","3","2","0","0"
"320010207","14","13","-49","0.7","1","1","0","502001208"
"320010207","15","62","-4","0.85","2","3","0","502001209"
"320010207","16","50","59","0.65","3","2","0","0"
"320010208","17","-10","0","1.05","1","1","0","0"
"320010209","18","-10","-15","1.05","1","1","0","0"
"320010210","19","-45","-85","0.43","1","1","0","0"
"320010210","20","-45","85","0.43","2","2","0","0"
"320010306","21","11","43.5","0.7","1","1","0","502001302"
"320010306","22","67","13","0.65","2","3","0","502001303"
"320010306","23","49","-74","0.65","3","2","0","0"
"320010307","24","13","-49","0.7","1","1","0","502001308"
"320010307","25","62","-4","0.85","2","3","0","502001309"
"320010307","26","50","59","0.65","3","2","0","0"
"320010308","27","-10","0","1.05","1","1","0","0"
"320010309","28","-10","-15","1.05","1","1","0","0"
"320010310","29","-45","-85","0.43","1","1","0","0"
"320010310","30","-45","85","0.43","2","2","0","0"
"320010406","31","11","43.5","0.7","1","1","0","502001402"
"320010406","32","67","13","0.65","2","3","0","502001403"
"320010406","33","49","-74","0.65","3","2","0","0"
"320010407","34","13","-49","0.7","1","1","0","502001408"
"320010407","35","62","-4","0.85","2","3","0","502001409"
"320010407","36","50","59","0.65","3","2","0","0"
"320010408","37","-10","0","1.05","1","1","0","0"
"320010409","38","-10","-15","1.05","1","1","0","0"
"320010410","39","-45","-85","0.43","1","1","0","0"
"320010410","40","-45","85","0.43","2","2","0","0"
"320010506","41","11","43.5","0.7","1","1","0","502001502"
"320010506","42","67","13","0.65","2","3","0","502001503"
"320010506","43","49","-74","0.65","3","2","0","0"
"320010507","44","13","-49","0.7","1","1","0","502001508"
"320010507","45","62","-4","0.85","2","3","0","502001509"
