59ee4d57f4931459c1f2f09d108041669a4c60e24a474a889d94b93f17bdd244,a9d456606fcc56cf0d79df7fbaa8d097dd958fa35950398d01964bb4708385b2,4b9fe65599f65754f07de7650244426273b0413ce214e5e37d9e74bb72342ad5,faa227c7e0aa551b870dd2f9aa5f899c675fec5665de21b1fe0aa4d405008479,10b2d37d0c32fcb57404b127bf04eaf8ed89884abc01264e49f51ea4f6714c63
"#D23232","90009","red","單手劍","101"
"#D23232","90009","red","雙手劍","102"
"#D23232","90009","red","短劍","103"
"#D23232","90009","red","槍","104"
"#D23232","90009","red","斧","105"
"#D23232","90009","red","弓","106"
"#D23232","90009","red","拳","107"
"#D23232","90009","red","盾","108"
"#D23232","90009","red","杖","109"
"#D23232","90009","red","書本","110"
"#476FD8","90010","blue","衣服","201"
"#476FD8","90010","blue","鎧甲","202"
"#476FD8","90010","blue","白長袍","203"
"#476FD8","90010","blue","黑長袍","204"
"#E5681E","90011","yellow","戒指","301"
"#E5681E","90011","yellow","手鐲","302"
"#E5681E","90011","yellow","項鍊","303"
"#E5681E","90011","yellow","寶珠","304"
"#E5681E","90011","yellow","耳環","305"
