92177efd7f4d006b52bdab1d8a6695070b2fc88e5179dab42518bb1e16b806b9,eae0a12a6849997046110ffdc2a1eeba6cb4b4b52c2d4fc983d51f0f9c15cc63,d7f8969b5c27f33dc70248c78a31eebcc247f6c83943197efeb77a2745214891,ea6c5b24a5ca4adabf68f79942bfdd38d4e094b05ef7db11b02a06e55817380d,fc49839781e95734bc73a5aebe8a79fa6b8dd2f132406821820785db057bf82b
"2991101","0","2991101","0","0.07"
"2991102","0","2991102","0","0.08"
"2991103","0","2991103","0","0.07"
"2991104","0","2991104","0","0.07"
"2991105","-1","2991105","1","0.07"
"2991106","-1","2991106","1","0.07"
"2991107","0","2991107","0","0.07"
"2991108","0","2991108","0","0.07"
"2991109","0","2991109","0","0.07"
"2991110","-1","2991110","1","0.07"
"2991112","-1","2991112","15","15"
"2991117","0","2991117","0","0.07"
"2991118","0","2991118","0","0.08"
"2991119","0","2991119","0","0.09"
"2991120","0","2991120","0","0.1"
"2991121","0","2991121","0","4.08"
"2991122","0","2991122","0","4.09"
"2991123","0","2991123","0","4.1"
"2991124","0","2991124","0","4.08"
"2991125","0","2991125","0","4.09"
"2991126","0","2991126","0","4.1"
"2991127","0","2991127","0","0.08"
"2991128","0","2991128","0","0.08"
"2991129","0","2991129","0","0.08"
"2991132","0","2991132","0","0.5"
"2991133","0","2991133","0","0.5"
"2991134","-1","2991134","15","15"
"2991139","-1","2991139","15","15.01"
"2991144","-1","2991144","15","15.02"
"2991149","-1","2991149","15","15"
"2991154","-1","2991154","15","15.01"
"2991159","-1","2991159","15","15.02"
"2991164","0","2991164","0","0.07"
"2991165","0","2991165","0","0.08"
"2991166","0","2991166","0","0.09"
"2991167","0","2991167","0","0.07"
"2991168","0","2991168","0","0.07"
"2991172","-1","2991172","1","0.07"
"2991177","0","2991177","0","20"
"2991178","0","2991178","0","40"
"2991179","0","2991179","0","60"
"2991180","0","2991180","0","0.07"
"2991181","0","2991181","0","0.07"
"2991182","0","2991182","0","0.07"
"2991183","0","2991183","0","0.07"
"2991184","0","2991184","0","0.07"
"2991185","0","2991185","0","0.07"
"2991186","0","2991186","0","0.07"
"2991187","-1","2991187","1","0.07"
"2991188","-1","2991188","1","0.07"
"2991189","0","2991189","0","0.07"
"2991190","0","2991190","0","0.07"
"2999101","0","2999101","0","0.07"
"2999102","0","2999102","0","0.08"
"2999103","0","2999103","0","0.07"
"2999104","0","2999104","0","20"
"2999105","0","2999105","0","40"
"2999106","0","2999106","0","60"
"2999107","0","2999107","0","0.1"
"2999108","0","2999108","0","0"
"2999112","-1","2999112","1","0.1"
"2999113","0","2999113","0","0"
"2999117","0","2999117","0","0.07"
"2999118","0","2999118","0","0.08"
"2999119","0","2999119","0","0.09"
"2999120","0","2999120","0","0.1"
"2999121","0","2999121","0","4.08"
"2999122","0","2999122","0","4.09"
"2999123","0","2999123","0","4.1"
"2999124","0","2999124","0","4.08"
"2999125","0","2999125","0","4.09"
"2999126","0","2999126","0","4.1"
"2999127","0","2999127","0","0.08"
"2999128","0","2999128","0","0.08"
"2999129","0","2999129","0","0.08"
"2999130","0","2999130","0","0.08"
"2999132","0","2999132","0","0.5"
"2999133","0","2999133","0","0.5"
"2999134","-1","2999134","15","15"
"2999139","-1","2999139","15","15.01"
"2999144","-1","2999144","15","15.02"
"2999149","-1","2999149","15","15"
"2999154","-1","2999154","15","15.01"
"2999159","-1","2999159","15","15.02"
"2999164","0","2999164","0","0.07"
"2999165","0","2999165","0","0.08"
"2999166","0","2999166","0","0.09"
"2999167","0","2999167","0","0.07"
"2999168","-1","2999168","20","20"
"2999172","-1","2999172","9","9"
"2999177","0","2999177","0","20"
"2999178","0","2999178","0","40"
"2999179","0","2999179","0","60"
"2999180","0","2999180","0","0.07"
"2999182","0","2999182","0","4.08"
"2999185","0","2999185","0","0.07"
"2999186","0","2999186","0","0.07"
"2999187","0","2999187","0","0.07"
"2999188","0","2999188","0","0.07"
"2999189","0","2999189","0","0.07"
"2999190","0","2999190","0","0.07"
"2999191","0","2999191","0","1"
"2999192","0","2999192","0","0.08"
"2999193","0","2999193","0","0.07"
"2999194","0","2999194","0","1"
"2999195","-1","2999195","30","30"
"2999197","-1","2999197","15","15"
"2999202","0","2999202","0","0.07"
"2999203","0","2999203","0","0.08"
"2999204","0","2999204","0","0.05"
"2999205","0","2999205","0","0.08"
"2999206","0","2999206","0","0.08"
"2999207","-1","2999207","1","4"
