d1845182db0c71aabb4067775c9c077ec388031c1a6d9c6be297f88657c1d047,a6ed0c595c7729c7a28f33d31cec99f705775b5b37d6ab8b5450f20cf0d86252,de120ff5f46cc3f30c46e47e5ebb37629ac9472789f7baeb82bb954afb0f84d0,051280ad1160a83d2c619de713a83fc6f3a9b6cafb54508a31ac4112980037b1,d4eba279a5e82d733e0bcc2d6c3cdddbfe2e5a9923873d43156823ee834aadf7,210b80bb5fb5efb9295689face7e13c0b4d96fc332f6660ec9f4a7d7abff5376,c1af3385bfe1ad94c16bb59a70e784ccfb988ae058bdf566352981a312825348,edefb385fa0c9ad9b46ed1a798ed84345895a0208c0db5eb3fc9b87a66621fef,668356c675841afdef82d20241a22f122a741a7e299eb0d3c6d31723f5d1c5b6,4a8f2c7bd77807e33ed7085a27312c2722e965d5945312c9bfe3980a65f1b475,0b0be1d340f2112411b033300858a21dca44b34d5ac98c2a8609ab867a7a3e6d
"110010001","<weapon>_idle","1000001","-100","55","0","-250","1001","2","1","1.3"
"110010002","","100","0","0","","1","1001","100","31","1"
"110010003","","101","0","0","","1","1001","101","31","0"
"110010004","","4","0","0","","1","1001","4","31","1"
"110010005","","5","0","94.5","","1","1001","5","31","1"
"110010006","","0","","","","","1001","0","91",""
"110010007","","0","","","","","1001","0.4","93",""
"110010008","","<weapon>_joy_short","","0","","","1001","1000001","3","0.2"
"110010009","","0","","","","","1001","1.3","93",""
"110010010","","<weapon>_run","","1","","","1001","1000001","3","0"
"110010011","","800","1","-250","","0","1001","1000001","2",""
"110010012","","0","","","","","1001","0.7","93",""
"110010013","","1","","","","","1001","101","32",""
"110010014","","0","","","","","1001","0.7","93",""
"111010001","<weapon>_run","1000001","-640","55","0","-250","1101","2","1","1.3"
"111010002","","100","0","0","","1","1101","100","31","1"
"111010003","","101","0","0","","1","1101","101","31","0"
"111010004","","4","0","0","","1","1101","4","31","1"
"111010005","","0","","","","","1101","4","35",""
"111010006","","5","0","0","","1","1101","5","31","1"
"111010007","","10","0","0","","1","1101","10","31","1"
"111010008","","","","","","","1101","0","91",""
"111010009","","1","","","","","1101","100","35",""
"111010010","","640","2.1","-250","","0","1101","1000001","2",""
"111010011","","0","","","","","1101","1.7","93",""
"111010012","","1","","","","","1101","101","32",""
"111010013","","0","","","","","1101","0.7","93",""
"120010001","look_loop","1000001","0","55","0","-240","2001","1","1","1.3"
