f3ef84b895a22268622cbcdf412d717cb1cc8923a57894957a2433dc05ceb1d6,6a4606c2b4f7ae0d0906f1e691549c15b1dbfc54ca9c5e0ecf4aa6362fa2f6e9,61bc5a4afac597d1b1adece6acfe4725bcc1e6e7997c0417b3d98264bcfbfb80,c69fad87cd073612416e48a1fd590645527a69bea087e53a9bcd3f001aed2d65,a5a7061f9f3860ed3d8a6c78d7ad71775c1c8ed51d430a6f78bf3acb58c33bbe,57ec4bc05790b34c0bea04669f16d22d24faefc87d8fa3bb319cbcc0546560f1,55a220d0d1259bcfbcdd6bab353641a67cc0410d3fffbeed6c42e033b9024aac,043b32a0f6fe340a583e0fdae153047358fa0ec49b9212e8f0fa7e8d60086ff7,5d025ab1c051db0ff68a39528bd14635219dd01ad09ef2c8c812b3ab75345275,89146b2849e7b6ef62032409023d362e9bb833b0e34ee65254ba7030c1e10f8e,2eedc0d3d225e61c996140e8f0f7a12e5fbc4d2f0e6ffd06a91f68635c94af13
"1002011","100","1","0","0","1","1.7","100211","mhp_sit_idle","1002011001","0"
"1002011","1","100211","","","3","0.2","mhp_sit_talk_memory","","1002011002",""
"1002011","0","vo_mhp","","","21","","vo_mhp_0401","","1002011003","0"
"1002011","5","100211","0","0","11","0","好久沒見到\n深月小姐了，\n我有點期待♪","0","1002011004","0"
"1002011","","0","","","91","","","","1002011005",""
"1002011","1","100211","","","3","0.2","mhp_sit_idle_memory","","1002011006",""
"1002012","100","1","0","0","1","1.7","100211","mhp_sit_idle","1002012001","0"
"1002012","1","100211","","","3","0.2","mhp_sit_talk_sad","","1002012002",""
"1002012","0","vo_mhp","","","21","","vo_mhp_0402","","1002012003","0"
"1002012","5","100211","0","0","11","0","唉……如果是什麼\n不好的病，\n我該怎麼辦……","0","1002012004","0"
"1002012","","0","","","91","","","","1002012005",""
"1002012","1","100211","","","3","0.2","mhp_sit_idle_sad","","1002012006",""
"1002013","100","1","0","0","1","1.7","100211","mhp_sit_idle","1002013001","0"
"1002013","1","100211","","","3","0.2","mhp_yui_sit_talk_wish","","1002013002",""
"1002013","0","vo_mhp","","","21","","vo_mhp_0403","","1002013003","0"
"1002013","4","100211","0","0","11","0","診察結果終於……\n我、我緊張到\n心跳加快了……！","0","1002013004","0"
"1002013","","0","","","91","","","","1002013005",""
"1002013","1","100211","","","3","0.2","mhp_sit_idle_sad","","1002013006",""
"1007401","100","1","0","-240","1","1.7","100211","mhp_idle_normal","1007401001","-1000"
"1007401","100","1","1","-220","1","1.7","117531","mhp_sit_idle","1007401002","185"
"1007401","100","1","1","-200","1","1.7","117631","mhp_sit_idle","1007401003","365"
"1007401","-240","1","","0.85","31","1","1","","1007401004","-154"
"1007401","-230","23","","0.85","31","0","123","","1007401005","-18"
