96ee345bf5845f40d6eb0af9b3b8e1d6ae100f3bc893d141978d39d1643dc191,2aea1b5d5a9b8d7b0b66ca266536cbde826b6196fd3333c6013817cf01c4af6a,aa7134663edc1b2ac93c472b8ce8d807bb2f0dc979517efc6d07c337a02f0537,f2d0630ace0ba3afb6dc3c3ec05a33c055e974619fc3cedba224b8da4cd6eba6,bfb0cafb495560f1e367d8ca8a1c0c3e9162cbc355ef0a194884fb97e71053f0,3ba25b5f53b4ee5e414fd1ecfec5f131cb0b8ea99ab813db5a8e014bee1633e4,82b0fabe15442eb411d9a9bc5aec7507a2612f328f0647893145454869698ff9,93e7c9527ec086e22a60157023fddd84b497ee18c935d9411b24619135bea814,6a7973451897e2b992200503a60d8b49ea8892ea4ba6cdf6ea55092dcb04571a,20433812c2905477355522c62619df87d8df9899225f40fc251aadf567c85af1,7a51972f5c18b29d668558e1b6e83b6a8918cf48d8dff317aefdca3d701fc811,0e97fda07344c3a4cf01acafcea20048d7b662c404a37c0edb85255948b03cb2,4a7ed5e4433b0e2eecfd27a465372a50c6e91418193aadc20b4360018ebb3e89,e59df2ba9f38642af6d2f3bc1d0262ad2c503b5582dfa16b62b52f5d8263ef90,51b16e7268bea78faa3695bd709acd8a2e97a30916ecf9741d727045b1590bf9,21963056378c7af6b5259a6506dde57269987278ede018db26c7bf35205906f5,2f9487c2aa377791e1acf70675d041bfe296a4d0d981656321115db4ada80f22,4cab55a6bc4edc99c99579b51bf566edbdfbb2278a4048b1096da32cd57907fa,0c0830f6dbd9a326c2bd09d2ea67ce6cbb1b4301126909c2e299d62a623b2355,cbfea8bc4b0ec11f5c7c11d114ff71bcbdb2d2f94d533f68e719b0ef6eddc917
"1","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1001201"
"2","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1001201"
"3","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1001201"
"4","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1001201"
"5","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1001202"
"6","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1001202"
"7","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1001202"
"8","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1001202"
"9","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1001203"
"10","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1001203"
"11","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1001203"
"12","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1001203"
"13","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1001204"
"14","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1001204"
"15","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1001204"
"16","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1001204"
"17","0","0","1","0","2","90006","0","0","20003","0","0","0","10","3100104","40","1","0","2","1001205"
"18","0","0","3","0","2","90006","0","0","20003","0","0","0","8","3100103","30","2","0","2","1001205"
"19","0","0","10","0","2","90006","0","0","20003","0","0","0","6","3100102","20","4","0","2","1001205"
"20","0","0","30","0","2","90006","0","0","20003","0","0","0","2","3100101","10","11","0","2","1001205"
"21","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","5","1","0","2","1001206"
"22","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","4","2","0","2","1001206"
"23","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","3","4","0","2","1001206"
"24","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","2","11","0","2","1001206"
"25","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","5","1","0","2","1001207"
"26","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","4","2","0","2","1001207"
"27","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","3","4","0","2","1001207"
"28","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","2","11","0","2","1001207"
"29","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","5","1","0","2","1001208"
"30","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","4","2","0","2","1001208"
"31","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","3","4","0","2","1001208"
"32","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","2","11","0","2","1001208"
"33","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","5","1","0","2","1001209"
"34","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","4","2","0","2","1001209"
"35","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","3","4","0","2","1001209"
"36","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","2","11","0","2","1001209"
"37","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","5","1","0","2","1001210"
"38","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","4","2","0","2","1001210"
"39","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","3","4","0","2","1001210"
"40","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","2","11","0","2","1001210"
"41","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1002201"
"42","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1002201"
"43","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1002201"
"44","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1002201"
"45","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1002202"
"46","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1002202"
"47","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1002202"
"48","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1002202"
"49","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1002203"
"50","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1002203"
"51","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1002203"
"52","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1002203"
"53","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1002204"
"54","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1002204"
"55","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1002204"
"56","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1002204"
"57","0","0","1","0","2","90006","0","0","20003","0","0","0","10","3100104","40","1","0","2","1002205"
"58","0","0","3","0","2","90006","0","0","20003","0","0","0","8","3100103","30","2","0","2","1002205"
"59","0","0","10","0","2","90006","0","0","20003","0","0","0","6","3100102","20","4","0","2","1002205"
"60","0","0","30","0","2","90006","0","0","20003","0","0","0","2","3100101","10","11","0","2","1002205"
"61","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1002206"
"62","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1002206"
"63","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1002206"
"64","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1002206"
"65","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1002207"
"66","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1002207"
"67","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1002207"
"68","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1002207"
"69","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1002208"
"70","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1002208"
"71","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1002208"
"72","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1002208"
"73","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1002209"
"74","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1002209"
"75","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1002209"
"76","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1002209"
"77","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1002210"
"78","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1002210"
"79","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1002210"
"80","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1002210"
"81","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1003201"
"82","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1003201"
"83","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1003201"
"84","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1003201"
"85","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1003202"
"86","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1003202"
"87","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1003202"
"88","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1003202"
"89","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1003203"
"90","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1003203"
"91","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1003203"
"92","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1003203"
"93","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1003204"
"94","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1003204"
"95","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1003204"
"96","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1003204"
"97","0","0","1","0","2","90006","0","0","20003","0","0","0","10","3100104","40","1","0","2","1003205"
"98","0","0","3","0","2","90006","0","0","20003","0","0","0","8","3100103","30","2","0","2","1003205"
"99","0","0","10","0","2","90006","0","0","20003","0","0","0","6","3100102","20","4","0","2","1003205"
"100","0","0","30","0","2","90006","0","0","20003","0","0","0","2","3100101","10","11","0","2","1003205"
"101","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1003206"
"102","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1003206"
"103","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1003206"
"104","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1003206"
"105","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1003207"
"106","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1003207"
"107","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1003207"
"108","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1003207"
"109","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1003208"
"110","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1003208"
"111","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1003208"
"112","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1003208"
"113","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1003209"
"114","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1003209"
"115","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1003209"
"116","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1003209"
"117","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1003210"
"118","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1003210"
"119","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1003210"
"120","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1003210"
"121","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1004201"
"122","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1004201"
"123","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1004201"
"124","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1004201"
"125","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1004202"
"126","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1004202"
"127","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1004202"
"128","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1004202"
"129","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1004203"
"130","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1004203"
"131","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1004203"
"132","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1004203"
"133","0","0","1","0","2","90006","0","0","20003","0","0","0","5","3100104","20","1","0","2","1004204"
"134","0","0","3","0","2","90006","0","0","20003","0","0","0","4","3100103","15","2","0","2","1004204"
"135","0","0","10","0","2","90006","0","0","20003","0","0","0","3","3100102","10","4","0","2","1004204"
"136","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","5","11","0","2","1004204"
"137","0","0","1","0","2","90006","0","0","20003","0","0","0","10","3100104","40","1","0","2","1004205"
"138","0","0","3","0","2","90006","0","0","20003","0","0","0","8","3100103","30","2","0","2","1004205"
"139","0","0","10","0","2","90006","0","0","20003","0","0","0","6","3100102","20","4","0","2","1004205"
"140","0","0","30","0","2","90006","0","0","20003","0","0","0","2","3100101","10","11","0","2","1004205"
"141","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1004206"
"142","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1004206"
"143","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1004206"
"144","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1004206"
"145","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1004207"
"146","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1004207"
"147","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1004207"
"148","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1004207"
"149","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1004208"
"150","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1004208"
"151","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1004208"
"152","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1004208"
"153","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1004209"
"154","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1004209"
"155","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1004209"
"156","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1004209"
"157","0","0","1","0","2","90006","0","0","20003","0","0","0","4","3100104","10","1","0","2","1004210"
"158","0","0","3","0","2","90006","0","0","20003","0","0","0","3","3100103","8","2","0","2","1004210"
"159","0","0","10","0","2","90006","0","0","20003","0","0","0","2","3100102","6","4","0","2","1004210"
"160","0","0","30","0","2","90006","0","0","20003","0","0","0","1","3100101","4","11","0","2","1004210"
