6fccc1f272e5bf318fc4e734d910c8b4841fbdba0bdc82f9e2847ea41c358898,25de4eb37e287eea1f555b4d529df2250e858fb7c7bb3b5b444c646ff3668e3a,a45cec6ac1ad97ab225a6a838d728eba4c586b1b6cd6ee89e77d244d443e24e7,2fe47d3bff34f0f08848a2c528626dcfde1e83d3eb65ab8cb7fc2651ddfd4ba1,01525f6a3eb8a8b05bf498f9f72b4c235f4270f5442e08eeba93764859ced373,3512cfc29898ba5bf348c350c7c755f40c7359b2248765835cf3ff26f7c0054d,33f657851a2ece8556000e38f90d52b02f6380beba637273d31fc34d4ad94a7d,004443682acbb0221b07c44d7c5cd75ab3447286870663e7863c1c35fff0564c
"1","0","1","為什麼會發\n生這種事？","2030/01/01 01:00:00","2020/12/18 05:00:00","5023000","0"
"2","0","2","竟然說不出\n日安這句話","2030/01/01 01:00:00","2020/12/18 05:00:00","5023001","0"
"3","0","3","搞砸了！","2030/01/01 01:00:00","2020/12/18 05:00:00","5023002","0"
"4","0","4","優妮是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"5","0","5","克蘿依是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"6","0","6","琪愛兒是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"7","0","7","知性的\n優妮","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"8","0","8","溫柔的\n克蘿依","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"9","0","9","令人崇拜的\n琪愛兒","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"10","0","10","特別講座的\n練習","2030/01/01 01:00:00","2020/12/21 05:00:00","5023003","0"
"11","0","11","終於來了\n特別講座","2030/01/01 01:00:00","2020/12/21 05:00:00","5023004","0"
"12","0","12","真不愧是BB團的團長！","2030/01/01 01:00:00","2020/12/21 05:00:00","5023005","0"
"13","0","13","曼德拉草\n造成大混亂","2030/01/01 01:00:00","2020/12/21 05:00:00","5023006","0"
"14","0","14","最終日","2030/01/01 01:00:00","2020/12/25 16:00:00","5023007","0"
"15","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
"16","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
"17","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
