9967dd5e10f86ce4e214653b2fb61b7dacdd63628ddfaacd310f1973641a366b,9385b55fe507852c899ad8e560bdcabf5aa800afbca329b4a60b70c23e674bb6,69f4dbaa75e803caefa079190779e01a203c59758d8da8cb9b6d1c59cf8b47f1,020f61078b66093f87dade25f24938ca0b4a345229ffb6256c16eb3f4025942f,5791034aa7c60bfe0e3926c657d50cdd4b8257cf0f2f73b8d80b3262d0bd7a66,2dceca5d48a2ef12a99b000e53a798c7d6a9c9a1cb5f40dd9f05410cd5f50671,2a694df34fa9626f879ae7658cc53fbcafe774393f4f63d554094432be6f6e14,44fc48cd256c3c9f7719066b389e140a29cb391ada206ef5821a28f3e75e700f,746840393d86f7623110d2ef5bc5fd151b24b84f56671ac55190060a7074d8ee,12b0e7167d5b8b847d8409038fcbf2c8fb78f7e3acbf9dcc75bf155424cf30fb,a9f000fae43fdc191c7cdb077bca583e613f86a136baba865305ce6e2b3b4de6,542ffa68e7944c42b8ff044b83da3ee460631288a87a8aa1e730feacf8349ac4,0cf41a7a967ae940b26a1d6f2b365ef61116ec48ca49265b26c969aa9a12a013,b0005c1a74c734f0b65e964ea1c442fa58de9d24463de6f443a69af93df965b7,77ead8dc59db43b5b1826f0a5e1ff30851e1134f7d3011941035123363b8f482,f90323709f033273e74b31c457677653fe6c3d7f6cf8165614b6445be5ba3ec0,819d279c607c3ed4516aee3cb985dceec0ac16602f938023f2b615374fcfd397,b6cd36b2cf562eade84ce528b81a04be930ee56d5d6458ef752421f4f1720d17,1bdc7f85d1867a4a7a501487b5ddcf39be76b37ea22d4e0c0b6d777fcbe0f3ae,6cb589fed220380165324c229f2ebb1c466b3818ea619aa1d25d76b54a933672,b0079c5baa60e5f41eda842069a2f148d2adcc6f8602f84f4cc185ea12a7b9a3,5f36d8d0b17245cc214a5983339c5b269226c89423ed73a4848ea7c75ef84e9c,06ebb7bfd530daa06eb598dc28ecce925f8a4106e3a3d7fbbae2d9cbe0500f83,0d3daa5497aa6a5fb1838a0122f9e935333a6871cde12597d43fcfacbc54061a,3205bd7ed0b4188ae619af5253b9a8424d5df6159fe57857fe9c97941208775a,ded7f43091304a9e26aac36d69182e63fed046729201adb2c4c98ddd3d4d342b,64bcec583e48cca378c736eaeb7ff86e86ca3d04fa7a554906bf208075e2f160,83bfe1a1161e781a84b83bf8abca09778274b0742e5e457510ac685c00efc63a,16bf5ec9f6ee5fb258e5e66322be4d71724441d77c12d52118af247fb08b9093,1a05dc06e074cb01940ad6657aa6a2458e70a17318b37454380d70aab6dbf082,9c25e7575596e4f30b7289a32194a057ee6aabfa82f0dc6883e31387a5d094bd,f9766c09b15982f76d3d82853bfa0bdde9b4d705d84ed2d88ae9d83672dc0baf,b17fbc856a51deee38a7b47f588994242db3bf768202b227ac8c5c1a33395c61,cbb7650992f4a1d52c2ccc2a6e7240154132650a7260fce792cdec54fdbc96cf,dab80c172d0c7670bb6d8dd94dcb80a02b40861bcfe23e54964eb4119d33edf7,5f3b9ab2528c722c2c3892d58a571758197865dd6808fea78325f239236b0b7f,4fd4c0daa7dbeda67a2937fa16c82125f1977dc76d602bf6f54d185ef43b009c,253e9d78473f7b198cbe3fe63600726021ea4d3f8b8a8ddfc0dfaa4c4327746f,8328e873542ff12d640c939436c98052c3ed0b659d57ec47ee303f934ac2e396,f90eb7a5ffd91cc78efad5524395d5164612c7bfd33d68813f435854a46e464d
"1","200100","0","0","0","329","200000006","24","1","1","1","1","1","1","1","0","30","3","1","1","1","1","0","1","1","0","1","1","1","10","1","620010001","1","4","10","0","0","0","0","1"
"2","200100","0","0","0","338","200000006","28","2","2","2","2","2","2","1","0","30","3","2","2","2","2","0","2","2","0","2","2","2","10","1","620010002","2","9","10","0","0","0","0","1"
"3","200100","0","0","0","347","200000006","32","3","3","3","3","3","3","1","0","30","4","3","3","3","3","0","3","3","0","3","3","3","10","1","620010003","3","5","10","0","0","0","0","1"
"4","200100","0","0","0","347","200000006","32","4","4","4","4","4","4","1","0","30","4","4","4","4","4","0","4","4","0","4","4","4","10","1","620010004","4","5","10","0","0","0","0","1"
"5","200100","0","0","0","349","200000006","35","5","5","5","5","5","5","1","0","30","4","5","5","5","5","0","5","5","0","5","5","5","10","1","620010005","5","5","10","0","0","0","0","1"
"6","200100","0","0","0","367","200000006","48","6","6","6","6","6","6","1","0","30","6","6","6","6","6","0","6","6","0","6","6","6","10","1","620010006","6","7","10","0","0","0","0","1"
"7","200100","0","0","0","413","200000006","55","7","7","7","7","7","7","1","0","30","7","7","7","7","7","0","7","7","0","7","7","7","10","1","620010007","7","8","10","0","0","0","0","1"
"8","200100","0","0","0","459","200000006","62","8","8","8","8","8","8","1","0","30","7","8","8","8","8","0","8","8","0","8","8","8","10","1","620010008","8","9","10","0","0","0","0","1"
"9","200100","0","0","0","505","200000006","68","9","9","9","9","9","9","1","0","30","8","9","9","9","9","0","9","9","0","9","9","9","10","1","620010009","9","9","10","0","0","0","0","1"
"10","200100","0","0","0","551","200000006","75","10","10","10","10","10","10","1","0","30","9","10","10","10","10","0","10","10","0","10","10","10","10","1","620010010","10","10","10","0","0","0","0","1"
"11","200100","0","0","0","598","200000006","82","11","11","11","11","11","11","1","0","30","9","11","11","11","11","0","11","11","0","11","11","11","10","1","620010011","11","11","10","0","0","0","0","1"
"12","200100","0","0","0","644","200000006","89","12","12","12","12","12","12","1","0","30","10","12","12","12","12","0","12","12","0","12","12","12","10","1","620010012","12","12","10","0","0","0","0","1"
"13","200100","0","0","0","690","200000006","95","13","13","13","13","13","13","1","0","30","11","13","13","13","13","0","13","13","0","13","13","13","10","1","620010013","13","12","10","0","0","0","0","1"
"14","200100","0","0","0","736","200000006","102","14","14","14","14","14","14","1","0","30","11","14","14","14","14","0","14","14","0","14","14","14","10","1","620010014","14","13","10","0","0","0","0","1"
"15","200100","0","0","0","782","200000006","109","15","15","15","15","15","15","1","0","30","12","15","15","15","15","0","15","15","0","15","15","15","10","1","620010015","15","14","10","0","0","0","0","1"
"16","200100","0","0","0","851","200000006","123","16","16","16","16","16","16","1","0","30","12","16","16","16","16","0","16","16","0","16","16","16","10","1","620010016","16","15","10","0","0","0","0","1"
"17","200100","0","0","0","919","200000006","136","17","17","17","17","17","17","1","0","30","12","17","17","17","17","0","17","17","0","17","17","17","10","1","620010017","17","15","10","0","0","0","0","1"
"18","200100","0","0","0","1296","200000006","164","18","18","18","18","18","18","1","0","30","13","18","18","18","18","0","18","18","0","18","18","18","10","1","620010018","18","15","10","0","0","0","0","1"
"19","200100","0","0","0","1482","200000006","177","19","19","19","19","19","19","1","0","30","13","19","19","19","19","0","19","19","0","19","19","19","10","1","620010019","19","15","10","0","0","0","0","1"
