ba1500c9aab73d5788888a3713be248686da9cb0b9f0e5c65368b80a1cbfab48,91bb25120386545ae077a6852d238946516ba1e541465f2e8820659fc18f8a18,368349e2dc62175b8b3706e74c98b52455cd88f2e4c6065ad2311951ec38bdb3
"106101","裝備中","平常時"
"106701","特殊技","平常時"
"106801","權能解放中","平常時"
"106901","特殊技","平常時"
"115801","變身中","平常時"
"116401","特殊技","平常時"
"118201","特殊技能","平常時"
"118501","特殊技","平常時"
"118601","特殊技能","平常時"
"120801","初次發動時","平常時"
"122001","特殊技","平常時"
"122301","共鬥中","平常時"
"122701","特殊技","平常時"
"123001","特殊技","平常時"
"125001","共鬥中","平常時"
"125801","特殊技能","平常時"
"126001","特殊技能","平常時"
"126101","特殊技能","平常時"
"126201","特殊技能","平常時"
"126401","【蓄電滿載】中","平常時"
"126501","特殊技能","平常時"
"129001","特殊技能","平常時"
"129301","特殊技能","平常時"
"129401","特殊技能","平常時"
"129601","特殊技能","平常時"
"129701","特殊技能","平常時"
"131201","特殊技能","平常時"
"131801","特殊技能","平常時"
"132001","特殊技能","平常時"
"132101","鬼化中","平常時"
"181201","特殊技能","平常時"
