5a329f44e70ad8795695c098feae6c19201a6f8359f30d6a568a791d3f553018,451532b53979eabd8ea800e13f291f94313e94cb46e6a14b6330c1e9ccc2c0f0,b7a9a3afc3c689133a6ac80aa0ad84dc256764fe59722ffbfa5f4e685ab9ef61,5be78d8fcfa3604aaa41f49f21c9a5cf96a51150aa6fdf75eb04ea295a9c7cc1,3b4886bb2e8c78f6eee596ceebc4a9203233faff3d206d55907011e1d27cdec1,747a39a1bb4af8d8a0fbfccae5109158ec7f9e8e101c2d27918e4c85bf33a966,da61fb8ec89a623d5ec49a49bc6a2428e54eed9198c5347b3d11dc11249ecce6,1926e7e197c9da2a667fa8d7c83a4680b97bcec3d3ec57eb99d8ea173355f928,13a24f06899fb241e4b6303ee1984d56ec038aca02923e9da268fb05e52f6dc6,51db68dacc80b60f9118090fef5d82801561ad71adebdcb78527867f59488b23,e25a4b43b91ab8a4abb2867a7203ead1e85102a67579fad66f07c70d0ead4563,e7cd43ffa0b965f5827ca1820e0f9951ce04d44af21efe6f8eb4b8e1b365e6d6,d82704123bb86e74084d165a1212bf94d6a3c9d00095db9a919171524d77ff68,093b36a0151e3edd3e656ac30bc2ccca15c054d8d59b1c91037fd6c861973ba0,16c79b1ee76632cfea4fea700b7447ceec5c36d558832af2ff12f78d36564a79,a2d4536456dfa588b6076dec2ebefe3bf515d3af0544e70602353e4541100ca6
"前篇Boss戰（SCENARIO）","113001","103613","5201301","bgm_MC223","90","1","0","bgm_MC223","90","5201004","610201101","0","81020102","10201","10201101"
"後篇Boss戰（SCENARIO）","113001","81020101","5201311","bgm_MC224","90","1","0","bgm_MC224","90","5201009","610201151","2025/06/07 16:00:00","81020103","10201","10201151"
"前篇Boss戰（SPECIAL）","114001","103613","0","bgm_MC223","90","2","10201101","bgm_MC223","255","0","0","0","103613","10201","10201201"
"後篇Boss戰（SPECIAL）","114001","81020101","0","bgm_MC224","90","2","10201151","bgm_MC224","255","0","0","2025/06/07 16:00:00","81020104","10201","10201251"
"前篇Boss戰（SPECIAL+）","115001","103613","0","bgm_MC223","90","3","10201201","bgm_MC223","331","0","0","0","103613","10201","10201501"
"後篇Boss戰（SPECIAL+）","115001","81020101","0","bgm_MC224","90","3","10201251","bgm_MC224","331","0","0","2025/06/07 16:00:00","81020104","10201","10201551"
"Boss戰（SCENARIO）","113001","102370","5202301","bgm_MC228","90","1","0","bgm_MC228","90","5202006","610202101","0","81020201","10202","10202101"
"Boss戰（SPECIAL）","114001","102370","0","bgm_MC228","90","2","10202101","bgm_MC228","255","0","0","0","102370","10202","10202201"
"Boss戰（SPECIAL＋）","115001","102370","0","bgm_MC228","90","3","10202201","bgm_MC228","334","0","0","0","102370","10202","10202501"
"Boss戰（SCENARIO）","113001","81020301","5203301","bgm_MC236","90","1","0","bgm_MC236","90","5203006","610203101","0","81020301","10203","10203101"
"Boss戰（SPECIAL）","114001","81020301","0","bgm_MC236","90","2","10203101","bgm_MC236","255","0","0","0","81020301","10203","10203201"
"Boss戰（SPECIAL＋）","115001","81020301","0","bgm_MC236","90","3","10203201","bgm_MC236","337","0","0","0","81020301","10203","10203501"
"Boss戰（SCENARIO）","113001","100092","5204301","bgm_MC253","90","1","0","bgm_MC253","90","5204006","610204101","0","100092","10204","10204101"
"Boss戰（SPECIAL）","114001","100092","0","bgm_MC253","90","2","10204101","bgm_MC253","255","0","0","0","100092","10204","10204201"
"Boss戰（SPECIAL＋）","115001","100092","0","bgm_MC253","90","3","10204201","bgm_MC253","340","0","0","0","100092","10204","10204501"
"Boss戰（SCENARIO）","113001","100199","5205301","bgm_MC257","90","1","0","bgm_MC257","90","5205006","610205101","0","100199","10205","10205101"
"Boss戰（SPECIAL）","114001","100199","0","bgm_MC257","90","2","10205101","bgm_MC257","255","0","0","0","100199","10205","10205201"
"Boss戰（SPECIAL＋）","115001","100199","0","bgm_MC257","90","3","10205201","bgm_MC257","343","0","0","0","100199","10205","10205501"
"Boss戰（SCENARIO）","113001","81020601","5206301","bgm_MC264_NoIntro","90","1","0","bgm_MC264","90","5206006","610206101","0","81020601","10206","10206101"
"Boss戰（SPECIAL）","114001","81020601","0","bgm_MC264_NoIntro","90","2","10206101","bgm_MC264","255","0","0","0","81020601","10206","10206201"
"Boss戰（SPECIAL＋）","115001","81020601","0","bgm_MC264_NoIntro","90","3","10206201","bgm_MC264","346","0","0","0","81020601","10206","10206501"
"Boss戰（SCENARIO）","113001","81020701","5207301","bgm_MC270","90","1","0","bgm_MC270","90","5207006","610207101","0","81020701","10207","10207101"
"Boss戰（SPECIAL）","114001","81020701","0","bgm_MC270","90","2","10207101","bgm_MC270","255","0","0","0","81020701","10207","10207201"
"Boss戰（SPECIAL＋）","115001","81020701","0","bgm_MC270","90","3","10207201","bgm_MC270","349","0","0","0","81020701","10207","10207501"
"Boss戰（SCENARIO）","113001","81020801","5208301","bgm_MC283","90","1","0","bgm_MC283","90","5208006","610208101","0","81020801","10208","10208101"
"Boss戰（SPECIAL）","114001","81020801","0","bgm_MC283","90","2","10208101","bgm_MC283","255","0","0","0","81020801","10208","10208201"
"Boss戰（SPECIAL＋）","115001","81020801","0","bgm_MC283","90","3","10208201","bgm_MC283","352","0","0","0","81020801","10208","10208501"
"Boss戰（SCENARIO）","113001","103603","5209301","bgm_MC203","90","1","0","bgm_MC203","90","5209006","610209101","0","103603","10209","10209101"
"Boss戰（SPECIAL）","114001","103603","0","bgm_MC203","90","2","10209101","bgm_MC203","255","0","0","0","103603","10209","10209201"
"Boss戰（SPECIAL＋）","115001","103603","0","bgm_MC203","90","3","10209201","bgm_MC203","355","0","0","0","103603","10209","10209501"
