e900b7973459bab95931b85b163b756d1490f5a3b9fe5dfa9e8b1fe10a8b6db9,aeb87c595a896908933adaf9c90fb430bfee18e2985f0ac4eeab49585bed56bb,0d679a427759be983fea3e92e302ca1d782784ef7f042a3c88c7656e51c3c500,02891e527fb503663e3ccff2085f7e8951015a499926a30a59cc887954aa46a8,c9d48122e644149417d0ae256256c8c57c59b70e161543a4e4dfb9af9455a86c,c105f229e0c26ad9c80ee287ab8f52af410d8094c2eac3d9d38025cef2146307
"1","1","","自動","2019/02/15 15:00:00","1"
"2","2","","預設","2019/02/15 15:00:00","2"
"3","3","","周年","2020/08/03 16:00:00","3"
"4","4","","粉紅色","2020/04/20 12:00:00","1"
"5","5","","紅色","2020/04/20 12:00:00","1"
"6","6","","黃色","2020/04/20 12:00:00","1"
"7","7","","綠色","2020/04/20 12:00:00","1"
"8","8","","淺藍色","2020/04/20 12:00:00","1"
"9","9","","藍色","2020/04/20 12:00:00","1"
"10","10","","紫色","2020/04/20 12:00:00","1"
"11","11","","灰色","2020/04/20 12:00:00","1"
