9b4c921cfdcf4233aa47fc2714b5d0e3a936a46d27401192b629fb4ffad2e350,11b5ddb64413e0f142276d1136865e4c5273cf0549d96b2430a526a2e297e250,8ac5561436d3ac35f83d214f19484d30c2f5c39e50cd83920a8ebbbb95a40e8e,6a867f9f6948d337423ad6eeeb026a593fcedbb7e93ca96b8efcfde8fda31d85,592a12e1a848f4d92a483a53e0964bc72c3c2316848c5cd872882f1b6317fe9a,0cbe21f742d19c506656d1bcf8806ea38a03d1094d2140c9161a3a36da4625b0,2fd639571b1806b34b3aa08fa7918ea9a08ee27ea4bbf1a81b2e3fd2e9cce682,27e66fa5e49ec75789236b3adeff40a3938959a9c1a6dcc4442f4f306d377a4b,01da65ab0519606124a01987817c256937571882c2274286de8b69ae0beee9ec,d3506ec8f4454352fcfb00b4325d12bc12a7968b52c2a4321dae52939f9465e0,05f9b4b6ad1ff548d062859c64eb3ed335f39e35ae60e128781f89f53f77649b,62077d51eb7b7786ef555ea3ec434b71bc6edbabfec41f328dc83b137df36534
"1","0","3","0","1010001","0","4","0","0","1","0","1"
"1","vo_minigame_1005","0","0","1010002","0","2","vo_minigame_1005_nikki01_000","0","0","0","2"
"1","0","0","202","1010003","1.418","1","0","0","0","1","3"
"1","0","1","0","1010004","0","4","0","0","1.858","0","4"
"1","0","0","316","1010005","2.536","1","0","0","0","2","5"
"1","0","1","0","1010006","0","4","0","0","3.484","0","6"
"1","vo_minigame_1005","0","0","1010007","0","2","vo_minigame_1005_nikki01_001","0","0","0","7"
"1","0","0","183","1010008","1.131","1","0","0","0","3","8"
"1","0","1","0","1010009","0","4","0","0","1.407","0","9"
"1","0","0","318","1010010","1.043","1","0","183","0","3","10"
"1","0","1","0","1010011","0","4","0","0","1.719","0","11"
"1","0","0","389","1010012","0.69","1","0","318","0","3","12"
"1","0","1","0","1010013","0","4","0","0","0.69","0","13"
"1","0","0","244","1010014","1.694","1","0","0","0","4","14"
"1","0","1","0","1010015","0","4","0","0","2.204","0","15"
"1","0","0","384","1010016","1.298","1","0","244","0","4","16"
"1","0","1","0","1010017","0","4","0","0","1.298","0","17"
"1","0","0","67","1010018","1.118","1","0","0","0","5","18"
"1","0","1","0","1010019","0","4","0","0","1.199","0","19"
"1","0","0","103","1010020","0.958","1","0","67","0","5","20"
"1","0","1","0","1010021","0","4","0","0","1.269","0","21"
"1","0","0","394","1010022","1.373","1","0","103","0","5","22"
"1","0","1","0","1010023","0","4","0","0","1.373","0","23"
"1","0","0","0","1010024","0.193","1","0","0","0","6","24"
"1","0","1","0","1010025","0","4","0","0","0.552","0","25"
"1","0","0","368","1010026","2.64","1","0","0","0","6","26"
"1","0","1","0","1010027","0","4","0","0","3.195","0","27"
"1","0","0","64","1010028","0.599","1","0","0","0","7","28"
"1","0","1","0","1010029","0","4","0","0","0.929","0","29"
"1","0","0","315","1010030","1.302","1","0","64","0","7","30"
"1","0","1","0","1010031","0","4","0","0","2.395","0","31"
"1","vo_minigame_1005","0","0","1010032","0","2","vo_minigame_1005_nikki01_002","0","0","0","32"
"1","0","0","345","1010033","2.09","1","0","0","0","8","33"
"1","0","1","0","1010034","0","4","0","0","2.512","0","34"
"1","0","0","63","1010035","0.868","1","0","0","0","9","35"
"1","0","1","0","1010036","0","4","0","0","0.907","0","36"
"1","0","0","315","1010037","1.107","1","0","63","0","9","37"
"1","0","1","0","1010038","0","4","0","0","1.107","0","38"
"1","0","0","162","1010039","1.107","1","0","0","0","10","39"
"1","0","1","0","1010040","0","4","0","0","1.455","0","40"
"1","0","0","162","1010041","1.65","1","0","162","0","10","41"
"1","0","1","0","1010042","0","4","0","0","2.654","0","42"
"1","vo_minigame_1005","0","0","1010043","0","2","vo_minigame_1005_nikki01_003","0","0","0","43"
"1","0","0","262","1010044","0.685","1","0","162","0","10","44"
"1","0","1","0","1010045","0","4","0","0","1.036","0","45"
"1","0","0","397","1010046","0.378","1","0","262","0","10","46"
"1","0","1","0","1010047","0","4","0","0","0.378","0","47"
"1","0","0","377","1010048","2.438","1","0","0","0","11","48"
"1","0","1","0","1010049","0","4","0","0","3.395","0","49"
"1","vo_minigame_1005","0","0","1010050","0","2","vo_minigame_1005_nikki01_004","0","0","0","50"
"1","0","0","102","1010051","0.642","1","0","0","0","12","51"
"1","0","1","0","1010052","0","4","0","0","1.061","0","52"
"1","0","0","187","1010053","0.539","1","0","102","0","12","53"
"1","0","1","0","1010054","0","4","0","0","0.877","0","54"
"1","0","0","316","1010055","1.135","1","0","187","0","12","55"
"1","0","1","0","1010056","0","4","0","0","2.635","0","56"
"2","0","3","0","1020001","0","4","0","0","1","0","1"
"2","vo_minigame_1005","0","0","1020002","0","2","vo_minigame_1005_nikki02_000","0","0","0","2"
"2","0","0","345","1020003","2.91","1","0","0","0","1","3"
"2","0","1","0","1020004","0","4","0","0","3.814","0","4"
"2","vo_minigame_1005","0","0","1020005","0","2","vo_minigame_1005_nikki02_001","0","0","0","5"
"2","0","0","239","1020006","1.67","1","0","0","0","2","6"
"2","0","1","0","1020007","0","4","0","0","2.19","0","7"
"2","0","0","314","1020008","2.455","1","0","0","0","3","8"
"2","0","1","0","1020009","0","4","0","0","3.527","0","9"
"2","vo_minigame_1005","0","0","1020010","0","2","vo_minigame_1005_nikki02_002","0","0","0","10"
"2","0","0","104","1020011","0.454","1","0","0","0","4","11"
"2","0","1","0","1020012","0","4","0","0","0.874","0","12"
"2","0","0","392","1020013","2.154","1","0","104","0","4","13"
"2","0","1","0","1020014","0","4","0","0","3.373","0","14"
"2","vo_minigame_1005","0","0","1020015","0","2","vo_minigame_1005_nikki02_003","0","0","0","15"
"2","0","0","125","1020016","0.895","1","0","0","0","5","16"
"2","0","1","0","1020017","0","4","0","0","1.311","0","17"
"2","0","0","265","1020018","1.114","1","0","125","0","5","18"
"2","0","1","0","1020019","0","4","0","0","1.181","0","19"
"2","0","0","340","1020020","0.497","1","0","265","0","5","20"
"2","0","1","0","1020021","0","4","0","0","0.497","0","21"
"2","0","0","189","1020022","1.37","1","0","0","0","6","22"
"2","0","1","0","1020023","0","4","0","0","2.407","0","23"
"2","vo_minigame_1005","0","0","1020024","0","2","vo_minigame_1005_nikki02_004","0","0","0","24"
"2","0","0","295","1020025","1.616","1","0","0","0","7","25"
"2","0","1","0","1020026","0","4","0","0","2.035","0","26"
"2","0","0","68","1020027","0.951","1","0","0","0","8","27"
"2","0","1","0","1020028","0","4","0","0","1.322","0","28"
"2","0","0","258","1020029","1.924","1","0","68","0","8","29"
"2","0","1","0","1020030","0","4","0","0","2.98","0","30"
"2","vo_minigame_1005","0","0","1020031","0","2","vo_minigame_1005_nikki02_005","0","0","0","31"
"2","0","0","83","1020032","0.93","1","0","0","0","9","32"
"2","0","1","0","1020033","0","4","0","0","1.24","0","33"
"2","0","0","257","1020034","0.879","1","0","83","0","9","34"
"2","0","1","0","1020035","0","4","0","0","1.877","0","35"
"2","vo_minigame_1005","0","0","1020036","0","2","vo_minigame_1005_nikki02_006","0","0","0","36"
"2","0","0","164","1020037","1.148","1","0","0","0","10","37"
"2","0","1","0","1020038","0","4","0","0","1.541","0","38"
"2","0","0","367","1020039","1.145","1","0","164","0","10","39"
"2","0","1","0","1020040","0","4","0","0","2.645","0","40"
"3","0","3","0","1030001","0","4","0","0","1","0","1"
"3","vo_minigame_1005","0","0","1030002","0","2","vo_minigame_1005_nikki03_000","0","0","0","2"
"3","0","0","340","1030003","2.61","1","0","0","0","1","3"
"3","0","1","0","1030004","0","4","0","0","3.007","0","4"
"3","0","0","233","1030005","1.47","1","0","0","0","2","5"
"3","0","1","0","1030006","0","4","0","0","2.171","0","6"
"3","vo_minigame_1005","0","0","1030007","0","2","vo_minigame_1005_nikki03_001","0","0","0","7"
"3","0","0","322","1030008","2.1","1","0","0","0","3","8"
"3","0","1","0","1030009","0","4","0","0","2.579","0","9"
"3","0","0","370","1030010","2.298","1","0","0","0","4","10"
"3","0","1","0","1030011","0","4","0","0","3.18","0","11"
"3","vo_minigame_1005","0","0","1030012","0","2","vo_minigame_1005_nikki03_002","0","0","0","12"
"3","0","0","101","1030013","1.262","1","0","0","0","5","13"
"3","0","1","0","1030014","0","4","0","0","1.993","0","14"
"3","vo_minigame_1005","0","0","1030015","0","2","vo_minigame_1005_nikki03_003","0","0","0","15"
"3","0","0","142","1030016","0.373","1","0","101","0","5","16"
"3","0","1","0","1030017","0","4","0","0","0.69","0","17"
"3","0","0","362","1030018","1.045","1","0","142","0","5","18"
"3","0","1","0","1030019","0","4","0","0","2.131","0","19"
"3","vo_minigame_1005","0","0","1030020","0","2","vo_minigame_1005_nikki03_004","0","0","0","20"
"3","0","0","289","1030021","2.147","1","0","0","0","6","21"
"3","0","1","0","1030022","0","4","0","0","2.618","0","22"
