ac20d00e663dd2a0b64577a1431a707191df01badcbeeaddb2423b7d64c609dc,4cca7897ccd51341f1d2710f04f4b3499e7c7c854d9e3d03b92cb9c0231fd583,0021579a6419e2312c4e3d1caf466439ed13bdc4ac06ad4abd8c1dd413511111,da7399250bb56b5652e02fbeff19f17eab2bddd86a997a8871bfad65a0c5e5a6,a0cbf47eca4b3bb39641cef65352b653a70adceb0595487e0e4670432aa8d078,f15714e875302dedbb54a1a8ef9939532ef1da320561db09d2f0ab056902d446
"50000","50000","1","2","1","26202"
"10","10","2","2","1","90013"
"1","0","3","2","1","26203"
"55000","55000","4","2","2","26202"
"10","10","5","2","2","90013"
"1","0","6","2","2","26203"
"60000","60000","7","2","3","26202"
"10","10","8","2","3","90013"
"1","0","9","2","3","26203"
"65000","65000","10","2","4","26202"
"10","10","11","2","4","90013"
"1","0","12","2","4","26203"
"70000","70000","13","2","5","26202"
"10","10","14","2","5","90013"
"1","0","15","2","5","26203"
"75000","75000","16","2","6","26202"
"10","10","17","2","6","90013"
"1","0","18","2","6","26203"
"80000","80000","19","2","7","26202"
"10","10","20","2","7","90013"
"1","0","21","2","7","26203"
"85000","85000","22","2","8","26202"
"10","10","23","2","8","90013"
"1","0","24","2","8","26203"
"90000","90000","25","2","9","26202"
"20","20","26","2","9","90013"
"1","0","27","2","9","26203"
"95000","95000","28","2","10","26202"
"20","20","29","2","10","90013"
"1","0","30","2","10","26203"
"100000","100000","31","2","11","26202"
"20","20","32","2","11","90013"
"1","0","33","2","11","26203"
"105000","105000","34","2","12","26202"
"20","20","35","2","12","90013"
"1","0","36","2","12","26203"
