bc06876b67a5cbce6f67213f10da00fe92a0f20bf76e514fda6745ade71a5efa,ef34c692e97fb3ce2f69e3549e117159e6e8eab3672f4fcd61e06c3b675a378e,6b431ae9bddaa1b8f44d4aa0a1f68d9d8715d7763ff3cda68f8c60d297f60cfa,a2886f4fffcaa44ddcf7e77ecd3f9c6e5355efd15f80ab663c198bd317c33297,aefd45e30bebae6013a7c3015d7886f51b46015ec22f0f8146a853aadc3c7541,fdca2022bdef107eecc5c4ce3faad67ff034aadbbfa28c26df5c26860c5925a7,979d2a8e87fe36d7e49c2ef9215d7fd2bf3984aadd3224fa34a29066c7270d6c,39828a1faedcb99232c1f18ba17a28dc14b65ba555b7fa8513ffc01b4e9a93bf,219ec883c0e6a0676270aad2da5960be4d105a7ec241c6527597e51da4e31583,8963a4284a0e8efc8e7d84a8e723c147a5aa10a8502b4a4c7d6cf52a348e416f,68833564d9cd77bb0a28f39f9e978beb14241c1cf6f4775946a4f77775f538f7,6085b05969af1a9e91dd977425ca770dc8ba686bde5e7ca6362dea0b5a24a69b,a5d5d90607771445b4608fc9f61165197e4584780a5ff9256421c6d3b0623da5,4093db0c344b3a7927e8afe585693a61dd758b269b409ac02797227e736d8802,7e2fb4e5a46c5359f6e6377ab053c66dae16db552e33680895e6f97e6d0021d4,846f1895655cdf0e9a68899fd0d0e29698816459da7269697c8490fbbee915f6,fba3e8de19b003e20166e33b9170172eb911ef41567d0dfb9851fb0c04df12d6,ede01282fd0f9f3a8768688ee97696b6cc75ab518a51eef4bfa9029004e60286,fe466165fbf0eeb371399b67fa8178b8fde6d3d9058c0ce24a0e463104b6e9b6,c57c36daae80c83a697ce352e077d4173d521c47d1ff8e6b3b95504d16b3f1e3,89dfe61e70a5867119f1f609b2ab9af4377030199951682413e977631f25702f
"1300110","1","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130011","4.7","0","0"
"1300210","0","0","0","0","2.3","0","0.25","0.25","0","0","0","0.25","-1","0","0","2","130021","0","0","0"
"1300310","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130031","4.75","5.5","0"
"1300320","0","0","0","0","0","0","30","30","0","0","0","0","-1","0","0","1","130032","500","1000","0"
"1300410","0","0","0","0","0","0","0.3","0.1","0","0","0","0","-1","0","0","2","130041","3.35","0","0"
"1300510","0","0","0","0","0","0","0.45","0.4","0","0","0","0","-1","0","0","2","130051","0","6.5","0"
"1300610","0","0","0","0","3.6","0","0.15","0.15","0","0","0","0","-1","0","0","2","130061","0","0","0"
"1300710","0","0","0","0","0","0","0.45","0.15","0","0","0","0","300","0","0","2","130071","0","11.5","0.15"
"1300711","0","0","0","0","0","0","0.65","0.15","0","0","0","0","-1","0","0","301","130071","0","11.5","0"
"1300810","0","0","0","0","3.15","0","0.2","0.2","0","0","0","0","-1","0","0","2","130081","0","0","0"
"1300910","0","0","0","0","4.5","0","0","0","0.5","0","0","0","-1","0","0","2","130091","0","0","0"
"1301010","0","0","0","0","2.1","0","0.3","0.25","0","0","0","0.25","-1","0","0","2","130101","0","0","0"
"1301110","1","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130111","4.6","0","0"
"1301120","90","0","0","0","0","0","25","0","0","0","0","0","-1","0","0","1","130112","500","0","0"
"1301210","0","0","0","0","4.4","0","0.05","0","0.5","0","0","0","-1","0","0","2","130121","0","0","0"
"1301310","0","0","0","0","4.5","0","0","0","0.75","0","0","0","-1","0","0","2","130131","0","0","0"
"1301320","0","0","0","0","0","0","50","50","0","0","0","0","-1","0","0","1","130132","0","830","0"
"1301410","0","0","0","0","3.5","0","0.15","0.2","0","0","0","0","-1","0","0","2","130141","0","0","0"
"1301510","0","0","0","0","2.55","0","0.15","0.35","0","0","0","0.15","-1","0","0","2","130151","0","0","0"
"1301610","0","0","0","0.1","0","0","0","0","0","0","0","0","260","0","0","2","130161","4.9","0","0"
"1301611","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","261","130161","5.4","0","0"
"1301620","70","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","130162","700","0","0"
"1301710","1","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130171","4.7","0","0"
"1301810","0","0","0","0.05","4.25","0","0","0","0.5","0","0","0","260","0","0","2","130181","0","0","0"
"1301811","0","0","0","0","4.5","0","0","0","0.5","0","0","0","-1","0","0","261","130181","0","0","0"
"1302010","0.75","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130201","4.4","0","0"
"1302110","0","0","0","0","0","0","0.4","0.4","0","0","10","0","-1","0","0","2","130211","0","5","0"
"1302210","0","0","0","0","4.25","0","0","0.05","0.5","0","0","0","-1","0","0","2","130221","0","0","0"
"1302310","0.6","0","0","0","0","0","0.3","0.2","0","0","0","0","-1","0","0","2","130231","2.5","0","0"
"1302510","0","0","0","0","4.8","0","0","0","0.5","0","0","0","-1","0","0","2","130251","0","0","0"
"1302520","0","0","0","0","800","0","10","10","0","0","0","10","-1","0","0","1","130252","0","0","0"
"1302610","0","0","0","0","0","0","0.1","0.15","0","0","0","0.5","-1","0","0","2","130261","3","0","0"
"1302710","1","0","0","0.1","0","0","0","0","0","0","0","0","260","0","0","2","130271","4.25","0","0"
"1302711","1","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","261","130271","4.75","0","0"
"1302810","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130281","5.25","1.25","0"
"1302910","0","0","0","0","0","0","0.3","0.3","0","0","0","0","300","0","0","2","130291","0","15","0.05"
"1302911","0","0","0","0","0","0","0.4","0.3","0","0","0","0","-1","0","0","301","130291","0","15","0"
"1303010","0.75","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130301","4.75","0","0"
"1303110","0","0","0","0.1","0","0","0","0","0","0","0","0","260","0","0","2","130311","3.2","12.5","0"
"1303111","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","261","130311","3.7","12.5","0"
"1303210","0","0","0","0","0","0","0.1","0","0","0","0","0","-1","0","0","2","130321","3","7.5","0"
"1303310","0","0","0","0.1","0","0","0.05","0.05","0","0","0","0","260","0","0","2","130331","4.25","0","0"
"1303311","0","0","0","0","0","0","0.05","0.05","0","0","0","0","-1","0","0","261","130331","4.75","0","0"
"1303320","70","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","1","130332","700","0","0"
"1303410","0","0","0","0","0","0","0","0.15","0","0","0","0.6","-1","0","0","2","130341","3.2","0","0"
"1303610","0","0","0","0","4.4","0","0","0","0.9","0","0","0","-1","0","0","2","130361","0","0","0"
"1303710","1.2","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130371","3","0","0"
"1303810","1.2","0","0","0.15","0","0","0","0","0","0","0","0","260","0","0","2","130381","3.75","0","0"
"1303811","1.2","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","261","130381","4.5","0","0"
"1304010","0","0","0","0","0","0","0.25","0.25","0","0","0","0","-1","0","0","2","130401","3","0","0"
"1304210","0","0","0","0","2.2","0","0.25","0.25","0","0","0","0.3","-1","0","0","2","130421","0","0","0"
"1304310","0.6","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","2","130431","5","0","0"
