dc7c1244160846155355fdb023966b93e81159f7633f7cdaf4e863952176915a,59d548b6d01c88a8d7160a65dbbf3108938f5e7df55eadbe7c37a924e85525d4,53bb55c2c7ea5b0076c22bc418ab0555072d64ce273212c465dcadf8b87981c0,54b9fb32813c18f19d65a6ecc56b1feaa248808565107e1bf3c84bfcc415110e,100a043271a695014da4d0490a42d5c3d6b22aa3a9bda114e7ba366fc7200141,cca05c5ba29c126bc1bbb3928efccf79e0ff57ca2c6b41ee670f331022cacb93,a70e82bd11615487085e529f7837df314ecaaffc3c836fbd58aab903b451109e,38605ffdb76a3240df8dba3722ca59772e1b3a4d0286de101befbe6a7ca41d41,1cdecc9f0d0b7776ec5853bb1fbcda1c3f62d09e76a78bb31f754caa20ed66a4,6cb87fe143098a4dc6c16b7394cc6f63d1ea2b0d38968bfec4e446a1c2881d42,c5e90fc17d1eaed85fd89a21557523a1f59736f4d730d50f60c195a16d862c56,9a4136e8b8108a0f7ee837ca4e300ce5e79396c6e72a678a4c68abc4bae699c1,7733ca8d1b41f62b69c22f006653b2ebe65cfbf2c3f880f2c8e6f9395c9bbfa4,40439b0fe6b05a5a8421a89119de90ff35d3435fc485f968846d32704ee211ea,fee2989e6c4f9aedf2fc7c879fc10e575eeaa7700f79108bc6033c27ce1fd24a,38f1d0db167005d4baa437a5c3562544f0109208805c8fa5b4a6e751428e2141,5aa8997f636545f18d5d06ee2f3949c0776363ea26d1eb7b3f82f580b51a4524,c0b9371386ccb251e6608715eef6dfb07aed0f5dc2a6d00a47b46c2978db7931,8ee90f64769b8b042d0d5063b753cc156c968a899a058c3290072fee1c12f89e
"1","6","90","112201","123001","105501","0","6","-100","100003","1","100701","6","100701","100111","6","1001","103401","6"
"1","6","90","105101","123001","100901","0","6","-100","100003","2","103401","6","106601","100112","6","1001","103401","6"
"1","6","90","106901","101801","110301","0","6","-100","100003","3","110301","6","112701","100113","6","1001","113401","6"
"2","4","90","123001","100201","117301","0","4","-100","100003","1","100201","4","102901","100121","5","1001","103401","4"
"2","4","90","110301","104001","105101","0","4","-100","100003","2","104001","4","104801","100122","4","1001","117301","4"
"2","4","90","100801","111001","118501","0","4","-100","100003","3","101401","4","101401","100123","4","1001","118001","5"
"3","1","90","123001","100801","112201","0","2","-100","100003","1","112201","1","100701","100131","3","1001","117301","2"
"3","2","90","105501","112201","103401","0","2","-100","100003","2","105501","1","100501","100132","1","1001","106601","1"
"3","3","90","110301","124501","113401","0","1","-100","100003","3","124501","1","105401","100133","2","1001","104801","2"
"1","6","90","105001","111401","117301","0","6","-100","100003","1","111401","6","106601","100211","6","1002","103401","6"
"1","6","90","123001","100801","113401","0","6","-100","100003","2","113401","6","105201","100212","6","1002","105401","6"
"1","6","90","123001","107701","105501","0","6","-100","100003","3","105501","6","100501","100213","6","1002","103401","6"
"2","4","90","100901","119001","124101","0","4","-100","100003","1","122801","4","122801","100221","4","1002","103401","5"
"2","5","90","121101","123001","103401","0","4","-100","100003","2","100501","4","105201","100222","4","1002","100501","4"
"2","5","90","123001","118501","105501","0","4","-100","100003","3","118501","4","100701","100223","5","1002","103401","4"
"3","3","90","102601","123001","103401","0","2","-100","100003","1","108901","1","105201","100231","1","1002","108901","1"
"3","3","90","112201","123001","113401","0","1","-100","100003","2","104801","1","104801","100232","2","1002","102601","2"
"3","7","90","110301","106001","100501","0","2","-100","100003","3","106001","1","100701","100233","2","1002","114701","1"
"1","6","90","123001","125101","103401","0","6","-100","100003","1","102901","6","102901","100311","6","1003","122801","6"
"1","6","90","110301","111001","180301","0","6","-100","100003","2","180301","6","105401","100312","6","1003","106601","6"
"1","6","90","118001","118501","123001","0","6","-100","100003","3","121401","6","101401","100313","6","1003","121401","6"
"2","5","90","110301","123001","103401","0","4","-100","100003","1","114701","4","114701","100321","4","1003","106601","4"
"2","4","90","106901","180201","110301","0","4","-100","100003","2","106901","4","100701","100322","5","1003","117301","4"
"2","5","90","113401","124501","105101","0","4","-100","100003","3","124501","4","103401","100323","4","1003","117501","4"
"3","3","90","102601","123001","117301","0","8","-100","100003","1","108101","1","103401","100331","1","1003","108101","2"
"3","8","90","123501","108201","112701","0","1","-100","100003","2","108201","1","100701","100332","2","1003","103401","2"
"3","8","90","100801","108301","101001","0","3","-100","100003","3","108301","1","101401","100333","1","1003","123001","1"
"1","6","90","100901","110301","103401","0","6","-100","100003","1","106601","6","114701","100411","6","1004","106601","6"
"1","6","90","103401","106901","105401","0","6","-100","100003","2","180401","6","180401","100412","6","1004","100501","6"
"1","6","90","123001","100801","101401","0","6","-100","100003","3","100801","6","103401","100413","6","1004","105501","6"
"2","4","90","110301","118001","180301","0","4","-100","100003","1","105401","4","105401","100421","4","1004","106601","4"
"2","4","90","124501","101801","110301","0","4","-100","100003","2","101801","4","105301","100422","5","1004","113401","4"
"2","5","90","105501","123001","103401","0","4","-100","100003","3","123301","4","105201","100423","4","1004","123301","4"
"3","8","90","110301","108301","126101","0","3","-100","100003","1","126101","3","126001","100431","2","1004","125801","3"
"3","8","90","123001","108301","121101","0","1","-100","100003","2","103301","7","103301","100432","3","1004","103401","2"
"3","7","90","123001","106001","180501","0","2","-100","100003","3","105801","7","105801","100433","3","1004","117301","2"
"1","6","90","112201","123001","105501","0","6","-100","100003","1","105501","6","100701","100511","6","1005","103401","6"
"1","6","90","105101","123001","100901","0","6","-100","100003","2","100901","6","106601","100512","6","1005","103401","6"
"1","6","90","106901","101801","110301","0","6","-100","100003","3","112701","6","112701","100513","6","1005","113401","6"
"2","4","90","123801","110301","100101","0","4","-100","100003","1","100101","4","114701","100521","4","1005","106601","4"
"2","4","90","102601","112201","105501","0","4","-100","100003","2","102601","4","105201","100522","4","1005","103401","4"
"2","4","90","110301","121401","105501","0","4","-100","100003","3","119201","4","105401","100523","4","1005","119201","4"
"3","8","90","107701","108301","103401","0","1","-100","100003","1","106601","1","105201","100531","8","1005","106601","1"
"3","8","90","123001","108301","126101","0","1","-100","100003","2","127901","3","127901","100532","3","1005","103401","3"
"3","8","90","123001","108401","102601","0","2","-100","100003","3","108401","7","105801","100533","3","1005","123301","1"
"1","6","90","105001","111401","117301","0","6","-100","100003","1","111401","6","106601","100611","6","1006","103401","6"
"1","6","90","123001","100801","113401","0","6","-100","100003","2","113401","6","105201","100612","6","1006","105401","6"
"1","6","90","123001","107701","105501","0","6","-100","100003","3","107701","6","100501","100613","6","1006","103401","6"
"2","4","90","105001","111401","112201","0","4","-100","100003","1","112201","4","106601","100621","4","1006","103401","4"
