db06858cbe868e9d00b705dd878b10b19f76733294288ff2d83a9854ed259af7,36671811bc29419664e80d53436029c42bb293411adfe4c55b243d881ae6c3ef,1055acba56372a7c556ca59139f30e865a186e8d33e9ad13d67899ceed572ba8,f78308cd14dbdfb50938dc2f04c9d94f3c5ee6565de404f1d734967ee194532c,f7b0dc47ab4e4f42dc5fd37e641b77c0ea92bbb76b70f086d1429cbe007b74e7
"150000","31000101","310001011","12","94002"
"10","31000101","310001012","2","22003"
"500000","31000102","310001021","12","94002"
"10","31000102","310001022","2","22003"
"500000","31000103","310001031","12","94002"
"5","31000103","310001032","4","140001"
"5","31000103","310001033","2","25001"
"500000","31000104","310001041","12","94002"
"10","31000104","310001042","2","22003"
"500000","31000105","310001051","12","94002"
"5","31000105","310001052","4","140001"
"5","31000105","310001053","2","25001"
"500000","31000106","310001061","12","94002"
"10","31000106","310001062","2","22003"
"500000","31000107","310001071","12","94002"
"5","31000107","310001072","4","140001"
"5","31000107","310001073","2","25001"
"500000","31000108","310001081","12","94002"
"10","31000108","310001082","2","22003"
"500000","31000109","310001091","12","94002"
"5","31000109","310001092","4","140001"
"5","31000109","310001093","2","25001"
"150000","31001101","310011011","12","94002"
"5","31001101","310011012","2","22003"
"150000","31001102","310011021","12","94002"
"5","31001102","310011022","2","22003"
"150000","31001103","310011031","12","94002"
"5","31001103","310011032","2","22003"
"150000","31001111","310011111","12","94002"
"5","31001111","310011112","2","22003"
"200000","31001112","310011121","12","94002"
"5","31001112","310011122","2","22003"
"150000","31001201","310012011","12","94002"
"5","31001201","310012012","2","22003"
"150000","31001202","310012021","12","94002"
"5","31001202","310012022","2","22003"
"150000","31001203","310012031","12","94002"
"5","31001203","310012032","2","22003"
"150000","31001211","310012111","12","94002"
"5","31001211","310012112","2","22003"
"200000","31001212","310012121","12","94002"
"5","31001212","310012122","2","22003"
"150000","31001301","310013011","12","94002"
"5","31001301","310013012","2","22003"
"150000","31001302","310013021","12","94002"
"5","31001302","310013022","2","22003"
"150000","31001303","310013031","12","94002"
"5","31001303","310013032","2","22003"
"150000","31001311","310013111","12","94002"
"5","31001311","310013112","2","22003"
"200000","31001312","310013121","12","94002"
"5","31001312","310013122","2","22003"
"150000","31001401","310014011","12","94002"
"5","31001401","310014012","2","22003"
"150000","31001402","310014021","12","94002"
"5","31001402","310014022","2","22003"
"150000","31001403","310014031","12","94002"
"5","31001403","310014032","2","22003"
"150000","31001411","310014111","12","94002"
"5","31001411","310014112","2","22003"
"200000","31001412","310014121","12","94002"
"5","31001412","310014122","2","22003"
"150000","31002101","310021011","12","94002"
"5","31002101","310021012","2","22003"
"150000","31002102","310021021","12","94002"
"5","31002102","310021022","2","22003"
"150000","31002103","310021031","12","94002"
"5","31002103","310021032","2","22003"
"50","31002104","310021041","8","91002"
"150000","31002111","310021111","12","94002"
"5","31002111","310021112","2","22003"
"200000","31002112","310021121","12","94002"
"5","31002112","310021122","2","22003"
"100","31002113","310021131","8","91002"
"150000","31003101","310031011","12","94002"
"5","31003101","310031012","2","22003"
"150000","31003102","310031021","12","94002"
"5","31003102","310031022","2","22003"
"150000","31003103","310031031","12","94002"
"5","31003103","310031032","2","22003"
"50","31003104","310031041","8","91002"
"150000","31003111","310031111","12","94002"
"5","31003111","310031112","2","22003"
"200000","31003112","310031121","12","94002"
"5","31003112","310031122","2","22003"
"100","31003113","310031131","8","91002"
"150000","31003201","310032011","12","94002"
"5","31003201","310032012","2","22003"
"150000","31003202","310032021","12","94002"
"5","31003202","310032022","2","22003"
"150000","31003203","310032031","12","94002"
"5","31003203","310032032","2","22003"
"50","31003204","310032041","8","91002"
"150000","31003211","310032111","12","94002"
"5","31003211","310032112","2","22003"
"200000","31003212","310032121","12","94002"
"5","31003212","310032122","2","22003"
"100","31003213","310032131","8","91002"
