aae6a3efc3b75b9b835260e259e1001c0f29bcfed66d71a9984588235942642f,38881650662da387d44934f47183c8f78c875f2a736b7a735a330da966ce176b,8fec13a626188cd3b251529365ec827688021022146e56dd0561af70b066a58b,511dacd3f81fa59909aafe7e2c20c6e10a87ea4af14bf66fc248ff0fcb3506d4,8b61cc65481beb8f75ffbff7d88c9e2efdab6b3e54d56ba06f8d180e2498baa1,80bbe7461010ec78c003d17374df2cfd69f578443cd089c89e29e81f20a81ab3,409fa2e4a76c781f17163f3d7429b56020fa488fc30d983de60b24aef39f7714,50b2a614d60587fbeaab99417d51777a3ba5f1962d7eeb1a19750a18a0ae86bd,8c922b12d8d4715a629c1eeca11dae1937cbf580b26cfce97ffcdd6eb29ca1ed,25b05e8960c2ded38d3e53470ec6bac335e715b32fbf5974213d841406dd727d,db74c807dbbf4cc57211d57dd130f35f9cecff35b14f09888af7d2433c1fcaf6,50fdab8fcb10ed69fc55d7c154d2ede379f338b27d2a8b2d1431b66eb385a325
"1011611501","10116115","4","0","0","1","0","0.8","1","0","0","0"
"1011611502","10116115","2","vo_won_10116115_01","0","0","0","0","2","0","vo_won","0"
"1011611503","10116115","1","0","230","0","2.68","0","3","0","0","1"
"1011611504","10116115","4","0","0","1","0","3.17","4","0","0","0"
"1011611505","10116115","1","0","420","0","2","0","5","230","0","1"
"1011611506","10116115","4","0","0","1","0","2.03","6","0","0","0"
"1011611507","10116115","1","0","140","0","1.51","0","7","0","0","2"
"1011611508","10116115","4","0","0","1","0","2","8","0","0","0"
"1011611509","10116115","1","0","275","0","1.92","0","9","140","0","2"
"1011611510","10116115","4","0","0","1","0","2.42","10","0","0","0"
"1011611511","10116115","1","0","430","0","1.09","0","11","275","0","2"
"1011611512","10116115","4","0","0","1","0","1.09","12","0","0","0"
"1011611513","10116115","1","0","230","0","1.88","0","13","0","0","3"
"1011611514","10116115","4","0","0","1","0","2.47","14","0","0","0"
"1011611515","10116115","1","0","430","0","1.88","0","15","230","0","3"
"1011611516","10116115","4","0","0","1","0","1.88","16","0","0","0"
"1011611517","10116115","1","0","52","0","0.588999999999999","0","17","0","0","4"
"1011611518","10116115","4","0","0","1","0","0.965999999999999","18","0","0","0"
"1011611519","10116115","1","0","400","0","1.423","0","19","52","0","4"
"1011611520","10116115","4","0","0","1","0","2.673","20","0","0","0"
"1011611521","10116115","2","vo_won_10116115_02","0","0","0","0","21","0","vo_won","0"
"1011611522","10116115","1","0","340","0","1.699","0","22","0","0","5"
"1011611523","10116115","4","0","0","1","0","2.495","23","0","0","0"
"1011611524","10116115","1","0","450","0","0.236","0","24","340","0","5"
"1011611525","10116115","4","0","0","1","0","0.4","25","0","0","0"
"1011611526","10116115","1","0","120","0","1.4","0","26","0","0","6"
