4b178e92e3fdfa2fa1c6876b0e1db842baac86b3b9555a949fa02d375a3d8e19,c6c95365551f6dc6b3489d1a31530afea6770b1bca165b32519d7c2ff55994f8,e7fa01e7b47e2366de549080bd4722338385be821c703acad100c488b4791f3b,640a2298a99d7e734db3179bd930ba0d40324fe299b15a4ef15a1e867f4baa4b,ee44c7a97665fb615cb4d2697231261cb278e2aa686bd0f6a6acea5db3aa1728,1a91b93d09708c9e77b54177ba0b93ed8f99116fe7c1740cb2d463c2882830cd,34b530f413d92db7a448c2fa6ab21a3c8045dbb7b3c6852179e90e6fd6df7e55,20fcc87d4fc0b881018a39984308d2f7e78d803cf75862d8c5bb297de23d3093
"10001","1","1000100","ㄨㄛ","1","蘋果","ㄧㄥ","紅色又酸酸甜甜的水果。"
"10001","1","1000101","ㄕ","2","禁忌的果實","ㄧㄣ","據說會長成智慧之樹的水果。也有人說其實那不是蘋果之類的。"
"10001","1","1000102","ㄨㄛ","2","智慧之果","ㄓ","吃了可以增強記憶力，提高智能的水果。"
"10002","1","1000200","ㄧㄥ","1","黑猩猩","ㄟ","又強又黑還很強壯。最愛香蕉的生物。"
"10002","1","1000201","ㄟ","2","靈長類","ㄧㄥ","動物分類中的一種。"
"10002","1","1000202","ㄡ","2","嗚吼嗚吼","ㄨ","形容大猩猩兇猛叫聲的擬聲語。"
"10002","1","1000203","ㄧㄢ","3","擲岩猴仙","ㄓ","坐鎮於「露娜之塔」的強大仙猿。雖然不是猩猩是猴子，但也算是親戚，算你勉強通過。"
"10003","1","1000300","ㄚ","1","喇叭","ㄚ","統稱特定的銅管樂器的說法。"
"10003","1","1000301","ㄠ","2","小號","ㄧㄠ","銅管樂器中的一種。"
"10003","1","1000302","ㄧ","2","管樂器","ㄨㄢ","以管狀造型為主，多以吹奏等空氣流動方式產生樂音的樂器。"
"10004","1","1000400","ㄧ","1","鳳梨","ㄥ","生長在溫暖地區，黃色且味道酸甜的水果。"
"10004","1","1000401","ㄨㄛ","1","菠蘿","ㄛ","在某些地區就是這樣叫這種水果的。"
"10004","1","1000402","ㄞ","1","旺來","ㄨㄤ","「鳳梨」的台語讀音。"
"10005","1","1000500","ㄕ","1","紅寶石","ㄨㄥ","也有人稱其為寶石女王，鮮艷的紅色寶石。"
"10005","1","1000501","ㄕ","1","寶石","ㄠ","用在裝飾品中，既美麗又珍貴的礦物。"
"10005","1","1000502","ㄕ","2","魔法石","ㄛ","帶有魔法的石頭，可以鑲嵌在武器上，也可以做施法的媒介。"
"10005","1","1000503","ㄣ","3","秋乃的胸針","ㄧㄡ","「紫藤家」的大小姐「秋乃」戴在身上的美麗胸針。"
"10005","1","1000504","ㄕ","3","紫藤紅輝石","ㄗ","「秋乃」的專用裝備。紫藤家代代相傳的輝石。"
"10006","1","1000600","ㄧㄡ","1","啤酒","ㄧ","用穀物釀成的酒類。"
"10006","1","1000601","ㄟ","1","酒杯","ㄧㄡ","用單手拿著，裝飲料用的容器。"
"10006","1","1000602","ㄧㄡ","2","麥酒","ㄞ","「優花梨」會稱呼它「像啤酒的東西」。不能讓她喝太多。"
"10006","1","1000603","ㄨㄟ","3","生命之水","ㄥ","「優花梨」專用裝備的內容物。不管怎麼喝都會不斷地湧出來。"
"10007","1","1000700","ㄧㄢ","1","弓箭","ㄨㄥ","用弓與箭組成的武器。"
"10007","1","1000701","ㄕ","1","箭矢","ㄧㄢ","「箭」的別種說法。"
"10007","1","1000702","ㄧ","2","遠距離武器","ㄩㄢ","指可以飛得很遠的攻擊型武器。"
"10007","1","1000703","ㄜ","2","邱比特","ㄧㄡ","羅馬神話中的小愛神。"
"10007","1","1000704","ㄧㄝ","2","打獵","ㄚ","獵殺動物的行為。"
"10007","1","1000705","ㄧㄝ","2","狩獵","ㄡ","人類獵殺動物以取得資源的行為。"
"10008","1","1000800","ㄨ","1","音符","ㄧㄣ","在音樂上用來表示音高的記號。"
"10008","1","1000801","ㄩ","1","旋律","ㄩㄢ","音樂中音符的流動。"
"10008","1","1000802","ㄧ","2","ㄉㄡㄖㄨㄟㄇㄧ","ㄡ","將音階由低到高排列 3個。"
"10008","1","1000803","ㄧㄢ","2","和弦","ㄜ","數個音符根據樂理結成的組合。"
"10009","1","1000900","ㄧㄠ","1","顏料","ㄧㄢ","為了在畫上著色的材料。"
"10009","1","1000901","ㄞ","1","水彩","ㄨㄟ","水性的顏料。"
"10009","1","1000902","ㄨㄢ","2","軟管","ㄨㄢ","盛裝膏狀物的容器。"
"10009","1","1000903","ㄜ","2","藍色","ㄢ","藍色。或是憂鬱的顏色。"
"10010","1","1001000","ㄧㄢ","1","劍","ㄧㄢ","以刀刃進行攻擊的武器總稱。"
"10010","1","1001001","ㄧ","2","武器","ㄨ","用於戰鬥的工具。"
"10010","1","1001002","ㄧㄢ","2","短劍","ㄨㄢ","長度較短的劍。"
"10010","1","1001003","ㄧ","2","近戰武器","ㄧㄣ","近身格鬥用的武器。"
"10010","1","1001004","ㄧㄢ","3","公主之劍","ㄨㄥ","「貪吃佩可」的專用裝備。能帶給貪吃佩可更加強大的力量，「皇家裝備」真正的模樣。"
"10011","1","1001100","ㄧㄥ","1","眼鏡","ㄧㄢ","為了補正視力，在眼睛周邊戴在身上的道具。"
"10011","1","1001101","ㄧㄢ","2","鏡片","ㄧㄥ","用在眼鏡或各式東西上，折射光線用的透明物體。"
"10011","1","1001102","ㄗ","2","書呆子","ㄨ","只知道念書並對其餘事情一竅不通的人。"
"10011","1","1001103","ㄩ","2","扮裝道具","ㄢ","用來變裝，拿下後原來是美女的眼鏡。"
"10011","1","1001104","ㄧㄥ","3","花凜的眼鏡","ㄨㄚ","公會小屋的管理員「花凜」戴著的眼鏡。"
"10012","1","1001200","ㄧㄥ","1","放大鏡","ㄤ","為了把小東西放大觀看用的道具。"
"10012","1","1001201","ㄧㄢ","1","鏡片","ㄧㄥ","用在放大鏡或各式物品上，讓光線曲折用的透明物體。"
"10012","1","1001202","ㄧㄥ","2","凸透鏡","ㄨ","具有放大效果的透鏡。"
"10012","1","1001203","ㄧㄣ","3","偵探必備的物品","ㄣ","名偵探「霞」愛用的偵探道具之一。"
"10013","1","1001300","ㄡ","1","肉","ㄡ","拿去烤就會噗滋地流出肉汁，是很棒的食材。"
"10013","1","1001301","ㄧ","2","料理","ㄧㄠ","食材經過巧手烹飪後的完美傑作，讓人忍不住要品嚐美味。"
