8dc58893533d5d951db56a66e098035feba4e5629f5cc2a7049b1fa849568281,180e3e4e542d8a9b8cbe37b10602fb68e8186996d2bf26d2c88a66d3f39b08a1,e451f7b3997723f728a28369e2841e87245fe9ea2e8ee438200aaf9538ea6342,c803573edfb000ec66b51064d1dcb11d718ca7a4272f259ebe0696a138cf61bc,824413f10c277c8056a82a1ecc1835554c5d5fdfedd64bb62e35c847f816ec78,3d0052a2a9da40451decf73b571a0ad61f994b49b1c2ae5c2ca4dcbfccf8e0c6,1c225ccc74631e5a7110a0fa5626324ad1444a4ebb5e8ca79ca7cad3b0196e81,d17fab8b9dc6ca0c36573b4c60e86861068d9cee7dfe38af6f8fea53abb9ddfa,724046ba916081d65183510c080baf849375a2ccdf2363133f441ed16186ee23,4a61efb8ad649e374d96357c6660e13a05084186106c2f19af758195438f8083,330c7278dd1080fd9beabab65fed921bd1fd4e3ff4f74a1c51594d49990cf52d
"110","-209.3","1","0","nyx_idle_normal","-421","101","110931","1.35","1","11010001"
"110","-182.5","1","0","nyx_idle_normal","121.8","101","104831","1.35","1","11010002"
"110","-182.5","1","0","nyx_idle_normal","227.7","101","104631","1.35","1","11010003"
"110","-182.5","1","1","nyx_talk_normal","340.3","101","103231","1.35","1","11010004"
"110","-182.5","1","1","nyx_idle_normal","449.6","101","103431","1.35","1","11010005"
"120","-209.3","5","0","NoItem","-421","101","2","1.35","2","11010006"
"0","1","31","","","0","101","1","1","1","11010007"
"-300","1","31","","","0","101","3","0","15","11010008"
"-300","1.5","31","","","0","101","4","0","15","11010009"
"","","25","","","","101","bgm_M347","","bgm_M347","11010010"
"","","93","","","","101","","","2","11010011"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","2","11010012"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","110931","11010013"
"10","","11","","","","101","切嚕～♪\n一開始總而言之\n要有衝擊性！","","110931","11010014"
"","","93","","","","101","","","0.4","11010015"
"","","32","","","","101","0","","3","11010016"
"","","32","","","","101","1","","3","11010017"
"","","91","","","","101","","","11010014","11010018"
"10","","11","","","","101","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","","110931","11010019"
"","","93","","","","101","","","1","11010020"
"1","","3","","","","101","nyx_idle_joy1","0.2","103231","11010021"
"1","","3","","","","101","nyx_cmn_05","0.2","104631","11010022"
"","","91","","","","101","","","11010019","11010023"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","2","11010024"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","110931","11010025"
"7","","11","","","","101","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","","110931","11010026"
"","","93","","","","101","","","0.4","11010027"
"","","32","","","","101","0","","3","11010028"
"","","32","","","","101","1","","3","11010029"
"","","93","","","","101","","","0.6","11010030"
"1","","3","","","","101","nyx_talk_bitter","0.2","103431","11010031"
"1","","3","","","","101","nyx_cmn_04","0.2","104631","11010032"
"","","93","","","","101","","","2","11010033"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","2","11010034"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","110931","11010035"
"","","93","","","","101","","","0.4","11010036"
"","","32","","","","101","0","","3","11010037"
"","","32","","","","101","1","","4","11010038"
"","","91","","","","101","","","11010026","11010039"
"1","","3","","","","101","nyx_idle_bitter","0.2","103431","11010040"
"1","","3","","","","101","nyx_talk_sad","0.2","104831","11010041"
"10","","11","","","","101","吶，那個……\n妳們有沒有聽到\n走廊傳來的聲音？","","104831","11010042"
"","","91","","","","101","","","0","11010043"
"","","4","","","","101","1","","110931","11010044"
"","","4","","","","101","1","","2","11010045"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","2","11010046"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","110931","11010047"
"1","","3","","","","101","nyx_idle_sad","0.2","104831","11010048"
"1","","3","","","","101","nyx_talk_sad","0.2","104631","11010049"
"10","","11","","","","101","聽起來好像在說什麼\n切嚕切嚕的喵……\n好恐怖喵……","","104631","11010050"
"","","91","","","","101","","","0","11010051"
"1","","3","","","","101","nyx_idle_sad","0.2","104631","11010052"
"1","","3","","","","101","nyx_talk_sad","0.2","103431","11010053"
"10","","11","","","","101","該不會是學校的七大\n不可思議之類的吧……\n好、好想回家……","","103431","11010054"
"","","91","","","","101","","","0","11010055"
"1","","3","","","","101","nyx_idle_sad","0.2","103431","11010056"
"1","","3","","","","101","nyx_talk_joy2","0.2","103231","11010057"
"10","","11","","","","101","還真是有趣呢！\n對於待會會出現什麼\n我感到非常期待呢！","","103231","11010058"
"","","91","","","","101","","","0","11010059"
"","","93","","","","101","","","0.4","11010060"
"","","4","","","","101","0","","110931","11010061"
"","","4","","","","101","0","","2","11010062"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","110931","11010063"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_01","0.2","2","11010064"
"1","","12","","","","101","1","","104831","11010065"
"0","1","3","0.2","","nyx_idle_sad","101","nyx_talk_sad","0.2","104831","11010066"
"","","93","","","","101","","","0.4","11010067"
"","","32","","","","101","0","","3","11010068"
"","","32","","","","101","1","","3","11010069"
"","","93","","","","101","","","1.6","11010070"
"1","","12","","","","101","15","","104631","11010071"
"0","1","3","0.2","","nyx_idle_sad","101","nyx_talk_sad","0.2","104631","11010072"
"","","93","","","","101","","","3","11010073"
"","","4","","","","101","1","","110931","11010074"
"","","4","","","","101","1","","2","11010075"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","110931","11010076"
"0","1","3","","","nyx_101_chieru_loop","101","nyx_101_chieru_02","0.2","2","11010077"
"1","","12","","","","101","10","","103231","11010078"
"0","1","3","0.2","","nyx_idle_joy1","101","nyx_talk_joy1","0.2","103231","11010079"
"","","93","","","","101","","","2","11010080"
"1","","12","","","","101","2","","103431","11010081"
"0","1","3","0.2","","nyx_idle_sad","101","nyx_talk_sad","0.2","103431","11010082"
"","","93","","","","101","","","2.5","11010083"
"","","101","","","","101","","","11010060","11010084"
"110","-209.3","1","1","nyx_102_chloe_01","-362","102","110831","1.35","1","11020001"
"110","-182.5","1","0","nyx_102_mifuyu_01","90","102","104831","1.35","1","11020002"
"110","-182.5","1","0","nyx_idle_normal","220","102","104631","1.35","1","11020003"
"110","-182.5","1","1","nyx_talk_normal","336","102","103231","1.35","1","11020004"
"110","-182.5","1","1","nyx_idle_normal","457","102","103431","1.35","1","11020005"
"0","1","31","","","0","102","1","1","1","11020006"
"120","-209.3","5","0","NoItem","-362","102","2","1.35","2","11020007"
"","","25","","","","102","bgm_M347","","bgm_M347","11020008"
"","","93","","","","102","","","2","11020009"
"1","","3","","","","102","nyx_102_chloe_02","0.2","110831","11020010"
"10","","11","","","","102","再來輪到我了啊……\n呃，接在琪愛兒後面\n總有種不利的感覺？","","110831","11020011"
"","","91","","","","102","1","","0","11020012"
"1","","3","","","","102","nyx_idle_sad","0.2","110831","11020013"
"10","","11","","","","102","那傢伙絕對一見面\n就切嚕切嚕地喊\n把整個氣氛搞冷……","","110831","11020014"
"","","91","","","","102","1","","0","11020015"
"0","1","3","0.2","","nyx_102_chloe_02","102","cmn_pose02_def_N","0.2","110831","11020016"
"10","","11","","","","102","不過算了，怎樣都好\n……話說裡面的那些人\n應該沒事吧？","","110831","11020017"
"","","93","","","","102","","","3","11020018"
"1","","3","","","","102","nyx_idle_normal","0.2","103231","11020019"
"1","","3","","","","102","nyx_talk_sad","0.2","104631","11020020"
"","","4","","","","102","0","","110831","11020021"
"","","91","","","","102","","","11020016","11020022"
"","","93","","","","102","","","1","11020023"
"1","","3","","","","102","nyx_102_chloe_01","0.2","110831","11020024"
"10","","11","","","","102","像是被那股切嚕之氣\n嚇到而變得不正常……\n……不，應該不至於吧","","110831","11020025"
"","","93","","","","102","","","2.5","11020026"
"0","1","3","","","nyx_102_chloe_03_loop","102","nyx_102_chloe_03","0.2","110831","11020027"
"0","1","3","","","nyx_102_chloe_03_loop","102","nyx_102_chloe_03","0.2","2","11020028"
"","","91","","","","102","","","11020025","11020029"
"","","93","","","","102","","","1","11020030"
"10","","11","","","","102","切嚕……切嚕……","","104831","11020031"
"","","93","","","","102","","","1.5","11020032"
"0","","4","","","","102","1","","104631","11020033"
"0","1","3","0.2","","nyx_idle_surprise2","102","cmn_shock_def_N","0.2","104631","11020034"
"0","1","3","0.2","","nyx_idle_surprise2","102","cmn_shock_def_N","0.2","103431","11020035"
"0","1","3","0.2","","nyx_idle_surprise1","102","nyx_surprise","0.2","103231","11020036"
"","","93","","","","102","","","1.5","11020037"
"1","1","3","0.2","","","102","nyx_talk_surprise2","0.2","104631","11020038"
"1","","3","","","","102","nyx_102_yukari_01","0.2","103431","11020039"
"10","","11","","","","102","美冬！\n振作一點切嚕！\n沒那麼嚴重切嚕！","","103431","11020040"
"","","91","","","","102","1","","0","11020041"
"0","1","3","0.2","","nyx_102_tamaki_01_loop","102","cmn_shock_def_N","0.2","103431","11020042"
"0","","4","","","","102","0","","103231","11020043"
"0","","4","","","","102","0","","104631","11020044"
"","","91","","","","102","","","0","11020045"
"10","","11","","","","102","不行了喵……\n美冬和優花梨都\n為時已晚切……喵！","","104631","11020046"
"","","93","","","","102","","","2.6","11020047"
"0","1","3","0.2","","nyx_102_tamaki_01_loop","102","nyx_102_tamaki_01","0.2","104631","11020048"
"","","93","","","","102","","","0.1","11020049"
"0","","4","","","","102","1","","103231","11020050"
"","","93","","","","102","","","1.5","11020051"
"10","","11","","","","102","實在是損傷慘重呢……\n只能祈禱下一位\n能夠普通一點了……","","103231","11020052"
"","","91","","","","102","","","0","11020053"
"","","93","","","","102","","","1","11020054"
"0","1","3","","","nyx_102_chloe_03_loop","102","nyx_102_chloe_04","0.2","110831","11020055"
"0","1","3","","","nyx_102_chloe_03_loop","102","nyx_102_chloe_04","0.2","2","11020056"
"","","93","","","","102","","","1.5","11020057"
"1","","12","","","","102","12","","110831","11020058"
"","","93","","","","102","","","1","11020059"
"1","","12","","","","102","1","","103431","11020060"
"0","1","3","0.2","","nyx_cmn_03","102","nyx_cmn_01","0.2","103431","11020061"
"1","1","3","0.2","","","102","nyx_idle_worry","0.2","104631","11020062"
"","","93","","","","102","","","2","11020063"
"1","","12","","","","102","12","","104831","11020064"
"","","93","","","","102","","","2","11020065"
"1","","12","","","","102","10","","103231","11020066"
"0","1","3","0.2","","nyx_idle_normal","102","nyx_talk_normal","0.2","103231","11020067"
"","","93","","","","102","","","2","11020068"
"1","","12","","","","102","2","","104631","11020069"
"0","1","3","0.2","","nyx_idle_worry","102","nyx_talk_sad","0.2","104631","11020070"
"","","93","","","","102","","","4","11020071"
"","","101","","","","102","1","","11020055","11020072"
"110","-209.3","1","0","nyx_103_yuni_01","-421","103","111031","1.35","1","11030001"
"110","-182.5","1","0","nyx_idle_normal","121.8","103","104831","1.35","1","11030002"
"120","-182.5","5","0","NoItem","121.8","103","2","1.35","2","11030003"
"110","-182.5","1","0","nyx_idle_normal","227.7","103","104631","1.35","1","11030004"
"120","-182.5","5","0","NoItem","227.7","103","2","1.35","2","11030005"
"110","-182.5","1","1","nyx_idle_normal","340.3","103","103231","1.35","1","11030006"
"110","-182.5","1","1","nyx_cmn_03","449.6","103","103431","1.35","1","11030007"
