dc0296e69164910d4c2506d34b889f81075041aad227d9ea1bdf36661f305315,aad65f4be78821b9460a461e6dbd0d1b86c73a0bb1a85972e095db97de1f1205,67586ee569db52e3b090003cc50977ad82c07d4b8d97a53822bd1070a02f3700,88fbb16998c55268848c682963b21b1d18e152599ed347464835d2631f76b127,56c4139de7a97759a3477f5be2782cfc3a3a1e1e4bdbb8ea2de4f5fa21ae4642,bbef607e90692a46bad35371177c5926baf50e158199a037ebf30a995d6c0d25,12324282fbd18d3a240d2f1b6de801156b3de707db12b49ac3860c3dce51e8a3,e3ccef517f773cbf4bc637f3f60caf25e43d4b25e4725c9be94837976ea5ef42,68be5281c6d22311a115dff1c298292bb71ab00e8426a24960142279ad7f0139,23ac6864bfb2fe8e0d698063543d235db43693ee969cc361d80ed57a6216be99,0760e21eb72c68df1b7f8a5dc75078da942563e4189ec50d9a586db893ec0104
"1","-250","talk_sad","2.2","0","5","1","12001","30","52","12"
"1","0","","0","0","6","1","12002","1","1","12"
"0","0","black","1","0","5","0","12003","50","29","12"
"0","0","","0","0","6","1","12004","1","1","12"
"0","","","","","91","","12005","","","12"
"1","1","","0.2","0","6","1","12006","1","1","12"
"0","1","","0.2","0","6","1","12007","1","1","12"
"1","2","","","","2","-20","12008","0.3","-250","12"
"0","2","","","","2","0","12009","0.3","0","12"
"0.6","","","","","93","0","12010","","","12"
"vo_asb","","","","","21","vo_asb_0121","12011","0","0","12"
"1","1","0","0","0","11","回想起來，\n我甚至連伴手禮都沒帶……","12012","1","10","12"
"0","","","","","91","","12013","0","0","12"
"1","","","0.2","","3","guts2_talk_shy","12014","","1","12"
"vo_asb","","","","","21","vo_asb_0122","12015","0","0","12"
"1","1","0","0","0","11","下次拜訪的時候必定……！","12016","1","10","12"
"0","","","","","91","","12017","0","0","12"
"1","","","0.2","","3","sad_talk_surprise","12018","","1","12"
"vo_asb","","","","","21","vo_asb_0123","12019","0","0","12"
"1","1","0","0","0","11","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","12020","1","10","12"
"0","","","","","91","","12021","0","0","12"
"1","","","0.3","","3","surprise_talk_dere","12022","","1","12"
"vo_asb","","","","","21","vo_asb_0124","12023","0","0","12"
"1","1","0","0","0","11","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","12024","1","10","12"
"0","","","","","91","","12025","0","0","12"
