ec21612cf86b69e23896dca7aa56e73096d27a20dbbf1297e4400245dec91a87,d3c90d80423cdb4a5f601d768d4bc776fcd972b09dbdf26901d58f3d12294f97,c59824746402a54e9d98e6329a697ecd02936d92cd148309167fe73dc5c0aa96,a3ec0727c613df2e863270b44c292bfcabf679f4995dcf950ba1b1921ef51109,ea3e2fc92d4fa6b5092a5cc7c2285449d677d99e1513f02a573f1d6d3abaeb3e,24926e6e587c6244c96f25be80377892b019c447e8e07427ccaf5fb1af53fef8,d8373847859dfedeef3a35f356f598812900d7041d1981a23aa15ede3cacfdcb,b60f9827cc5c851c00417a54c67755413a669b395649aadfbb40188888ae2477,256a72cd69328acd6d4c15bd63fc62b92b281752b48b2f4a7b3f74f59dd8b7ce,701ef5ee63507e26d70a6d3fa2fa05f704453070281f7c0115576f5b28042359,c8d32fbb48f0781b3a3249ffcf39ba2bae3ed3eca27e33321e0e64ab4e87af5a,75af7ad82c6e6a7141faafd2af7b764a28b978b113c545c796331789a6ba88b9,86f345368be680617c108179ccc2cfa50c4cbd58de51eb016ff0e951f235d6b7
"1","豹","0","3110001","0","0","0","豬","狼","狗","0","0","1"
"1","四","0","3110002","0","0","0","三","一","二","0","0","1"
"0","鮑","0","3110003","0","0","0","鰆","鱷","鱘","0","1","1"
"1","也","0","3110004","0","0","0","亭","花","要","0","0","1"
"1","椰","0","3110006","0","1","0","椒","杉","松","0","0","1"
"1","容易","0","3110007","0","0","0","牢固地","快","禁食","0","1","1"
"1","得體","0","3110009","0","1","0","改正","正確","收集","0","1","0"
"1","因此","0","3110010","0","0","0","然後","但是","不過","0","0","1"
"1","身高長高","0","3110011","0","0","0","測量身高","氣球往上身高","步步身高","0","0","1"
"1","衝鋒","0","3110012","0","0","0","好球","罷工","打擊","0","1","1"
"1","奘","0","3110013","0","0","0","要","必","畚","0","0","1"
"1","二","0","3110015","0","0","0","一","六","五","0","0","1"
"1","皇后","0","3111001","0","0","0","刀刃","公主","突襲","0","0","1"
"1","炸裂","0","3111002","0","0","0","進攻","治癒","全體","0","0","1"
"1","J","0","3120001","0","1","0","H","F","G","0","0","0"
"1","藍色的","0","3120002","0","0","0","黑髮美女","金髮","白皮膚","0","0","1"
"0","討伐","0","3120006","0","0","0","批准","反對","制裁","0","1","1"
"1","Distilled Water","0","3120007","0","0","0","Dam","Salt Water","Sea","0","0","1"
"1","悠閒的","0","3120008","0","0","0","豪華的","性感的","美味多汁的","0","0","1"
"1","重新再來","0","3120010","0","0","0","提神物","茶點","精力恢復","0","1","1"
"0","熟悉的","0","3120011","0","0","0","古怪的","大量的","古樸的","0","1","1"
"1","七上八下","0","3120012","0","0","0","見異思遷","三心二意","見獵心喜","0","1","0"
"1","精衛填海","0","3120013","0","1","0","滄海桑田","百折不撓","滴水穿石","0","0","1"
"1","豆重榆瞑","0","3120014","0","0","0","灰身滅智","愁山悶海","眉頭不伸","0","0","1"
