86c04df170cd0467834696e2e827043074cba9300fa7d25502461aef7c26409e,f368c666b56a8e3c3f9d853464633c6a089af8c38b14e75706cc7db86bcd7794,117215efd4bb60a16a80d1dc271c6f1aa5dcc56dae39870a7eedcaee18f34c89,0f4d6d4bdea24869edd75178932394475fc5d0c01c6d0aec1c59f3ca048aaa0b,44b3a0781377cd484c789339e48b48a5528a711a19947c99473276d2dbdb96cf,9b7f23d1bc4dce3c5e454cd1f665e2762a5b396b71b305b2ab2ee784fa239192,da95ba2e5e79bd5085400d2969d77ce9a2de71d492ce01ce5bf023cb3851e735
"0","1","10008101","","0","1","10008111"
"0","1","10008112","","0","2","10008115"
"0","3","10008101","","0","3","10008103"
"0","3","10008105","","0","4","10008115"
"0","4","10008112","","0","5","150"
"0","1","10028101","","0","6","10028111"
"0","1","10028112","","0","7","10028115"
"0","3","10028101","","0","8","10028103"
"0","3","10028105","","0","9","10028115"
"0","4","10028112","","0","10","150"
"20012107","11","20012104","","0","11","20012104"
"20012109","11","20012108","","0","12","20012108"
"20012114","11","20012110","","0","13","20012110"
"20012115","11","20012115","","0","14","20012115"
"0","4","20012110","","0","15","120"
"0","1","20008101","","0","16","20008111"
"0","1","20008112","","0","17","20008115"
"0","3","20008101","","0","18","20008103"
"0","3","20008105","","0","19","20008115"
"0","4","20008112","","0","20","150"
