1830976aa827a55420df27eab26e785973edcfdbff430d48d716f03196eea2ac,50109ba87e5b7eeecb55eda6843812318a3dda773b2c828cbd22bdc3854ed19f,9dfe703e5a89cfb31e76a48ee1cc204d9ffed34110e1b9e1ff7c61aebd71dd98,87c2fbe2fad586f0ff1a4a43dea97052507d3cfaf18ff57764b1cb29c8ca5d08
"10000","1st Anniversary 特別登入獎勵","2019/08/15 04:59:00","2019/08/01 05:00:00"
"10002","1.5Year Anniversary 特別登入獎勵","2020/02/07 04:59:59","2020/01/21 05:00:00"
"10003","2nd Anniversary 特別登入獎勵","2020/07/08 04:59:59","2020/06/22 05:00:00"
"10004","2.5 Year Anniversary 特別登入獎勵","2021/02/26 04:59:59","2021/02/09 05:00:00"
"10005","3rd Anniversary 特別登入獎勵","2021/08/15 04:59:59","2021/08/01 05:00:00"
"10006","3.5 Year Anniversary 特別登入獎勵","2022/02/18 04:59:59","2022/02/01 05:00:00"
"10007","4th Anniversary 特別登入獎勵","2022/08/15 04:59:59","2022/08/01 05:00:00"
"10008","4.5 Year Anniversary 特別登入獎勵","2023/02/06 04:59:59","2023/01/20 05:00:00"
"10009","5th Anniversary 特別登入獎勵","2023/08/15 04:59:59","2023/08/01 05:00:00"
"10010","5.5 Year Anniversary 特別登入獎勵","2024/02/24 04:59:59","2024/02/07 05:00:00"
"10011","6th Anniversary 特別登入獎勵","2024/08/16 04:59:59","2024/08/01 05:00:00"
"10012","6.5 Year Anniversary 特別登入獎勵","2025/02/18 04:59:59","2025/02/01 05:00:00"
