cbbe51d03e01c3a3bb307f96bbeec9c35823aa73cc1e4e80bb2c3f48e5a26bde,29fefa0eb6e2f41c21d8a389754a9e03f1c02011910693f03024d7fa7fc5e164,57fcb5138f706faba6d71868fc382f5248ced64c363e738af4bfc86908cbd2d7,3ead664e8583dc52390a29a6ccc97d2f21cc7a7639d6874cb9ade7f68744e406,bb3f44c683066c822d2b9a70a9c3d9d0635b00dbe7ade777bfd329b0cd7deb54,bb0ecf6e0d8011ceb06f8f47c77d1bfde59f349e63a29fc56343c6867e13fd24,bbf8a83689b7112302bcb0d586a05150d2cceaeec692c0df55ff19a4707dc4df,9312ed64d6fc8c009781a788eeebb5bc3968b1820c43916d18f8dd7cd75a0a3a,d668d8fdd1b4898f08d452d15468060ea9dda3ed56a17077981448ba9fce8851
"1","0","11","1","320010106","1","502001102","43.5","0.7"
"3","0","67","2","320010106","2","502001103","13","0.65"
"2","0","49","3","320010106","3","0","-74","0.65"
"1","0","13","1","320010107","4","502001108","-49","0.7"
"3","0","62","2","320010107","5","502001109","-4","0.85"
"2","0","50","3","320010107","6","0","59","0.65"
"1","0","-10","1","320010108","7","0","0","1.05"
"1","0","-10","1","320010109","8","0","-15","1.05"
"1","0","-45","1","320010110","9","0","-85","0.43"
"2","0","-45","2","320010110","10","0","85","0.43"
"1","0","11","1","320010206","11","502001202","43.5","0.7"
"3","0","67","2","320010206","12","502001203","13","0.65"
"2","0","49","3","320010206","13","0","-74","0.65"
"1","0","13","1","320010207","14","502001208","-49","0.7"
"3","0","62","2","320010207","15","502001209","-4","0.85"
"2","0","50","3","320010207","16","0","59","0.65"
"1","0","-10","1","320010208","17","0","0","1.05"
"1","0","-10","1","320010209","18","0","-15","1.05"
"1","0","-45","1","320010210","19","0","-85","0.43"
"2","0","-45","2","320010210","20","0","85","0.43"
"1","0","11","1","320010306","21","502001302","43.5","0.7"
"3","0","67","2","320010306","22","502001303","13","0.65"
"2","0","49","3","320010306","23","0","-74","0.65"
"1","0","13","1","320010307","24","502001308","-49","0.7"
"3","0","62","2","320010307","25","502001309","-4","0.85"
"2","0","50","3","320010307","26","0","59","0.65"
"1","0","-10","1","320010308","27","0","0","1.05"
"1","0","-10","1","320010309","28","0","-15","1.05"
"1","0","-45","1","320010310","29","0","-85","0.43"
"2","0","-45","2","320010310","30","0","85","0.43"
"1","0","11","1","320010406","31","502001402","43.5","0.7"
"3","0","67","2","320010406","32","502001403","13","0.65"
"2","0","49","3","320010406","33","0","-74","0.65"
"1","0","13","1","320010407","34","502001408","-49","0.7"
"3","0","62","2","320010407","35","502001409","-4","0.85"
"2","0","50","3","320010407","36","0","59","0.65"
"1","0","-10","1","320010408","37","0","0","1.05"
"1","0","-10","1","320010409","38","0","-15","1.05"
"1","0","-45","1","320010410","39","0","-85","0.43"
"2","0","-45","2","320010410","40","0","85","0.43"
"1","0","11","1","320010506","41","502001502","43.5","0.7"
"3","0","67","2","320010506","42","502001503","13","0.65"
"2","0","49","3","320010506","43","0","-74","0.65"
"1","0","13","1","320010507","44","502001508","-49","0.7"
"3","0","62","2","320010507","45","502001509","-4","0.85"
"2","0","50","3","320010507","46","0","59","0.65"
"1","0","-10","1","320010508","47","0","0","1.05"
"1","0","-10","1","320010509","48","0","-15","1.05"
"1","0","-45","1","320010510","49","0","-85","0.43"
"2","0","-45","2","320010510","50","0","85","0.43"
"1","0","11","1","320020106","51","502002102","43.5","0.7"
"3","0","67","2","320020106","52","502002103","13","0.65"
"2","0","49","3","320020106","53","0","-74","0.65"
"1","0","13","1","320020107","54","502002108","-49","0.7"
"3","0","62","2","320020107","55","502002109","-4","0.85"
"2","0","50","3","320020107","56","0","59","0.65"
"1","0","-10","1","320020108","57","0","0","1.05"
"1","0","-10","1","320020109","58","0","-15","1.05"
"1","0","-45","1","320020110","59","0","-85","0.43"
"2","0","-45","2","320020110","60","0","85","0.43"
"1","0","11","1","320020206","61","502002202","43.5","0.7"
"3","0","67","2","320020206","62","502002203","13","0.65"
"2","0","49","3","320020206","63","0","-74","0.65"
"1","0","13","1","320020207","64","502002208","-49","0.7"
"3","0","62","2","320020207","65","502002209","-4","0.85"
"2","0","50","3","320020207","66","0","59","0.65"
"1","0","-10","1","320020208","67","0","0","1.05"
"1","0","-10","1","320020209","68","0","-15","1.05"
"1","0","-45","1","320020210","69","0","-85","0.43"
"2","0","-45","2","320020210","70","0","85","0.43"
"1","0","11","1","320020306","71","502002302","43.5","0.7"
"3","0","67","2","320020306","72","502002303","13","0.65"
"2","0","49","3","320020306","73","0","-74","0.65"
"1","0","13","1","320020307","74","502002308","-49","0.7"
"3","0","62","2","320020307","75","502002309","-4","0.85"
"2","0","50","3","320020307","76","0","59","0.65"
"1","0","-10","1","320020308","77","0","0","1.05"
"1","0","-10","1","320020309","78","0","-15","1.05"
"1","0","-45","1","320020310","79","0","-85","0.43"
"2","0","-45","2","320020310","80","0","85","0.43"
"1","0","11","1","320020406","81","502002402","43.5","0.7"
"3","0","67","2","320020406","82","502002403","13","0.65"
"2","0","49","3","320020406","83","0","-74","0.65"
"1","0","13","1","320020407","84","502002408","-49","0.7"
"3","0","62","2","320020407","85","502002409","-4","0.85"
"2","0","50","3","320020407","86","0","59","0.65"
"1","0","-10","1","320020408","87","0","0","1.05"
"1","0","-10","1","320020409","88","0","-15","1.05"
"1","0","-45","1","320020410","89","0","-85","0.43"
"2","0","-45","2","320020410","90","0","85","0.43"
"1","0","11","1","320020506","91","502002502","43.5","0.7"
"3","0","67","2","320020506","92","502002503","13","0.65"
"2","0","49","3","320020506","93","0","-74","0.65"
"1","0","13","1","320020507","94","502002508","-49","0.7"
"3","0","62","2","320020507","95","502002509","-4","0.85"
"2","0","50","3","320020507","96","0","59","0.65"
"1","0","-10","1","320020508","97","0","0","1.05"
"1","0","-10","1","320020509","98","0","-15","1.05"
"1","0","-45","1","320020510","99","0","-85","0.43"
"2","0","-45","2","320020510","100","0","85","0.43"
"1","0","11","1","320030106","101","502003102","43.5","0.7"
"2","0","67","2","320030106","102","502003103","13","0.65"
"3","0","49","3","320030106","103","0","-74","0.65"
"1","0","13","1","320030107","104","502003108","-49","0.7"
"3","0","62","2","320030107","105","502003109","-4","0.85"
"2","0","50","3","320030107","106","0","59","0.65"
"1","0","-10","1","320030108","107","0","0","1.05"
"1","0","-10","1","320030109","108","0","-15","1.05"
"1","0","-45","1","320030110","109","0","-85","0.43"
"2","0","-45","2","320030110","110","0","85","0.43"
"1","0","11","1","320030206","111","502003202","43.5","0.7"
"2","0","67","2","320030206","112","502003203","13","0.65"
"3","0","49","3","320030206","113","0","-74","0.65"
"1","0","13","1","320030207","114","502003208","-49","0.7"
"3","0","62","2","320030207","115","502003209","-4","0.85"
"2","0","50","3","320030207","116","0","59","0.65"
"1","0","-10","1","320030208","117","0","0","1.05"
"1","0","-10","1","320030209","118","0","-15","1.05"
"1","0","-45","1","320030210","119","0","-85","0.43"
"2","0","-45","2","320030210","120","0","85","0.43"
"1","0","11","1","320030306","121","502003302","43.5","0.7"
"2","0","67","2","320030306","122","502003303","13","0.65"
"3","0","49","3","320030306","123","0","-74","0.65"
"1","0","13","1","320030307","124","502003308","-49","0.7"
"3","0","62","2","320030307","125","502003309","-4","0.85"
"2","0","50","3","320030307","126","0","59","0.65"
"1","0","-10","1","320030308","127","0","0","1.05"
"1","0","-10","1","320030309","128","0","-15","1.05"
"1","0","-45","1","320030310","129","0","-85","0.43"
"2","0","-45","2","320030310","130","0","85","0.43"
"1","0","11","1","320030406","131","502003402","43.5","0.7"
"2","0","67","2","320030406","132","502003403","13","0.65"
"3","0","49","3","320030406","133","0","-74","0.65"
"1","0","13","1","320030407","134","502003408","-49","0.7"
"3","0","62","2","320030407","135","502003409","-4","0.85"
"2","0","50","3","320030407","136","0","59","0.65"
"1","0","-10","1","320030408","137","0","0","1.05"
"1","0","-10","1","320030409","138","0","-15","1.05"
"1","0","-45","1","320030410","139","0","-85","0.43"
