7a87765b5ae75c07ae802476fdfb07a8d4613bd1a2c3ae906aef08332485f401,f6082ee04eac398e19ac4aa118b217c280cdda6bb4a1e8836404c39249a27b31,ca2f82b9af2c553b43a8fb8cfb5ee033d10bd8ae2e77314e07eab549631351e1,993c93657a95253950a47ad46c1d28c2cf30418c3edffcae369710c49d791928,7050101cf0559700a77f82f65b2d72fb5af53243fd1e607c65464a83017448e9,5d092e91a1fbd0687fe838aa33212b9ef0eea028e30c854886eac74ef55db5a7,0d1b114cf09b7340730ab11cf332b8c7e40ca22c5f1ea8bf80cb4dc725970e30,3abf532870c9f9e50392af85b5ebc8b1084d04b475f792cbe16c991619ef23c9,24a3c9afc4fc61bf8b88757daf203bddeaa7eb796b54ba253b277a72f1c95e1e,cae330d641d546f9740689afff6482c36e71ceeade6fcbb0b53d19496cecbeb7,2a7766961c02926f66c29a08ed6018182e7a576f25a6b5bad670747b69954ac2
"-495","1","102","1.95","122711","1","1009801","1009801001","lsv_idle_normal","-200","0"
"-480","1","100","1.95","122811","1","1009801","1009801002","lsv_idle_normal","100","1"
"-510","1","101","1.95","122911","1","1009801","1009801003","lsv_idle_normal","270","1"
"0","1","0","1","333","5","1009801","1009801004","lsv_white_loop","0","0"
"0","333","1","0","1","6","1009801","1009801005","","1","0"
"0","122711","1","0","1","6","1009801","1009801006","","1","0"
"0","122811","1","0","1","6","1009801","1009801007","","1","0"
"0","122911","1","0","1","6","1009801","1009801008","","1","0"
"","1","","","0","93","1009801","1009801009","","",""
"0.4","333","1","0.8","1","6","1009801","1009801010","","1","0"
"1","122711","0","0.2","lsv_jump1","3","1009801","1009801011","","lsv_idle_normal","0.2"
"1","122811","0","0.2","lsv_jump1","3","1009801","1009801012","","lsv_idle_normal","0.2"
"1","122911","0","0.2","lsv_jump1","3","1009801","1009801013","","lsv_idle_normal","0.2"
"","0.3","","","","93","1009801","1009801014","","",""
"0","122711","-235","","-200","2","1009801","1009801015","","0.75",""
"0","122811","-220","","100","2","1009801","1009801016","","0.75",""
"0","122911","-250","","270","2","1009801","1009801017","","0.75",""
"1","122711","1","0.4","1","6","1009801","1009801018","","1","0"
"1","122811","1","0.4","1","6","1009801","1009801019","","1","0"
"1","122911","1","0.4","1","6","1009801","1009801020","","1","0"
"","2","","","0","93","1009801","1009801021","","",""
"","122911","1","0.2","lsv_talk_joy1","3","1009801","1009801022","","",""
"","vo_lsv","0","","vo_lsv_0121","21","1009801","1009801023","","0",""
"1","122911","10","0","「小繆快快長大日記」♪\n開始囉開始囉～","11","1009801","1009801024","0","1","0"
"","0","","","","91","1009801","1009801025","","",""
"","122911","1","0.2","lsv_idle_normal_joyR","3","1009801","1009801026","","",""
"","122711","1","0.2","lsv_talk_normal","3","1009801","1009801027","","",""
"","vo_lsv","0","","vo_lsv_0122","21","1009801","1009801028","","0",""
"1","122711","10","0","大家一起寫這本日記，\n留下和小繆的\n回憶吧。","11","1009801","1009801029","0","1","0"
"","0","","","","91","1009801","1009801030","","",""
"","122711","1","0.2","lsv_idle_normal","3","1009801","1009801031","","",""
"","122911","1","0.2","lsv_idle_normal","3","1009801","1009801032","","",""
"1","122811","0","0","lsv_talk_cool","3","1009801","1009801033","","lsv_talk_cool_loop","0.2"
"","vo_lsv","0","","vo_lsv_0123","21","1009801","1009801034","","0",""
"1","122811","10","0","話說回來……\n鏡華連日記都很認真寫呢～\n像要給老師看的一樣！","11","1009801","1009801035","0","1","0"
"","0","","","","91","1009801","1009801036","","",""
"","122811","1","0.2","lsv_talk_bitter","3","1009801","1009801037","","",""
"","vo_lsv","0","","vo_lsv_0124","21","1009801","1009801038","","0",""
"1","122811","10","0","這只有我們會看而已，\n可以寫得再隨興一點嘛～♪","11","1009801","1009801039","0","1","0"
"","0","","","","91","1009801","1009801040","","",""
"","122811","1","0.2","lsv_idle_joy","3","1009801","1009801041","","",""
"","122711","1","0.2","lsv_talk_anger2","3","1009801","1009801042","","",""
"","vo_lsv","0","","vo_lsv_0125","21","1009801","1009801043","","0",""
"1","122711","10","0","寫、寫得隨興一點……！\n這我做不到。","11","1009801","1009801044","0","1","0"
"","0","","","","91","1009801","1009801045","","",""
"","122711","1","0.2","lsv_idle_anger2","3","1009801","1009801046","","",""
"","122911","1","0.2","lsv_talk_normal","3","1009801","1009801047","","",""
"","vo_lsv","0","","vo_lsv_0126","21","1009801","1009801048","","0",""
"1","122911","10","0","不要緊的～\n美美覺得鏡華的日記\n也很棒啊♪","11","1009801","1009801049","0","1","0"
"","0","","","","91","1009801","1009801050","","",""
"","122911","1","0.2","lsv_idle_normal_joyR","3","1009801","1009801051","","",""
"1","122711","0","0","lsv_talk_guts2_anger","3","1009801","1009801052","","lsv_talk_guts2_anger_loop","0.2"
"","vo_lsv","0","","vo_lsv_0127","21","1009801","1009801053","","0",""
"1","122711","10","0","總、總之！\n這本日記也是為了要\n更了解小繆而寫的喔？","11","1009801","1009801054","0","1","0"
"","0","","","","91","1009801","1009801055","","",""
"","122711","1","0.2","lsv_talk_normal_worry","3","1009801","1009801056","","",""
"","vo_lsv","0","","vo_lsv_0128","21","1009801","1009801057","","0",""
