c897161e821f60497e7d5c271ed5c6adeaa34e7d636b4960306f8e2643be131b,112be7a315762889c47e3d0b95287993c9bbf5d58ae1e6afde40524b24a6401d,e6cb9c9d3dc4ffabc61d9bea2e66dcecb71ce64841fbbbb7e2e2ffce1155c242,b67d6478203acf18d234fdf8cb6882eb1e539e9356a93f197e3e2d22924ae53a,a49fd219b8244af05703e6910e0635def65d698572daef12b888c9e39fa4a483,c44eec3f02f4ae3ecad21727ebd83551e7d55b40301f9c06fb6ba6bb7c89f7d8,f409b83694e31eff6b04eb59b0be7da9ac669c97bf8c5133a681a5c3bcda2c6e
"1","獲得料理活動","1","3","0","0","0"
"2","獲得骰子活動1","2","1","0","0","0"
"3","獲得骰子活動2","2","2","0","0","0"
"4","跳過計算回合數","3","0","1","0","3"
"5","里程+100%","4","100","0","1","2"
"6","小遊戲里程+100%","5","100","0","1","2"
"7","商店打折活動","6","300","0","1","3"
"98001","跳過計算回合數1","3","0","2","0","3"
"98011","跳過計算回合數1","3","0","1","0","3"
"98012","跳過計算回合數2","3","0","2","0","3"
