412b5c35356f7733a59fbfbaa00c0db52d632268dc0af31a3ebe33c4bf609862,8cca8c06750eb7fdd8019d2b174e5efc5c7799913eaf70001752473498b0bf7c
"1","100101"
"6","100201"
"2","100301"
"8","100401"
"7","100501"
"4","100601"
"7","100701"
"8","100801"
"1","100901"
"5","101001"
"1","101101"
"2","101201"
"2","101301"
"4","101401"
"6","101501"
"1","101601"
"1","101701"
"8","101801"
"1","102001"
"7","102101"
"1","102201"
"8","102301"
"4","102501"
"6","102601"
"1","102701"
"5","102801"
"7","102901"
"1","103001"
"2","103101"
"7","103201"
"8","103301"
"6","103401"
"1","103601"
"5","103701"
"2","103801"
"8","104001"
"6","104201"
"4","104301"
"1","104401"
"7","104501"
"2","104601"
"7","104701"
"8","104801"
"7","104901"
"8","105001"
"4","105101"
"7","105201"
"5","105301"
"8","105401"
"8","105501"
"7","105601"
"5","105701"
"7","105801"
"6","105901"
"4","106001"
"1","106101"
"1","106301"
"2","106401"
"2","106501"
"8","106601"
"4","106701"
"5","106801"
"4","106901"
"3","107001"
"2","107101"
"1","107501"
"6","107601"
"3","107701"
"2","107801"
"1","107901"
"1","108001"
"1","108101"
"4","108201"
"3","108301"
"3","108401"
"3","108501"
"1","108601"
"2","108701"
"6","108801"
"7","108901"
"1","109001"
"6","109101"
"5","109201"
"1","109301"
"1","109401"
"7","109501"
"2","109601"
"8","109701"
"8","109801"
"6","109901"
"1","110001"
"6","110101"
"5","110301"
"4","110401"
"1","110501"
"2","110601"
"4","110701"
"4","110801"
"1","110901"
"3","111001"
"3","111101"
"1","111201"
"3","111301"
"5","111401"
"3","111501"
"7","111601"
"1","111701"
"3","111801"
"7","111901"
"1","112001"
"6","112101"
"8","112201"
"3","112301"
"5","112401"
"7","112501"
"1","112601"
"2","112701"
"8","112801"
"1","112901"
"8","113001"
"1","113101"
"4","113201"
"4","113301"
"1","113401"
"6","113501"
"8","113601"
"1","113701"
"7","113801"
"7","113901"
"4","114001"
"1","114101"
"3","114201"
"1","114301"
"1","114401"
"7","114501"
"4","114601"
"1","114701"
"3","115001"
"1","115501"
"6","115601"
"4","115701"
"3","115801"
"3","115901"
"5","116001"
"4","116201"
"3","116301"
"5","116401"
"3","116501"
"1","116601"
"4","116701"
"5","116801"
"1","116901"
"4","117001"
"7","117101"
"5","117201"
"6","117301"
"8","117401"
"8","117501"
"5","117601"
"1","117701"
"5","117801"
"8","117901"
"2","118001"
"4","118101"
"2","118201"
"5","118501"
"8","118601"
"8","119001"
"7","119101"
"8","119201"
"3","119301"
"5","119901"
"7","120001"
"3","120701"
"1","120801"
"1","120901"
"3","121001"
"8","121101"
"3","121201"
"3","121301"
"3","121401"
"8","121501"
"1","121601"
"2","121901"
"4","122001"
"1","122101"
"3","122201"
"4","122301"
"5","122401"
"3","122501"
"6","122601"
"2","122701"
"8","122801"
"2","122901"
"6","123001"
"3","123101"
"3","123201"
"8","123301"
"8","123501"
"3","123601"
"8","123701"
"1","123801"
"7","123901"
"3","124001"
"5","124101"
"7","124201"
"2","124501"
"6","124601"
"4","124701"
"5","124801"
"1","124901"
"2","125001"
"1","125101"
"4","125201"
"3","125301"
"4","125401"
"3","125501"
"3","125601"
"6","125701"
"2","125801"
"7","126001"
"3","126101"
"5","126201"
"3","126301"
"1","126401"
"3","126501"
"5","126601"
"3","126701"
"7","126801"
"5","126901"
"7","127001"
"4","127101"
"5","127201"
"3","127301"
"3","127501"
"7","127601"
"3","127701"
"4","127801"
"7","127901"
"4","128001"
"8","128301"
"2","128401"
"3","128501"
"5","128701"
"8","128801"
"3","128901"
"6","129001"
"5","129301"
"2","129401"
"5","129501"
"4","129601"
"5","129701"
"2","129801"
"3","129901"
"7","130001"
"3","130101"
"2","130201"
"1","130701"
"4","130801"
"7","130901"
"3","131001"
"7","131101"
"2","131201"
"3","131601"
"5","131701"
"2","131801"
"8","131901"
"2","132001"
"1","132101"
"3","132201"
"3","132301"
"1","132401"
"4","132501"
"2","132801"
"4","132901"
"5","133001"
"7","133101"
"2","133201"
"1","133501"
"2","133601"
"1","133701"
"5","133801"
"1","133901"
"6","134001"
"2","134301"
"3","134401"
"5","134501"
"4","134601"
"6","134701"
"3","134801"
"2","134901"
"3","135001"
"7","135101"
"3","135201"
"2","135301"
"5","135401"
"1","135501"
"2","135601"
"5","135701"
"2","135801"
"1","135901"
"5","136001"
"3","136101"
"3","136201"
"3","136301"
"7","136401"
"7","136501"
"8","137101"
"2","137401"
"3","137601"
"5","170101"
"4","180101"
"1","180201"
"1","180301"
"7","180401"
"6","180501"
"2","180601"
"1","180701"
"2","180801"
"3","180901"
"1","181001"
"7","181101"
"2","181201"
"2","403101"
"2","403102"
"2","403103"
"5","404201"
"5","404205"
"3","407001"
"3","407701"
"3","408401"
"3","408402"
"3","408403"
"4","418101"
"2","425801"
"2","425802"
"5","426201"
"5","426202"
"4","427101"
"3","430101"
"8","431901"
"5","433801"
"2","435601"
