32584d07aa40f47b406715e3d19a97980258e6a56e8b78979a99393a49be7aa7,92abdf91a74eff80b75412e8a52aeaf2e6f61fc1cb2b78638e71e00dbdf47866,67160fcd75aadf04a29d2d83bdd8e1679dea51483ae731c666f12f84b79c9e3a,0c53b2ae12ab3912047954a6f38378170505832d2f89c6916eb40a8eba4c5bb7,815d75b2f7c525733caa97ecad33c3727db36ef0f843409ff4213bd303033e93,9bb083f6143ce450368f2e596a7a7b1b5db24ed98dbf5e63b6708684e62a69e7,a15bc49a3f456ec26907cab60171146cb3c97caf37976e8c31ab279635d00aa7,9a3bf0126b9d9f32088e935d202cfb032357e63be76ba8ec8aaf6131334a8493,2f6f9164b25b818a0e4c5f5c3d1c3b047d9989d1a78194a6b4d092c9adb1ec2e,aade2833f15aa231ca375528c960190a16ccfbf31e39bfe0a0e7d71923b68422,9a3fdeab20eb39eb5e6bce0d1edcd9552ddd02d93960bcb31e1c1ca303df14f3,7b39ffd0aecd6136f6341d5b30da91debb6dce0bec041b0a19c1da6cb5cf566c,5830d87d1ae032c3a6b21bd97d3fe6f329af8b916f4136f2e8e0895833b2d915,df76639dde07ec3f263ff1cec0ae7f1f67cc8ccc5535a7cc5b5a2f54b7231735,979d46f39766f0a92a4f9438d8cc07359ab62ad87bbd9021bafee48013b8dcbf,c10a43f069165e4d25ea9ce4be8364937cd53da96723608856e334132a4476d1,6740a4f3ef24480b67c314deef90f8b949bb99f7e1371c98e50643defd77b295,cfc22e1c2039c651cdbbb66fbd4c015576f0eebc8588dd458e75b10654d62637,e22cc3fc44345c7452f3025617e18abe97dc8d7814ac0dd10a533c1173917f15
"2","25014","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","1000","0","1000000000","25021","0","2","200","25102","1000","2","240701","2"
"2","25012","92407","25013","300","abyss_reward_icon_astralshard","0","1000","0","2000000000","25011","0","2","1000","25021","1000","2","240702","2"
"2","25014","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","1000","0","3000000000","25021","0","2","500","25102","1000","2","240703","2"
"2","25012","92407","25013","500","abyss_reward_icon_astralshard","0","1000","0","4000000000","25011","0","2","1000","25021","1000","2","240704","2"
"2","25014","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","1000","0","5000000000","25021","0","2","1000","25102","1000","2","240705","2"
"2","25012","92407","25013","1000","abyss_reward_icon_astralshard","0","1000","0","6000000000","25011","0","2","1000","25021","1000","2","240706","2"
"2","25014","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","3000","0","7000000000","25021","0","2","1000","25102","3000","2","240707","2"
"2","25012","92407","25013","1000","abyss_reward_icon_astralshard","0","3000","0","8000000000","25011","0","2","3000","25021","3000","2","240708","2"
"2","25014","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","3000","0","9000000000","25021","0","2","1000","25102","3000","2","240709","2"
"2","25011","92407","25012","10","abyss_reward_icon_masterpieces_piece","0","3000","0","10000000000","25021","0","2","1000","25102","3000","2","240710","2"
"2","25013","92407","25015","10","abyss_reward_icon_masterpieces_piece","0","3000","0","12000000000","25021","0","2","1000","25102","3000","2","240711","2"
"2","25012","92407","25014","1000","abyss_reward_icon_astralshard","0","3000","0","16000000000","25011","0","2","3000","25021","3000","2","240712","2"
