c58a21a66dabb3c73503a3b91b8a5f6752f0e8fb6937b3ce9f61fb6a98e618bd,b111a2ed13889d394c6b7b10f712e8e33c7ed6d05ea0887da116249f98c3ce35,3c31550b54e10e5cf0619f2a3a1c5edc29b96e66d2a4d4c310d4fe06b49b1d77,b4fb2b1e38478cf9e01205e91295b8bdec3171a82b6d7a9424cf7a1b180c3ca8,e248c2972f34a811abccefb929aa3ecd723d4d7d087ae7b5cbe3819776a51771,14f0ec83a0c6e227fea22c8c8e2309cd54e8ed35479b6e42ea8fca067b633072,f640f6a699305b855721867d01f2db1f5d9a987accda22c1f74f061ce871b616,395b4131cbfa746b84db0b5ec3c488660ae27e65606ea0e0c9b2b6edabc32fba,5f62370c7e1913b164712fb61234b5cf796184154e6d1b901e711ed3cf51b47f,fc3d7327d91039c0f2457ce8dd785a3f4ec6b0689f4e7066c6cf0397598ff820,d12019fe5cbb638c06343472067b23c8651b1accd4f355baf453e612f73de63e,e5b085c9b750b357c4f8a1a95f3fb19d4d84dd6e88019b359f7d4926398d46d4,71eae5106f038ea79b97fb5b48e4c86239be03a25744c9c55bf0b23eca334e4a,b218ddebf18e562c354de3e15290781d4e3ee9623e545d5149e986d9425d2122,14dd3a45021134e374e993eb2cc8e9a27dd04aa747820dff162c4e9b07270466
"660014101","99001001","9001","0","2030/04/01 14:59:59","601","1","1004110","20014","8006","2019/09/03 16:00:00","打倒 1 隻惡代官（NORMAL限定）","1","99001001","0"
"660014201","99001002","9001","0","2030/04/01 14:59:59","601","1","1004111","20014","8007","2019/09/03 16:00:00","打倒 1 隻惡代官（HARD限定）","1","99001002","0"
"660014301","99001003","9001","0","2030/04/01 14:59:59","601","1","1004112","20014","8010","2019/09/03 16:00:00","打倒 1 隻惡代官（VERY HARD限定）","1","99001003","0"
"610041401","99001004","9001","0","2030/04/01 14:59:59","601","1","1004113","10041","6011","2019/09/03 16:00:00","打倒 1 隻惡代官（SPECIAL限定）","1","99001004","0"
"610053101","99001005","9001","0","2030/04/01 14:59:59","601","1","1005310","10053","6006","2019/10/01 16:00:00","打倒 1 隻貝特魯吉烏斯（NORMAL限定）","1","99001005","0"
"610053201","99001006","9001","0","2030/04/01 14:59:59","601","1","1005311","10053","6007","2019/10/01 16:00:00","打倒 1 隻貝特魯吉烏斯（HARD限定）","1","99001006","0"
"610053301","99001007","9001","0","2030/04/01 14:59:59","601","1","1005312","10053","6010","2019/10/01 16:00:00","打倒 1 隻貝特魯吉烏斯（VERY HARD限定）","1","99001007","0"
"610053401","99001008","9001","0","2030/04/01 14:59:59","601","1","1005313","10053","6011","2019/10/01 16:00:00","打倒 1 隻貝特魯吉烏斯（SPECIAL限定）","1","99001008","0"
"660015101","99001009","9001","0","2030/04/01 14:59:59","601","1","1004310","20015","8006","2019/11/01 16:00:00","打倒 1 隻雨神大人（NORMAL限定）","1","99001009","0"
"660015201","99001010","9001","0","2030/04/01 14:59:59","601","1","1004311","20015","8007","2019/11/01 16:00:00","打倒 1 隻雨神大人（HARD限定）","1","99001010","0"
"660015301","99001011","9001","0","2030/04/01 14:59:59","601","1","1004312","20015","8010","2019/11/01 16:00:00","打倒 1 隻雨神大人（VERY HARD限定）","1","99001011","0"
"610043401","99001012","9001","0","2030/04/01 14:59:59","601","1","1004313","10043","6011","2019/11/01 16:00:00","打倒 1 隻雨神大人（SPECIAL限定）","1","99001012","0"
"660016101","99001017","9001","0","2030/04/01 14:59:59","601","1","1004510","20016","8006","2019/12/02 16:00:00","打倒 1 隻奄美魔物（NORMAL限定）","1","99001017","0"
"660016201","99001018","9001","0","2030/04/01 14:59:59","601","1","1004511","20016","8007","2019/12/02 16:00:00","打倒 1 隻奄美魔物（HARD限定）","1","99001018","0"
"660016301","99001019","9001","0","2030/04/01 14:59:59","601","1","1004512","20016","8010","2019/12/02 16:00:00","打倒 1 隻奄美魔物（VERY HARD限定）","1","99001019","0"
"610045401","99001020","9001","0","2030/04/01 14:59:59","601","1","1004513","10045","6011","2019/12/02 16:00:00","打倒 1 隻奄美魔物（SPECIAL限定）","1","99001020","0"
"0","99001021","0","0","2030/04/01 14:59:59","601","1","14","10021","6001","2029/12/02 16:00:00","在香織的靈魂式空手道場累計獲得 300000 分","1","99001021","0"
"0","99001022","0","0","2030/04/01 14:59:59","601","1","15","10021","6001","2029/12/02 16:00:00","在香織的靈魂式空手道場EXTRA一次獲得 70000 分","1","99001022","0"
"660017101","99001023","9001","0","2030/04/01 14:59:59","601","1","1004710","20017","6006","2020/01/02 16:00:00","打倒 1 隻劇毒曼德拉草（NORMAL限定）","1","99001023","0"
"660017201","99001024","9001","0","2030/04/01 14:59:59","601","1","1004711","20017","6007","2020/01/02 16:00:00","打倒 1 隻劇毒曼德拉草（HARD限定）","1","99001024","0"
"660017301","99001025","9001","0","2030/04/01 14:59:59","601","1","1004712","20017","6010","2020/01/02 16:00:00","打倒 1 隻劇毒曼德拉草（VERY HARD限定）","1","99001025","0"
"610047401","99001026","9001","0","2030/04/01 14:59:59","601","1","1004713","10047","6011","2020/01/02 16:00:00","打倒 1 隻劇毒曼德拉草（SPECIAL限定）","1","99001026","0"
"660018101","99001027","9001","0","2030/04/01 14:59:59","601","1","1004910","20018","6006","2020/02/04 16:00:00","打倒 1 隻幻影男爵（NORMAL限定）","1","99001027","0"
"660018201","99001028","9001","0","2030/04/01 14:59:59","601","1","1004911","20018","6007","2020/02/04 16:00:00","打倒 1 隻幻影男爵（HARD限定）","1","99001028","0"
"660018301","99001029","9001","0","2030/04/01 14:59:59","601","1","1004912","20018","6010","2020/02/04 16:00:00","打倒 1 隻幻影男爵（VERY HARD限定）","1","99001029","0"
