992d8d305b933e2923df05eea46692fc3cc2b5d3952c0707d123075096b6bbe7,8cbe7f1ba6c182e01bd973b1f7604d62741a5f3ef36f50001391615f4515e690,e2b2b74ca135e404ab8b23ee2385f095bfede7dbd15861bcfa1daf1db4144a34,59c84b41af8fe7380c0be614dbd0cda962ab8527be823189c36ab7d6c24855ab,688ead272b41a683ee7e1bc5d1f8400997908117ac89dd4e3ff041d8af440d6d,85ca1e42a0b04d66364bdd26d98364e15b939ae93e439830a00c1f902f9a5008,e7caefde8367b3f3be1eee609dbb279c09e3171de30bb3faa43594152271f145,60b1a987663f7a93578c8b6f79a53f3c54f1c6d8028682f63cff790e698ab496,7fc5f388f3797c28a1d37598318501b81fbf27e8a399f89d7a282f92d4055ec9,ab93a0c75d2a31b337265bf518f604ca01a7ddeb0d2e01ce0247d58d04eadfe0,4e043cb18cb3f98ce1a6992bf7529980dc0e9ca20b4c12bba9ada21a83c4067b,1557b6caa66b7dc479f40d02ea57624113ae2b102983aadd1e634d799e02143c
"0","1010001","0","vo_10020900_0001","vo_10020900","1","0","0","1","0","0","2"
"180","1010002","0","0","0","1","0.818181818181818","1","2","0","0","1"
"0","1010003","0","0","0","1","0","1","3","1","0.818181818181818","4"
"226","1010004","0","0","0","1","0.634285714285714","2","4","0","0","1"
"0","1010005","0","0","0","1","0","2","5","1","1.03428571428571","4"
"460","1010006","226","0","0","1","1.33714285714286","2","6","0","0","1"
"0","1010007","0","0","0","1","0","2","7","1","2.13714285714286","4"
"0","1010008","0","vo_10020900_0002","vo_10020900","1","0","0","8","0","0","2"
"132","1010009","0","0","0","1","1.12948051948052","3","9","0","0","1"
"0","1010010","0","0","0","1","0","3","10","1","2.12948051948052","4"
"0","1010011","0","vo_10020900_0003","vo_10020900","1","0","0","11","0","0","2"
"271","1010012","132","0","0","1","0.545454545454545","3","12","0","0","1"
"0","1010013","0","0","0","1","0","3","13","1","1.04545454545455","4"
"700","1010014","271","0","0","1","1.71545454545455","3","14","0","0","1"
"0","1010015","0","0","0","1","0","3","15","1","2.71545454545455","4"
"0","1010016","0","vo_10020900_0004","vo_10020900","1","0","0","16","0","0","2"
"244","1010017","0","0","0","1","1.67857142857143","4","17","0","0","1"
"0","1010018","0","0","0","1","0","4","18","1","2.17857142857143","4"
"0","1010019","0","vo_10020900_0005","vo_10020900","1","0","0","19","0","0","2"
"715","1010020","244","0","0","1","1.28311688311688","4","20","0","0","1"
"0","1010021","0","0","0","1","0","4","21","1","1.98311688311688","4"
"214","1010022","0","0","0","1","1.2987012987013","5","22","0","0","1"
"0","1010023","0","0","0","1","0","5","23","1","1.9987012987013","4"
"603","1010024","214","0","0","1","2.07792207792208","5","24","0","0","1"
"0","1010025","0","0","0","1","0","5","25","1","3.07792207792208","4"
"0","1010026","0","vo_10020900_0006","vo_10020900","1","0","0","26","0","0","2"
"241","1010027","0","0","0","1","1.06363636363636","6","27","0","0","1"
"0","1010028","0","0","0","1","0","6","28","1","1.56363636363636","4"
"750","1010029","241","0","0","1","2.96","6","29","0","0","1"
"0","1010030","0","0","0","1","0","6","30","1","3.96","4"
"0","1010031","0","vo_10020900_0007","vo_10020900","1","0","0","31","0","0","2"
"85","1010032","0","0","0","1","0.386363636363636","7","32","0","0","1"
"0","1010033","0","0","0","1","0","7","33","1","0.886363636363636","4"
"750","1010034","85","0","0","1","3.54090909090909","7","34","0","0","1"
"0","1010035","0","0","0","1","0","7","35","1","4.54090909090909","4"
"0","1010036","0","vo_10020900_0008","vo_10020900","1","0","0","36","0","0","2"
"138","1010037","0","0","0","1","0.431818181818182","8","37","0","0","1"
"0","1010038","0","0","0","1","0","8","38","1","1.03181818181818","4"
"0","1010039","0","vo_10020900_0009","vo_10020900","1","0","0","39","0","0","2"
"349","1010040","138","0","0","1","0.709090909090909","8","40","0","0","1"
"0","1010041","0","0","0","1","0","8","41","1","1.30909090909091","4"
"0","1010042","0","vo_10020900_0010","vo_10020900","1","0","0","42","0","0","2"
"750","1010043","349","0","0","1","3.07662337662338","8","43","0","0","1"
"0","1010044","0","0","0","1","0","8","44","1","4.07662337662338","4"
"0","1010045","0","vo_10020900_0011","vo_10020900","1","0","0","45","0","0","2"
"242","1010046","0","0","0","1","1.43506493506493","9","46","0","0","1"
"0","1010047","0","0","0","1","0","9","47","1","2.43506493506493","4"
"0","1010048","0","vo_10020900_0012","vo_10020900","1","0","0","48","0","0","2"
"754","1010049","242","0","0","1","2.75","9","49","0","0","1"
"0","1010050","0","0","0","1","0","9","50","1","3.95","4"
"0","1010051","0","vo_10020900_0013","vo_10020900","1","0","0","51","0","0","2"
"556","1010052","313","0","0","1","1.67792207792208","10","52","0","0","1"
"0","1010053","0","0","0","1","0","10","53","1","2.27792207792208","4"
"750","1010054","556","0","0","1","0.9","10","54","0","0","1"
